arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,s_l1,s_l2
CS,raw,0,0,0.001,11,none,0.1072041667,0.1075000018,0.1075000018,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68213316,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.805327415,4.332601547,-14.39482307,0,0,1,-2.253049612,0,0,1,-0.8591910005,0.05341748148,-2.173682647e+11,14.39482307,0.6899511814,12.25012875,4.194870949,12.9914856,20.14237785,2.64697796e-22
CS,raw,0,0,0.001,12,none,0.1180479167,0.1183333397,0.1183333397,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68725849,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.755642891,4.305674553,-14.35676479,0,0,1,-2.255930185,0,0,1,-0.8576869965,0.05375154316,-2.173682647e+11,14.35676479,0.6903187633,12.25012875,4.194870949,12.9914856,20.23714638,2.64697796e-22
CS,raw,0,0,0.001,13,none,0.11964375,0.1200000048,0.1200000048,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68672258,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.773017883,4.314539909,-14.38370132,0,0,1,-2.255804777,0,0,1,-0.8561711907,0.05364109576,-2.173682647e+11,14.38370132,0.690251112,12.25012875,4.194870949,12.9914856,20.20359612,2.64697796e-22
CS,raw,0,0,0.001,14,none,0.1125,0.1125000045,0.1125000045,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68203151,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.782197952,4.324202061,-14.36295319,0,0,1,-2.252714634,0,0,1,-0.857968986,0.05352124199,-2.173682647e+11,14.36295319,0.6898484826,12.25012875,4.194870949,12.9914856,20.19632912,2.64697796e-22
CS,raw,0,0,0.001,15,none,0.1089791667,0.1091666669,0.1091666669,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68196086,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.815972328,4.339053154,-14.4198637,0,0,1,-2.254347563,0,0,1,-0.8598885536,0.05333805457,-2.173682647e+11,14.4198637,0.6900416613,12.25012875,4.194870949,12.9914856,20.10617065,2.64697796e-22
CS,raw,0,0,0.001,16,none,0.1216666667,0.1216666698,0.1216666698,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68240501,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.782463074,4.321536064,-14.35212898,0,0,1,-2.253727674,0,0,1,-0.8573246598,0.05355425924,-2.173682647e+11,14.35212898,0.6899014115,12.25012875,4.194870949,12.9914856,20.20137215,2.64697796e-22
CS,raw,0,0,0.001,17,none,0.1133333333,0.113333337,0.113333337,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.67864337,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.798429489,4.333474636,-14.37742519,0,0,1,-2.251461983,0,0,1,-0.8581576943,0.05340671912,-2.173682647e+11,14.37742519,0.6898803115,12.25012875,4.194870949,12.9914856,20.154356,2.64697796e-22
CS,raw,0,0,0.001,18,none,0.1114979167,0.1116666719,0.1116666719,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68447603,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.781204224,4.319645405,-14.36182785,0,0,1,-2.255095243,0,0,1,-0.8593589664,0.05357769504,-2.173682647e+11,14.36182785,0.690138042,12.25012875,4.194870949,12.9914856,20.19885445,2.64697796e-22
CS,raw,0,0,0.001,19,none,0.1115041667,0.113333337,0.113333337,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68344503,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.79675293,4.329010487,-14.39045238,0,0,1,-2.253417969,0,0,1,-0.8593152165,0.05346179381,-2.173682647e+11,14.39045238,0.690136373,12.25012875,4.194870949,12.9914856,20.15403938,2.64697796e-22
CS,raw,0,0,0.001,20,none,0.11406875,0.1141666695,0.1141666695,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68213708,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.788560867,4.327433109,-14.39103222,0,0,1,-2.253434181,0,0,1,-0.858666122,0.05348127708,-2.173682647e+11,14.39103222,0.6898758411,12.25012875,4.194870949,12.9914856,20.1638813,2.64697796e-22
CS,raw,0,0,0.001,21,none,0.12235,0.1225000024,0.1225000024,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68283631,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.774107933,4.318092346,-14.36621761,0,0,1,-2.254090309,0,0,1,-0.8599178195,0.05359696597,-2.173682647e+11,14.36621761,0.6900043488,12.25012875,4.194870949,12.9914856,20.2021122,2.64697796e-22
CS,raw,0,0,0.001,22,none,0.10985,0.1099999994,0.1099999994,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68707851,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.762428284,4.306007862,-14.35993481,0,0,1,-2.254700422,0,0,1,-0.8598246574,0.05374738574,-2.173682647e+11,14.35993481,0.6901990771,12.25012875,4.194870949,12.9914856,20.24668312,2.64697796e-22
CS,raw,0,0,0.001,23,none,0.1108020833,0.1108333394,0.1108333394,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68462542,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.777289391,4.319281101,-14.3897171,0,0,1,-2.256557465,0,0,1,-0.8600913882,0.05358221754,-2.173682647e+11,14.3897171,0.6901504397,12.25012875,4.194870949,12.9914856,20.18115807,2.64697796e-22
CS,raw,0,0,0.001,24,none,0.1170979167,0.1174999997,0.1174999997,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68530571,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.7759552,4.321085453,-14.38118172,0,0,1,-2.254459858,0,0,1,-0.8594124317,0.05355984345,-2.173682647e+11,14.38118172,0.6901785135,12.25012875,4.194870949,12.9914856,20.17531776,2.64697796e-22
CS,raw,0,0,0.001,25,none,0.1122270833,0.1125000045,0.1125000045,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68136319,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.794978142,4.328378677,-14.40602589,0,0,1,-2.253871202,0,0,1,-0.8590605855,0.05346959457,-2.173682647e+11,14.40602589,0.6900106668,12.25012875,4.194870949,12.9914856,20.14622688,2.64697796e-22
CS,raw,0,0,0.001,26,none,0.102425,0.1083333343,0.1083333343,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68582183,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.767948151,4.316334248,-14.3952837,0,0,1,-2.257116795,0,0,1,-0.8551054001,0.05361879617,-2.173682647e+11,14.3952837,0.6903686523,12.25012875,4.194870949,12.9914856,20.19568825,2.64697796e-22
CS,raw,0,0,0.001,27,none,0.1112770833,0.1116666719,0.1116666719,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68324688,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.758343697,4.313117027,-14.32699299,0,0,1,-2.254212856,0,0,1,-0.8594436049,0.05365879461,-2.173682647e+11,14.32699299,0.6900120378,12.25012875,4.194870949,12.9914856,20.23866081,2.64697796e-22
CS,raw,0,0,0.001,28,none,0.1165333333,0.1166666672,0.1166666672,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.68363131,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.770367622,4.315071583,-14.35340214,0,0,1,-2.255368948,0,0,1,-0.8593866229,0.05363448709,-2.173682647e+11,14.35340214,0.690012753,12.25012875,4.194870949,12.9914856,20.21926689,2.64697796e-22
CS,raw,0,0,0.001,29,none,0.11131875,0.1116666719,0.1116666719,0,0,0.3387608826,25.13338852,-0.2086860985,0.5058333278,58.682901,0.4949499965,0.01262783259,0.5058333278,0.4811833501,0,-0.008317769505,0.01420848072,0.9999996424,0.8963906169,1,1,-9.775762558,4.3229146,-14.3758955,0,0,1,-2.255937815,0,0,1,-0.8591675162,0.05353718251,-2.173682647e+11,14.3758955,0.6900646687,12.25012875,4.194870949,12.9914856,20.19080734,2.64697796e-22
