seed,n_records,n_layerA,n_layerB,n_sigma0,layerC,frac_unit_dropped,frac_alive0,P1_win_A,P1_med_A,P1_n_A,P2_win_A,P2_med_A,P2_n_A,cself_A,crest_A,share_A,P1_win_B,P1_med_B,P1_n_B,P2_win_B,P2_med_B,P2_n_B,cself_B,crest_B,share_B,P1_win_all,P1_med_all,P1_n_all,P2_win_all,P2_med_all,P2_n_all,cself_all,crest_all,share_all,P1b_med_0.001,P1b_n_0.001,P1b_med_0.01,P1b_n_0.01,P1b_med_0.1,P1b_n_0.1,P1_null_A,P1_excess_A,frac_self_pos_A,P1_win_lossQ1,P1_n_lossQ1,P1_win_lossQ2,P1_n_lossQ2,P1_win_lossQ3,P1_n_lossQ3,P1_win_lossQ4,P1_n_lossQ4
0,20901,901,20000,0,out,0.865555715037558,0.0,0.5982271000422119,0.11850344708143193,11845,0.5516251582946391,0.04242756025408306,11845,0.005160920246559822,0.9639107726887093,0.4859601011342859,0.6780875102635265,0.39162271113711244,269157,0.6016525670890966,0.10718743811588051,269157,0.0005331462656782461,0.9648192060071827,0.4544248503296458,0.6747211763617341,0.37534615151349543,281002,0.5995437754891424,0.10399804757130081,281002,0.0005884436867778927,0.9648006457347038,0.45699800042632654,0.9499794574655355,11513,0.9496203962623516,10332,0.9705622010441818,6075,0.6033769523005488,-0.005149852258336862,0.5868298860278599,0.5759657963047794,6549,0.6266712375728488,2917,0.6141226818830242,1402,0.6397134083930399,977
1,20901,901,20000,0,in,0.8510387062819961,0.0,0.5839476455543854,0.0754092273896181,13294,0.5443809237249887,0.03265509277850412,13294,0.001998845517275161,0.96421205436159,0.4961579571349158,0.6812380473074987,0.3453432734716487,298050,0.621902365374937,0.11903024884422336,298050,0.0005972182637256618,0.9579079142093476,0.46868210572278307,0.6770838686468986,0.3268172926093342,311344,0.6185922966236703,0.11556560014822725,311344,0.0006091876430564871,0.9580307325679065,0.4718439100468744,0.9589589108846587,11909,0.9747738308980286,9793,1.0036343666887564,5679,0.5897021212577103,-0.0057544757033248795,0.3891229125921468,0.5481185860889396,8770,0.6628744785741373,2637,0.6279547790339157,973,0.6531728665207878,914
2,20901,901,20000,0,in,0.8019070857853692,0.00502368307736472,0.5897154095326238,0.09218706760978036,17288,0.5441346598796853,0.037877166711276264,17288,-0.023409616522977246,1.003474687016382,0.49741975398807375,0.6788070957237125,0.30187519358965953,396746,0.6051050294142852,0.10011038267235164,396746,-0.0004975055042479717,0.959732530732853,0.47412790604807076,0.6750870701439978,0.28802520241374086,414034,0.6025592101131791,0.09741306803866356,414034,-0.0006944961753294124,0.9603082565785308,0.4770725841476949,1.0294939221526531,15362,1.0427929495836623,12192,1.0208970364133747,5949,0.5825717260527533,0.0071436834798704885,0.392121702915317,0.5082413840076284,7341,0.6368678629690049,6130,0.6764076977904491,2806,0.6547972304648862,1011
3,20901,901,20000,0,in,0.8725482034352423,0.02368307736471939,0.5967584802054734,0.10417171318446741,11291,0.5575236914356567,0.051057594787878385,11291,0.0044217448516292255,0.9645203443712608,0.4890614972850981,0.683479944805093,0.3823396278596915,255096,0.6144314297362562,0.12088926453466947,255096,-0.0010047156773941056,0.9677196011591479,0.4593383896117136,0.6798041946491383,0.36191662457803425,266387,0.6120193552988696,0.11646577076661573,266387,-0.0009744248443843796,0.9676510450733548,0.46213350491219746,0.9601309758051481,11211,0.9691203822923323,9016,0.9863197188122335,5152,0.5990611991851917,-0.0023027189797183434,0.5218315472500221,0.5707882942262061,7586,0.6405727923627685,2095,0.6538461538461539,988,0.6752411575562701,622
4,20901,901,20000,0,in,0.8888206305918377,0.0,0.6001634487690265,0.12643252425064783,9789,0.5494943303708244,0.044161879284055953,9789,0.008057040866258414,0.9567285397930336,0.48393215631134606,0.6803811543351589,0.42685530151201134,222587,0.6052330100140619,0.12719865757032658,222587,-0.0007084326752376329,0.9657008075150642,0.44987993457649594,0.6770019279099391,0.40686790727281524,232376,0.6028849795159569,0.12372334162761212,232376,-0.0006658184488029925,0.9655607128458781,0.45242944892758286,0.9554106131488553,9475,0.9536560409321038,8798,0.9570733866632042,5660,0.6036878128511595,-0.003524364082132969,0.4435590969455511,0.5956678700361011,6094,0.6262241566920566,1838,0.5456431535269709,964,0.6360582306830908,893
5,20901,901,20000,0,in,0.7654241423855318,0.0,0.5699161676646707,0.05939435695872955,20875,0.5402634730538922,0.02759426906961393,20875,-0.013187801973222816,0.9697259696274049,0.4986254815648465,0.6680464069942822,0.31025500306910825,469412,0.6021895477746627,0.09938567961545264,469412,0.0010319802778051067,0.957322381746915,0.490744531065308,0.6638683057066576,0.29314400424660114,490287,0.5995529149253397,0.09571717687014397,490287,0.0009705720457919147,0.9574464568561691,0.4917082724058808,0.9793097050953175,18050,0.9707161359675875,14550,0.9829503609957372,6157,0.5657964071856287,0.004119760479041945,0.49580838323353293,0.5172716306612567,9119,0.578840096349824,5397,0.6281013319404545,3829,0.6525691699604743,2530
6,20901,901,20000,0,out,0.8827266637959906,0.0,0.6077294685990338,0.20432739426424312,10350,0.5591304347826087,0.09320899936392478,10350,-0.0034745149148564794,0.9685817516209418,0.4768858299512216,0.6751660184952484,0.5062444918915668,234763,0.580287353628979,0.1272131498377417,234763,-0.0007705581808365546,0.9657837749522229,0.44905536002163904,0.6723184816798783,0.4897395049124334,245113,0.5793939937906191,0.12595171995122395,245113,-0.000800038430544203,0.965831612537432,0.45119441141899785,0.9690693874281748,10350,0.9815649251617831,9941,0.9763716212477895,6547,0.6052657004830918,0.0024637681159419555,0.5826086956521739,0.5613382899628253,4304,0.6138297872340426,2820,0.6394557823129252,1911,0.7003802281368822,1315
7,20901,901,20000,0,out,0.8701708052246304,0.0328213961054495,0.5924124513618677,0.10394984864480333,11308,0.5399717014503007,0.030252695252036374,11308,0.0026056542205447177,0.9476146488415422,0.4914105458461283,0.6869847105149819,0.4204444307300277,260048,0.6040884759736664,0.11386449160829851,260048,-0.0002550801439299271,0.9638321994459675,0.45787915939134183,0.6830436769409927,0.4018212471498396,271356,0.6014165892775543,0.10994663105122046,271356,-0.00024359618594403177,0.9637313004482743,0.46140570662678204,0.9404105192714809,10982,0.9480608796167702,9379,0.9608780787340965,4984,0.5955960382030421,-0.0031835868411743684,0.4739122744959321,0.553133514986376,6606,0.6306504961411246,2721,0.6186186186186187,999,0.7240325865580448,982
8,20901,901,20000,0,out,0.8148590976508301,0.10348787139371322,0.5732798518975625,0.06568840359387385,16205,0.5438444924406047,0.03398153482907473,16205,-0.012742731748870074,0.9763375824331828,0.49915193950673326,0.6799907217106577,0.32913060844703906,370758,0.6020719714746546,0.09195286149936945,370758,0.00018255855726843562,0.958678644068861,0.4769754755794343,0.6755219491269191,0.3100861633619029,386963,0.5996335566966351,0.08983006156971574,386963,0.00013337627183506525,0.9588729342660869,0.4802125415509797,1.000094375640934,13699,1.000381380301742,11296,0.9972755648266373,5286,0.5717679728478865,0.0015118790496759793,0.52897253933971,0.5217178514621315,8173,0.6040824575586096,4948,0.6644682605111294,2426,0.6458966565349544,658
9,20901,901,20000,0,in,0.87996363810344,0.0,0.583943661971831,0.17081487380700167,10650,0.5467605633802817,0.0771997565668797,10650,0.012788148302484963,0.9463800092653016,0.49224769768840837,0.6673798483170855,0.48151578100976933,240238,0.5877171804627078,0.15335251500682767,240238,-0.002069507928230487,0.9607048287603377,0.472296348727239,0.6638380472561461,0.46264373951307947,250888,0.585978603998597,0.15041274750038652,250888,-0.0019778556994359594,0.9604746980165846,0.474099685303373,0.9337809692171719,10268,0.9287741692340932,9389,0.9566077019333448,5914,0.5901408450704225,-0.006197183098591519,0.6063849765258216,0.5305351104038194,5027,0.616581956797967,3148,0.6360818350898946,1613,0.6786542923433875,862
