U,W_med,arm,ci,death_rate,drift,fit,gate_ok,iqr_zbar,judgment,label,mob,mob_ci,mob_med,n_alive,n_seeds,nan_seeds,no_sink,occ,occ_ci,occ_tight,point,role,section,settle,settle_zbar,trap_at_inflection,trap_gate_pred,v_abs_med,w_med,z1,zbar,zbar_ci,zbar_med
,2.334818603594322,SN_a1_1216,,0.18300000000000005,"{""below"": [0.07158881425857544, [0.06885428875684738, 0.07469454556703567], 68361], ""above"": [0.021611317992210388, [0.019045794010162355, 0.023586870729923246], 92894], ""sign_reversal"": false}",,,0.2863718525320291,summary,—,,"[0.6494193661212921, 0.703020127415657]",0.6685152119398117,817,,0,,0.962,"[0.955, 0.968]",0.629,,report,w100,,"[-0.5695072586834431, -0.5657448062300682, -0.5898932167887687]",,0.6907429464079767,0.0997679578140378,1.3582312536239625,,,"[-0.6061920786774717, -0.5769934040307999]",-0.5898932167887687
,2.7757232042215767,SN1_a1_1216,,0.14200000000000002,"{""below"": [0.07588103413581848, [0.07274850308895112, 0.07994937896728516], 61566], ""above"": [0.02518463134765625, [0.022322944551706313, 0.02924067378044128], 81165], ""sign_reversal"": false}",,,0.3390997098386288,summary,—,,"[0.774550416469574, 0.7881401586532593]",0.7790722095966339,858,,0,,0.975,"[0.961, 0.987]",0.587,,report,w100,,"[-0.5502068402897566, -0.5467634291760624, -0.570961977224797]",,0.8711105876018401,0.1182011924276594,1.6412594687938689,,,"[-0.5930115989372134, -0.5574588508242742]",-0.570961977224797
,3.0308849947154526,SNA05_a1_1216,,0.31799999999999995,"{""below"": [0.2710355520248413, [0.25728456676006317, 0.2842918701469898], 22138], ""above"": [0.15366941690444946, [0.1457366332411766, 0.16081790775060653], 45034], ""sign_reversal"": false}",,,0.2152053413609974,summary,—,,"[0.9382454435676336, 0.9444321119785308]",0.9414607781171799,682,,0,,0.919,"[0.906, 0.933]",0.123,,report,w100,,"[-0.3035408641770482, -0.32241278398782014, -0.3298458735900931]",,0.9635480543349295,0.11299620224162936,1.6922746539115905,,,"[-0.3388699468271807, -0.3189834846369922]",-0.3298458735900931
,3.482825155258179,SNA025_a1_1216,,0.569,"{""below"": [0.6520494669675827, [0.6281657325103879, 0.6749181073158979], 7980], ""above"": [0.4203966595232487, [0.4072809649631381, 0.4338956266641617], 16754], ""sign_reversal"": false}",,,0.1466877578687854,summary,—,,"[0.9884730672836304, 0.9912669909000397]",0.9898832130432129,431,,0,,0.765,"[0.743, 0.789]",0.005,,report,w100,,"[-0.14784366063773632, -0.14768867493607102, -0.15067713630385696]",,1.096085439358351,0.14904127091169359,1.9645908856391907,,,"[-0.15975402150303125, -0.14455745033919812]",-0.15067713630385696
,,SN1_a1,"[0.3560882316987009, 0.5016319015968063]",,,,,,H1-a dlog10U vs SN5_a1,DIFFERS,,,,,20,,,,,,0.4576979230733731,confirmatory,w5,,,,,,,,,,
,,SN1_a1_lr00037,"[0.30251128111519865, 0.49607473057516477]",,,,,,H1-a dlog10U vs SN5_a1,DIFFERS,,,,,20,,,,,,0.3928545088338211,report,w5,,,,,,,,,,
"[0.4576979230733731, [0.3560882316987009, 0.5016319015968063]]",,SN1 vs SN,,,,,,,H1 overall,LOBE_MATTERS,"[0.03005018055438996, [0.014265469156205607, 0.0449382972717286]]",,,,,,,"[0.013000000000000022, [-2.4999999999986662e-05, 0.025000000000000033]]",,,,confirmatory,H1,,,,,,,,,,
,,SNA05_a1_1216,,,,"{""vs_SN"": [0.41553881862567493, [0.3809867932240084, 0.5229300262629922], ""FIT_WORSE""], ""vs_LR5x"": [-0.3909027283830821, [-0.4365365325222277, -0.3377877185931959], ""BEATS_LEAKY""], ""U_med"": 0.18954068872236293}",True,,H2 overall,ZERO_NEEDED,"[0.9414607781171799, 0.6685152119398117]",,,,,,False,,,,,confirmatory,H2,"[-0.3035408641770482, -0.32241278398782014, -0.3298458735900931]",,False,,,,-0.7853981633974483,"[-0.3298458735900931, [-0.3388699468271807, -0.3189834846369922]]",,
,,SNA025_a1_1216,,,,"{""vs_SN"": [0.7554899730571271, [0.7038958505801708, 0.8005804157436005], ""FIT_WORSE""], ""vs_LR5x"": [-0.0875987061161774, [-0.12579569881467334, -0.06288826190905639], ""BEATS_LEAKY""], ""U_med"": 0.3698061465684215}",True,,H2 overall,ZERO_NEEDED,"[0.9898832130432129, 0.6685152119398117]",,,,,,True,,,,,report,H2,"[-0.14784366063773632, -0.14768867493607102, -0.15067713630385696]",,False,,,,-0.7853981633974483,"[-0.15067713630385696, [-0.16028897840355055, -0.14455745033919812]]",,
