n_records,raw_u,u,log10_u,onset,sub_frac,depth_q50,depth_q90,frozen_frac,absv_sub_med,valley_frac,arm,seed,role,revive_across,revive_within
10,0.2991164823097276,0.2991164823097276,-0.5241596552437053,1,0.962,6.056473255157471,8.280123901367187,0.951,2.360830783843994,0.986,Gz_b1_1216,0,clamp0,1936,1243
10,0.2828495280686757,0.2828495280686757,-0.5484445415385303,1,0.97,7.055685043334961,9.290479946136475,0.96,2.761272668838501,0.988,Gz_b1_1216,1,clamp0,1914,1149
10,0.009296696364335227,0.009296696364335227,-2.03167135312701,0,0.844,5.710086345672607,7.580686092376709,0.775,2.0080437660217285,0.959,Gz_b1_1216,2,clamp0,2115,1377
10,0.13667710135442507,0.13667710135442507,-0.8643042402853841,1,0.897,6.072258472442627,8.397563362121582,0.876,2.469520092010498,0.972,Gz_b1_1216,3,clamp0,1792,1195
10,0.24022979723378804,0.24022979723378804,-0.619373125277769,1,0.942,6.636050462722778,9.003297519683837,0.923,2.5537774562835693,0.988,Gz_b1_1216,4,clamp0,1795,1026
10,0.033956190260581456,0.033956190260581456,-1.4690810416795614,0,0.882,5.479260444641113,7.531906223297119,0.827,2.2554112672805786,0.969,Gz_b1_1216,5,clamp0,2236,1361
10,0.11205295000596338,0.11205295000596338,-0.9505767053542953,1,0.914,6.135324716567993,8.267156314849853,0.881,2.362102508544922,0.983,Gz_b1_1216,6,clamp0,2081,1302
10,0.502281688955131,0.502281688955131,-0.29905265407357373,1,0.958,7.082447528839111,9.399000263214115,0.941,2.6026008129119873,0.991,Gz_b1_1216,7,clamp0,1668,1220
10,0.16302561946679375,0.16302561946679375,-0.7877441408797476,1,0.918,6.200834512710571,8.293943119049073,0.888,2.547339677810669,0.983,Gz_b1_1216,8,clamp0,1966,1364
10,0.1799167739764702,0.1799167739764702,-0.7449283446821298,1,0.942,6.101197242736816,8.800097846984864,0.928,2.495776414871216,0.988,Gz_b1_1216,9,clamp0,1910,1272
10,0.37973653527916984,0.37973653527916984,-0.4205176164319408,1,0.977,5.990880966186523,8.607222175598144,0.971,2.118147373199463,0.99,Sz_b3_1216,0,clamp0,1430,679
10,0.30597799589853747,0.30597799589853747,-0.5143098042486508,1,0.966,6.542900562286377,9.360713481903076,0.963,2.113837957382202,0.989,Sz_b3_1216,1,clamp0,1402,606
10,0.7155207830765055,0.7155207830765055,-0.14537774716715746,1,0.962,5.687211990356445,7.682119464874267,0.956,2.13177227973938,1.0,Sz_b3_1216,2,clamp0,1612,770
10,0.45619869610989366,0.45619869610989366,-0.34084596034189424,1,0.974,6.113186836242676,8.265925121307374,0.971,2.126934766769409,0.989,Sz_b3_1216,3,clamp0,1524,726
10,0.5829570448307392,0.5829570448307392,-0.23436344503561013,1,0.97,6.345207691192627,8.403222274780273,0.958,2.0794100761413574,0.993,Sz_b3_1216,4,clamp0,1413,682
10,0.255107174794156,0.255107174794156,-0.5932773268480989,1,0.925,5.540886878967285,7.659679985046387,0.91,1.9352152347564697,0.987,Sz_b3_1216,5,clamp0,1844,752
10,0.15701306982034507,0.15701306982034507,-0.8040641952684323,1,0.91,5.924906253814697,7.694628524780273,0.897,1.8329991102218628,0.992,Sz_b3_1216,6,clamp0,1871,816
10,0.512243706608662,0.512243706608662,-0.29052336860645567,1,0.96,6.247182846069336,8.395405483245849,0.953,2.1677472591400146,0.994,Sz_b3_1216,7,clamp0,1510,711
10,0.2697317320908119,0.2697317320908119,-0.5690679587703839,1,0.926,6.118114948272705,8.474764823913574,0.916,1.9908277988433838,0.992,Sz_b3_1216,8,clamp0,1600,723
10,0.2161555332891234,0.2161555332891234,-0.6652336426370375,1,0.959,5.671229362487793,8.226305198669433,0.949,1.996072769165039,0.988,Sz_b3_1216,9,clamp0,1473,641
