verdict,arm,orig,clamp,n_onset,log10_u,log10_u_orig,log10_u_clamp,log10_u_relu,d_orig,d_orig_lo,d_orig_hi,d_orig_sign,d_clamp,d_clamp_lo,d_clamp_hi,d_clamp_sign,d_relu,d_relu_lo,d_relu_hi,d_relu_sign,relu_equivalent,depth_q50,frozen,revive_across,family_label
PARTIAL,Gz_b1_1216,G_b1_1216,Gc_b1_1216,8,-0.7663362427809387,-0.0030161538660053765,-0.5276417451165154,-0.2746619723906341,-0.7642751189842083,-1.1489026493992578,-0.5484402079991735,10:0,-0.06519161405785895,-0.5483361111627505,0.05172397140237689,7:3,-0.36214578686728083,-0.8642541477533364,-0.22212004876044622,10:0,0,6.118260979652405,0.9055,1925.0,MIXED
PARTIAL,Sz_b3_1216,S_b3_1216,Sc_b3_1216,10,-0.4674137103402958,-9.021649275295343e-06,-0.4616559187212768,-0.2746619723906341,-0.46741113815215324,-0.6150980816910816,-0.2876030540063179,10:0,0.04695739113830261,-0.016537466985303673,0.14035209197156873,4:6,-0.2129603447900528,-0.34079586780984655,-0.11845192468106755,9:1,0,6.0520339012146,0.9544999999999999,1517.0,FLOOR_IRRELEVANT
