arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LL,raw,0,0,0.001,21,none,0.7335666667,0.9991666675,0.9991666675,0,0,-24.93725395,11.38375378,-44.35623169,0.1089999676,65.02953159,0,0,-18.01200676,8.881069183,-38.25372696,0.1232499704,66.24331825,22.49920845,4.339925766,5.079837799
LL,raw,0,0,0.001,22,none,0.7327791667,0.9916666746,0.9916666746,0,0,-24.78987122,11.75284863,-44.07514572,0.1089999676,64.61265036,0,0,-18.64288712,9.431751251,-37.47136307,0.123249948,66.38748525,22.93141556,4.386868477,5.133560658
LL,raw,0,0,0.001,23,none,0.74623125,0.9966666698,0.9966666698,0,0,-25.21967125,11.77958012,-46.81706619,0.1082499698,62.87918937,0,0,-17.18891716,8.582444191,-31.3451252,0.1217499599,66.08461783,23.58893204,4.452905178,5.233931541
LL,raw,0,0,0.001,24,none,0.7350791667,0.9950000048,0.9950000048,0,0,-25.7240181,11.98395443,-39.14592361,0.1082499698,66.20123817,0,0,-18.34384155,9.011906624,-30.50487328,0.1239999533,67.89292074,23.92815399,4.464517117,5.159352303
LL,raw,0,0,0.001,25,none,0.74146875,0.9925000072,0.9925000072,0,0,-24.27663803,11.89744282,-42.27927017,0.1149999648,68.00745117,0,0,-18.29918289,9.732522011,-30.55379677,0.133749947,70.33612079,24.26729584,4.48953867,5.126731873
LL,raw,0,0,0.001,26,none,0.7140208333,0.9983333349,0.9983333349,0,0,-26.55498886,11.62341595,-51.92266464,0.1082499698,65.10127533,0,0,-17.71159363,8.980572701,-32.7824173,0.1239999682,67.01306644,24.68044853,4.521966457,5.075931549
LL,raw,0,0,0.001,27,none,0.7420875,0.9900000095,0.9900000095,0,0,-27.17983818,12.05804157,-47.30349731,0.1052499637,61.80033633,0,0,-20.98975182,9.127947807,-34.75339508,0.1142499596,61.9269877,25.07439041,4.604981899,5.16038084
LL,raw,0,0,0.001,28,none,0.7335958333,0.9966666698,0.9966666698,0,0,-26.47283745,11.98386669,-42.84070969,0.1067499667,64.89457108,0,0,-19.55939102,9.4351511,-34.67057419,0.1194999591,66.41527442,25.427248,4.608630657,5.081256866
LL,raw,0,0,0.001,29,none,0.7381041667,0.9433333278,0.9433333278,0,0,-28.27185631,12.30855751,-61.16165543,0.1067499593,61.9679033,0,0,-19.59721565,8.928884506,-33.6774025,0.117999956,64.74502878,25.8278904,4.652108192,5.178908825
LL,raw,0,0,0.001,30,none,0.72308125,0.9975000024,0.9975000024,0,0,-26.48595428,12.32073879,-42.73647308,0.1097499654,65.88059679,0,0,-17.67856979,9.523402214,-31.58956718,0.1307499409,69.12913085,26.14581871,4.681443214,5.085798264
LL,raw,0,0,0.001,31,none,0.7352083333,0.9900000095,0.9900000095,0,0,-29.64685059,12.27990532,-46.2928772,0.1052499637,60.54924925,0,0,-19.87200546,9.363524437,-38.4501152,0.1194999591,62.68770912,26.61714363,4.724177361,5.139748096
LL,raw,0,0,0.001,32,none,0.7427875,0.9966666698,0.9966666698,0,0,-27.23428535,12.65295124,-52.05088806,0.1089999676,66.61151607,0,0,-19.04469681,9.798362732,-35.95033264,0.126249969,69.30900054,26.84584236,4.642273903,4.87451601
LL,raw,0,0,0.001,33,none,0.7243916667,0.9933333397,0.9933333397,0,0,-28.01117325,12.66841221,-46.58961868,0.1082499623,64.08147053,0,0,-19.69983101,9.720453262,-34.66171265,0.1247499511,67.10842038,27.24263954,4.767876148,5.021268368
LL,raw,0,0,0.001,34,none,0.7262166667,0.9983333349,0.9983333349,0,0,-29.67775536,12.50648975,-44.62631989,0.1067499593,64.0605695,0,0,-18.82014084,9.683160782,-38.40445328,0.1262499541,68.21833121,27.56463623,4.768947601,5.071585178
LL,raw,0,0,0.001,35,none,0.73420625,1,1,0,0,-27.49116325,12.45497608,-52.14998627,0.1097499654,66.51758377,0,0,-20.5036602,9.944158554,-33.42928314,0.1217499599,68.38448059,27.86037254,4.824249268,5.121589661
LL,raw,0,0,0.001,36,none,0.72824375,0.8666666746,0.8666666746,0,0,-31.19400406,12.82939434,-50.01416779,0.1052499637,61.04905585,0,0,-23.4552269,9.795610428,-38.85112,0.1142499596,58.89098571,28.25103569,4.891430855,5.193336487
LL,raw,0,0,0.001,37,none,0.7377270833,0.9991666675,0.9991666675,0,0,-28.44807434,12.80166721,-51.91521454,0.1067499593,64.21906188,0,0,-20.54334641,9.70764637,-38.29774475,0.117999956,65.91572412,28.59935188,4.935675144,5.206880093
