arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,two_alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,two_alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,two_alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,two_alpha_W_med_f2,pool
SNA_avg,8,0.001,33,none,0.9471333333,1,1,0,0,-0.1533197612,0.1522315592,-0.4937773347,0.5407717824,0.7548123598,11.51632922,0,0,-0.5012033582,0.7524335384,-0.8685623407,0.5649896264,1.047371626,15.45832615,0,0,-3.71706152,4.175731659,-13.31728268,0.6753983498,83.22641629,0,0,-19.19005585,14.53207016,-38.40071487,0.5545496345,78.90397146,1.175783515,4.662955761,12.19110107,3.604578018,1.936569691,3,0.8805440068,3,0.5625,0.9113599062,0.7768006921,0.5922595859,0.9538839459,0,1.200000048,0.1483613402,0.1180475652,0.174185127,0,1.200000048,0.04251265153,0.03494998813,0.0564959757,0,1.200000048,avg
SNA_avg,8,0.001,34,none,0.9534,1,1,0,0,-0.1658144295,0.147326842,-0.6626605392,0.5834684372,0.7440667748,11.03216501,0,0,-0.398003459,0.6278250813,-0.7609836459,0.6020840406,1.100999475,15.49952312,0,0,-3.408085585,3.70868063,-9.542963028,0.6973227859,85.15614276,0,0,-14.47239113,13.18371773,-34.22970963,0.5505585074,81.07132242,1.158472657,4.543789864,12.31209469,3.571764469,1.885867357,3,0.9190550447,3,0.5625,0.8819411993,0.9508470893,0.6886894703,1.068438411,0,1.200000048,0.1670584828,0.1275350749,0.1883956343,0,1.200000048,0.0469314754,0.03542762995,0.05666302517,0,1.200000048,avg
SNA_avg,8,0.001,35,none,0.9521395833,1,1,0,0,-0.08369147032,0.1335713267,-0.8555812836,0.5864912868,0.8094370365,10.70766346,0,0,-0.4106560349,0.6553260684,-0.9120209217,0.6186316013,1.123566747,15.48586793,0,0,-3.636385918,3.760024071,-11.53742695,0.6617467403,82.74731185,0,0,-18.32006264,12.85986328,-35.19064713,0.5565855503,77.74890991,1.163370371,4.526045322,12.48415852,3.608663559,1.888434291,3,0.7884929776,3,0.6875,0.7984813452,0.9024226665,0.6843325496,1.170173049,0,1.200000048,0.1653725654,0.1231495366,0.1969255656,0,1.200000048,0.04820238799,0.03525981307,0.06014448032,0,1.200000048,avg
SNA_avg,8,0.001,36,none,0.9535458333,1,1,0,0,-0.157881543,0.1365827769,-0.6849107146,0.5258666277,0.6678817868,11.10005548,0,0,-0.5467497706,0.6550896764,-0.7446476817,0.5708840489,1.073629737,15.48798168,0,0,-2.451939583,3.875984192,-10.59595203,0.7379210591,85.4522884,0,0,-16.59948158,13.90601254,-36.79377747,0.5568497777,79.8546564,1.147174835,4.636883736,12.61588955,3.633999109,1.893666625,3,0.8864960074,3,0.5625,0.8162512779,0.8884884119,0.6771449447,1.050925255,0,1.200000048,0.1601492018,0.1133967265,0.1917139441,0,1.200000048,0.04456427693,0.0362861231,0.0584231317,0,1.200000048,avg
SNA_avg,8,0.001,37,none,0.94909375,1,1,0,0,-0.0865503177,0.123307988,-0.7932616472,0.6556628942,0.8462541699,11.0026014,0,0,-0.4735108614,0.6979746222,-0.8006317616,0.6119903922,1.108964682,15.60795507,0,0,-2.864149332,4.014066696,-12.45818996,0.741518259,86.32859518,0,0,-15.76202011,14.3620615,-33.50461578,0.5467514992,80.88096015,1.203165889,4.830967903,12.80755711,3.665739775,1.878483534,3,0.833147645,3,0.625,0.7380975485,0.8529695868,0.6914299726,1.023259401,0,1.200000048,0.1520594209,0.1279087365,0.1812194288,0,1.200000048,0.04281587154,0.03183628991,0.05488733575,0,1.200000048,avg
SNA_avg,8,0.001,38,none,0.9506208333,1,1,0,0,-0.1650889218,0.1341508478,-0.6866888404,0.5408248305,0.6967056394,10.84440843,0,0,-0.4794398248,0.7067161202,-0.8117035031,0.6019637585,1.093361735,15.54079521,0,0,-3.310431719,4.049957752,-12.32204247,0.6850860715,83.72079541,0,0,-19.51451302,15.05069065,-35.15499496,0.5480837226,79.29699647,1.191291571,4.928252697,12.98689651,3.705713749,1.881641865,3,0.7902661562,3,0.5625,0.8014206886,0.8279813528,0.7518163323,1.089779615,0,1.200000048,0.1526601315,0.1195995882,0.1736876667,0,1.200000048,0.04109108075,0.03020789474,0.05472083017,0,1.200000048,avg
SNA_avg,8,0.001,39,none,0.9505833333,1,1,0,0,-0.1842084825,0.1558311135,-0.8210335374,0.5301647186,0.7212646008,11.03014751,0,0,-0.5875276327,0.7244000435,-0.7128868699,0.5719450116,1.061149478,15.61458957,0,0,-3.244815826,4.085939884,-12.4099617,0.6990572214,84.39570675,0,0,-18.05748367,15.02488804,-36.05305481,0.5331513882,79.82768557,1.284069419,4.942037106,13.14835835,3.711929798,1.884715796,3,0.7778028846,3,0.5625,0.9333578348,0.8187146783,0.7079684734,1.186535478,0,1.200000048,0.1514949799,0.1291118562,0.1838364154,0,1.200000048,0.04095292091,0.0311467573,0.06013540179,0,1.200000048,avg
SNA_avg,8,0.001,40,none,0.95033125,1,1,0,0,-0.1723922193,0.1586672366,-0.786834836,0.524939239,0.6537475586,10.80266537,0,0,-0.512550056,0.6839274168,-0.7181580663,0.6136792898,1.123477578,15.53954264,0,0,-3.889383554,3.902302027,-12.06629276,0.6919220686,84.14918739,0,0,-17.52807426,14.70077896,-36.75209808,0.5494788885,79.7465958,1.30782783,4.899026394,13.22432232,3.780865669,1.840883374,3,0.718872726,3,0.5625,0.9533780813,0.8643417358,0.7236009836,1.166627169,0,1.200000048,0.1584131122,0.123650983,0.1866880655,0,1.200000048,0.04197957367,0.03154943138,0.06116857752,0,1.200000048,avg
SNA_avg,8,0.001,41,none,0.95173125,1,1,0,0,-0.1117199212,0.1523465812,-0.8382876515,0.5478409529,0.6736296415,10.99098404,0,0,-0.5674138069,0.7351383567,-0.9484495521,0.5491527915,1.019147515,15.50583738,0,0,-4.06759882,4.155443668,-11.55056667,0.7073153853,84.21647089,0,0,-17.1348877,15.39422703,-38.07372665,0.5643566251,80.32025078,1.327151656,4.897804737,13.28379154,3.750585318,1.837923408,3,0.6806488037,3,0.5625,0.9079012871,0.8104202151,0.6494974494,1.014394879,0,1.200000048,0.149546802,0.1252812892,0.1740657687,0,1.200000048,0.04003120959,0.02959496155,0.05623665079,0,1.200000048,avg
SNA_avg,8,0.001,42,none,0.9503875,1,1,0,0,-0.2035145909,0.1827998608,-0.7610824704,0.4975240827,0.6762992144,10.93167042,0,0,-0.429335326,0.6487756371,-0.8622191548,0.6171035171,1.071160078,15.45014706,0,0,-3.415825367,3.83985281,-12.0581789,0.7284181118,82.95981555,0,0,-15.50238037,13.64132786,-38.01379776,0.5547606349,79.43724254,1.273095846,4.949429989,13.40118027,3.735025406,1.835387707,3,0.7598111033,3,0.5625,1.092693329,0.923792243,0.7435896397,1.217635274,0,1.200000048,0.1613123119,0.1284463406,0.1946154982,0,1.200000048,0.04524103925,0.03430258483,0.05902718008,0,1.200000048,avg
SNA_avg,8,0.001,43,none,0.9519708333,1,1,0,0,-0.1167732552,0.1761978269,-0.7783586979,0.5950462818,0.8282244802,10.99312154,0,0,-0.4818811715,0.6672383547,-0.8343414664,0.6028242707,1.094295025,15.44469268,0,0,-4.366429329,3.941905022,-12.15616035,0.6256091595,84.85702407,0,0,-14.84395885,14.15553761,-39.6124115,0.554476738,80.75758919,1.269879341,4.906453133,13.59299374,3.748294592,1.836310744,3,0.7010979056,3,0.5625,1.055871487,0.8857011199,0.7148923278,1.146419048,0,1.200000048,0.1565930247,0.1291976422,0.1867114156,0,1.200000048,0.04371851683,0.03342581913,0.05851770565,0,1.200000048,avg
SNA_avg,8,0.001,44,none,0.9458458333,1,1,0,0,-0.1159568205,0.1752720326,-0.7800012231,0.6464632154,0.7416151166,11.13787104,0,0,-0.5215325952,0.6962938309,-0.8978874087,0.5764266253,1.067062855,15.43411025,0,0,-3.883665562,4.11201334,-11.070117,0.7409219742,84.0112382,0,0,-18.32353973,15.39277458,-36.52082443,0.5478336215,80.00109083,1.311146498,5.008773327,13.73165989,3.753340483,1.841525674,2.908458233,0.7079473734,3,0.5,1.049371004,0.8116474748,0.6628041863,1.137583494,0,1.200000048,0.1510418653,0.1183266863,0.1831900924,0,1.200000048,0.04029861093,0.03000866808,0.04927760735,0,1.200000048,avg
SNA_avg,8,0.001,45,none,0.9427833333,1,1,0,0,-0.09911900759,0.1551485956,-0.7980901003,0.6446862221,0.9075793624,10.82901548,0,0,-0.5599607229,0.6952596903,-0.9829505682,0.5602630973,1.012927413,15.42743658,0,0,-4.256626129,4.07655859,-12.33155346,0.7090567946,83.53961819,0,0,-18.47340965,15.31109333,-40.79561996,0.5808867812,79.67662733,1.284508944,5.003933907,13.89048481,3.795016527,1.813372374,3,0.7174389362,3,0.6875,0.9294581413,0.8512176871,0.6747881174,1.150505066,0,1.200000048,0.1527041197,0.1337449402,0.1972625703,0,1.200000048,0.04076311737,0.03266281635,0.05209221318,0,1.200000048,avg
SNA_avg,8,0.001,46,none,0.9504625,1,1,0,0,-0.1300649643,0.1805746257,-0.7093764544,0.5534709692,0.7081704736,10.73760289,0,0,-0.4503123164,0.6752535701,-0.7445504069,0.6164011955,1.051612139,15.44610022,0,0,-4.634926319,3.92196703,-11.63505745,0.6829564571,84.88217194,0,0,-17.18551254,14.38700962,-38.40124512,0.5413307548,79.64441084,1.321284413,5.104545593,13.95914268,3.781742811,1.842740059,3,0.8152114153,3,0.6875,1.083982706,0.8763737679,0.7702738643,1.256899357,0,1.200000048,0.1573932171,0.1306539178,0.1964964569,0,1.200000048,0.04299872369,0.03342396766,0.05602594838,0,1.200000048,avg
SNA_avg,8,0.001,47,none,0.948325,1,1,0,0,-0.1309429705,0.1855993867,-0.8840349317,0.525365293,0.7196748257,10.80447649,0,0,-0.542558074,0.7700022459,-0.9730912447,0.5725693107,1.067324281,15.41564512,0,0,-3.72862196,4.249264717,-13.27438164,0.6940107346,84.73353289,0,0,-20.46705055,15.58455276,-41.02207184,0.5575971603,79.01087755,1.332085133,5.214026928,14.07121181,3.846537352,1.797908783,3,0.7037890553,3,0.5625,1.1122787,0.7766991258,0.6721868515,1.191017032,0,1.200000048,0.144928515,0.1225774363,0.1848437637,0,1.200000048,0.03962821513,0.03054851107,0.04798162356,0,1.200000048,avg
SNA_avg,8,0.001,48,none,0.9480916667,1,1,0,0,-0.1356122047,0.1766392142,-1.016989112,0.5957325697,0.8254901171,10.44223197,0,0,-0.5081529021,0.7488943338,-0.8604640961,0.6162053347,1.102488279,15.49002293,0,0,-4.229626656,4.404315948,-13.18621254,0.6760572195,84.56218782,0,0,-18.381464,16.0401516,-36.04271698,0.5774316788,80.73792009,1.271995306,5.199703217,14.21721649,3.825936079,1.768400908,3,0.7143000364,3,0.625,1.060588837,0.799051404,0.642917037,1.1096946,0,1.200000048,0.1403862387,0.1078115329,0.2001685947,0,1.200000048,0.03856322169,0.03149747103,0.04834774137,0,1.200000048,avg
SNA_avg,8,0.001,49,none,0.9365979167,1,1,0,0,-0.1728430241,0.1733249724,-0.9290348291,0.5847451091,0.806563735,10.56765484,0,0,-0.5461278558,0.7320981026,-1.181379199,0.5938977599,1.048466921,15.42686777,0,0,-5.315572262,4.462013721,-14.54911137,0.6430194378,83.87542447,0,0,-23.36174202,16.79851532,-45.14674759,0.5443786979,78.34243966,1.331755757,5.176595688,14.38811111,3.862529516,1.761864185,3,0.7481762767,3,0.5625,1.038079023,0.7786155343,0.6626713276,1.022584558,0,1.200000048,0.1384071708,0.101429604,0.1611686051,0,1.200000048,0.03675957024,0.0291366633,0.04660962522,0,1.200000048,avg
SNA_avg,8,0.001,50,none,0.9519770833,1,1,0,0,-0.1014931872,0.1716473848,-0.8881028295,0.6163088083,0.8125282526,10.55110428,0,0,-0.4699937105,0.7367643714,-1.32297647,0.6461722255,1.182315707,15.37579013,0,0,-3.953144312,4.480669022,-14.84019375,0.7433941364,84.72392684,0,0,-20.22875023,16.80043983,-47.05287933,0.5664502978,79.8955464,1.311487198,5.24639225,14.46650982,3.908168554,1.770463943,3,0.7150661349,3,0.625,1.029065371,0.7790074944,0.6175259352,1.336100817,0,1.200000048,0.1384392083,0.1063101441,0.1660698354,0,1.200000048,0.0368674472,0.02924006246,0.04669078439,0,1.200000048,avg
