id,statistic,point,ci_lo,ci_hi,threshold,result,note
T1,"alive p̂ 中央値 (1,000,000 step, seed間中央値)",0.296875,0.1875,0.5625,CI上端<4/32=0.1250→H_marg側 / CI下端>16/32=0.5000→H_earn側 / それ以外→保留,保留,n_alive(1M) seed別合計=53/1000
T2,"alive数の傾き ([700k,1M] バルクグリッド限定, 1ユニット/1e5step, 主判定)",-0.09148244802115209,-1.2673921162811221,0.9770851131468832,CIがゼロを含む→EQ / CI上端<0→DECL / CI下端>0→INC(想定外),EQ（平衡あり）,"seedあたり主判定点数=271 (10 seed で一致, S5)"
T2-win,"alive数の傾き (境界窓内の点を含む, 副次)",-0.11339611666004054,-1.3074166978501782,1.068656025220871,判定に使わない。主判定との符号一致のみ報告,符号一致,seedあたり点数=6201
decision,決定行列セル (T1 x T2),,,,spec §5 決定行列,T2のみ記録（Q9bの反論欄は閉じる。Q10は未決）,
