seed,run_id,n_alive_1m,p_hat_median_1m,n_boundary_realized,n_main_grid_win,n_winclude_grid_win,n_tail_pts,n_tail_in_boundary_window,slope_main_per1e5,slope_win_per1e5
0,A_w100_T10000_std_lr0.01_s0,5,0.15625,99,271,6201,100,0,-0.6004408826991894,-0.6738405934906
1,A_w100_T10000_std_lr0.01_s1,5,0.1875,99,271,6201,100,0,2.8528622268154638,3.1217628645947304
2,A_w100_T10000_std_lr0.01_s2,5,0.3125,99,271,6201,100,0,-3.851314170970803,-4.109774928998895
3,A_w100_T10000_std_lr0.01_s3,2,0.703125,99,271,6201,100,0,-1.6662707068806057,-1.726812519786175
4,A_w100_T10000_std_lr0.01_s4,1,0.78125,99,271,6201,100,0,-0.5522042737878498,-0.5457765122485033
5,A_w100_T10000_std_lr0.01_s5,13,0.28125,99,271,6201,100,0,1.308190382656871,1.2400888697236423
6,A_w100_T10000_std_lr0.01_s6,5,0.25,99,271,6201,100,0,0.11218235674219111,-0.009707334371876182
7,A_w100_T10000_std_lr0.01_s7,5,0.3125,99,271,6201,100,0,0.9498117140461888,0.9804952630853498
8,A_w100_T10000_std_lr0.01_s8,5,0.5625,99,271,6201,100,0,-1.1183434838025588,-1.2069381458738508
9,A_w100_T10000_std_lr0.01_s9,7,0.1875,99,271,6201,100,0,1.6507023576687712,1.7965418707657725
