outcome,primary,rd_high_low,ci_lo,ci_hi,equiv_margin,verdict,rd_adj_3x3,rd_adj_ci_lo,rd_adj_ci_hi
end_strict_dead,True,-0.02653200372783593,-0.08936817905461114,0.03780923136563353,0.05,INCONCLUSIVE,0.008875306668360814,-0.04432113453329227,0.05820684834926288
end_dead_0.05,False,-0.006766583993640496,-0.05642843983460759,0.038583137618983285,0.05,INCONCLUSIVE,0.013206241173753111,-0.038776843396660064,0.05800040404461574
