seed,unit,t0,p_hat,x,r,w_norm,cos_u_mu,end_dead_0_05,end_strict_dead,r_group,p_bin,x_bin
0,0,200000,0.5,0.04306808592110167,2.068155369216317,2.068603754043579,0.020819881930947304,1,1,mid,high,high
0,0,201000,0.78125,0.160236459207173,2.0442433546244994,2.050513744354248,0.07814454287290573,1,1,mid,high,high
0,0,202000,0.8125,0.17178815820328097,2.080022660614274,2.087104558944702,0.08230932056903839,1,1,mid,high,high
0,0,203000,0.75,0.15541760307596064,2.1112793474625198,2.1169919967651367,0.07341435551643372,1,1,mid,high,high
0,0,204000,0.75,0.16294689966556142,2.110727613019308,2.1170079708099365,0.07697037607431412,1,1,mid,high,high
0,0,205000,0.75,0.1522435640844524,2.119590704546306,2.125051259994507,0.07164230197668076,1,1,mid,high,high
0,0,206000,0.75,0.14140364863030364,2.1259390173955697,2.13063645362854,0.06636685878038406,1,1,mid,high,high
0,0,207000,0.6875,0.12875007046548426,2.131070402368101,2.134956121444702,0.060305722057819366,1,1,mid,high,high
0,0,208000,0.6875,0.1298338707042035,2.131784526800006,2.1357345581054688,0.06079120188951492,1,1,mid,high,high
0,0,209000,0.75,0.13277244657189957,2.1325463842521297,2.1366755962371826,0.06213973090052605,1,1,mid,high,high
0,0,210000,0.71875,0.12945161779618175,2.1397955990260953,2.143707752227783,0.0603867843747139,1,1,mid,high,high
0,0,211000,0.46875,-0.009655471574822605,2.153819614692625,2.153841257095337,-0.004482907708734274,1,1,mid,high,high
0,0,212000,0.375,-0.05523891570363926,2.1763396646232764,2.1770405769348145,-0.025373397395014763,1,1,mid,mid,mid
0,0,213000,0.34375,-0.06624804938399365,2.1818434060953487,2.1828489303588867,-0.030349351465702057,1,1,mid,mid,mid
0,0,214000,0.3125,-0.06316931104984569,2.1864510562162938,2.187363386154175,-0.028879202902317047,1,1,mid,mid,mid
0,0,215000,0.34375,-0.06144412925661413,2.1909949859087416,2.1918563842773438,-0.02803291752934456,1,1,mid,mid,mid
0,0,216000,0.375,-0.05930439470407478,2.192480688793407,2.1932826042175293,-0.02703910320997238,1,1,mid,mid,mid
0,0,217000,0.375,-0.0579014837191103,2.193985926098924,2.1947498321533203,-0.02638181485235691,1,1,mid,mid,mid
