outcome,p_bin,x_bin,r_group,n_event,n_exposure,risk,rd_high_low_cell
end_strict_dead,low,low,low,1238,1476,0.8387533875338753,0.02547283752907259
end_strict_dead,low,low,mid,3894,4387,0.8876225210850239,0.02547283752907259
end_strict_dead,low,low,high,4462,5163,0.8642262250629479,0.02547283752907259
end_strict_dead,low,mid,low,3172,3586,0.8845510317902956,0.05848694289324874
end_strict_dead,low,mid,mid,911,1117,0.8155774395702775,0.05848694289324874
end_strict_dead,low,mid,high,149,158,0.9430379746835443,0.05848694289324874
end_strict_dead,low,high,low,196,220,0.8909090909090909,
end_strict_dead,low,high,mid,46,46,1.0,
end_strict_dead,low,high,high,0,0,,
end_strict_dead,mid,low,low,113,145,0.7793103448275862,0.06468150853290255
end_strict_dead,mid,low,mid,794,898,0.8841870824053452,0.06468150853290255
end_strict_dead,mid,low,high,2072,2455,0.8439918533604888,0.06468150853290255
end_strict_dead,mid,mid,low,2684,3192,0.8408521303258145,-0.017552241808534652
end_strict_dead,mid,mid,mid,2434,2800,0.8692857142857143,-0.017552241808534652
end_strict_dead,mid,mid,high,1477,1794,0.8232998885172799,-0.017552241808534652
end_strict_dead,mid,high,low,1223,1428,0.8564425770308123,0.0503370839861369
end_strict_dead,mid,high,mid,624,727,0.8583218707015131,0.0503370839861369
end_strict_dead,mid,high,high,214,236,0.9067796610169492,0.0503370839861369
end_strict_dead,high,low,low,0,0,,
end_strict_dead,high,low,mid,0,0,,
end_strict_dead,high,low,high,88,125,0.704,
end_strict_dead,high,mid,low,281,335,0.8388059701492537,-0.10312315076599377
end_strict_dead,high,mid,mid,384,487,0.7885010266940452,-0.10312315076599377
end_strict_dead,high,mid,high,668,908,0.73568281938326,-0.10312315076599377
end_strict_dead,high,high,low,3474,4267,0.8141551441293648,0.018316979884777096
end_strict_dead,high,high,mid,3165,3915,0.8084291187739464,0.018316979884777096
end_strict_dead,high,high,high,3061,3677,0.832472124014142,0.018316979884777096
end_dead_0.05,low,low,low,1308,1476,0.8861788617886179,0.030923598021569965
end_dead_0.05,low,low,mid,4089,4387,0.9320720310006838,0.030923598021569965
end_dead_0.05,low,low,high,4735,5163,0.9171024598101879,0.030923598021569965
end_dead_0.05,low,mid,low,3301,3586,0.9205242610150586,0.060488397212789535
end_dead_0.05,low,mid,mid,975,1117,0.8728737690241719,0.060488397212789535
end_dead_0.05,low,mid,high,155,158,0.9810126582278481,0.060488397212789535
end_dead_0.05,low,high,low,208,220,0.9454545454545454,
end_dead_0.05,low,high,mid,46,46,1.0,
end_dead_0.05,low,high,high,0,0,,
end_dead_0.05,mid,low,low,128,145,0.8827586206896552,0.022740360980405994
end_dead_0.05,mid,low,mid,841,898,0.9365256124721604,0.022740360980405994
end_dead_0.05,mid,low,high,2223,2455,0.9054989816700612,0.022740360980405994
end_dead_0.05,mid,mid,low,2846,3192,0.8916040100250626,-0.008103452611461726
end_dead_0.05,mid,mid,mid,2609,2800,0.9317857142857143,-0.008103452611461726
end_dead_0.05,mid,mid,high,1585,1794,0.8835005574136009,-0.008103452611461726
end_dead_0.05,mid,high,low,1299,1428,0.9096638655462185,-0.0028842045292692964
end_dead_0.05,mid,high,mid,659,727,0.90646492434663,-0.0028842045292692964
end_dead_0.05,mid,high,high,214,236,0.9067796610169492,-0.0028842045292692964
end_dead_0.05,high,low,low,0,0,,
end_dead_0.05,high,low,mid,0,0,,
end_dead_0.05,high,low,high,92,125,0.736,
end_dead_0.05,high,mid,low,305,335,0.9104477611940298,-0.0216812413702413
end_dead_0.05,high,mid,mid,437,487,0.8973305954825462,-0.0216812413702413
end_dead_0.05,high,mid,high,807,908,0.8887665198237885,-0.0216812413702413
end_dead_0.05,high,high,low,3741,4267,0.876728380595266,0.01829473607593335
end_dead_0.05,high,high,mid,3489,3915,0.8911877394636015,0.01829473607593335
end_dead_0.05,high,high,high,3291,3677,0.8950231166711994,0.01829473607593335
