seed,t0,n_at_risk
0,200000,24
0,300000,4
0,400000,18
0,500000,15
0,600000,3
1,200000,22
1,300000,6
1,400000,15
1,500000,2
1,600000,2
2,200000,34
2,300000,17
2,400000,17
2,500000,3
2,600000,21
3,200000,8
3,300000,8
3,400000,23
3,500000,4
3,600000,7
4,200000,6
4,300000,6
4,400000,8
4,500000,3
4,600000,3
5,200000,45
5,300000,16
5,400000,17
5,500000,8
5,600000,15
6,200000,17
6,300000,18
6,400000,8
6,500000,19
6,600000,3
7,200000,10
7,300000,14
7,400000,13
7,500000,5
7,600000,10
8,200000,28
8,300000,16
8,400000,20
8,500000,24
8,600000,11
9,200000,11
9,300000,15
9,400000,2
9,500000,2
9,600000,2
