outcome,primary,rd_high_low,ci_lo,ci_hi,equiv_margin,verdict,rd_adj_3x3,rd_adj_ci_lo,rd_adj_ci_hi
dead_0.05,True,-0.004545454545454519,-0.013636363636363669,0.0,0.05,EQUIV,-0.0026881720430107538,-0.009756097560975608,0.0
strict_dead,False,-0.0015151515151513584,-0.013636363636363447,0.009090909090909038,0.05,EQUIV,-0.0006400409626216067,-0.008453622648537896,0.016282409425517418
