outcome,r_group,n_exposure,n_event,pooled_risk,seed_equal_risk,ci_lo,ci_hi
end_strict_dead,low,14649,12381,0.8451771451976244,0.8597393860229131,0.8222822235027711,0.9004368480730106
end_strict_dead,mid,14377,12252,0.8521944772901161,0.8635841792693387,0.8160782908947848,0.9080836075027252
end_strict_dead,high,14516,12191,0.8398319096169744,0.8332073822950772,0.7574686501215219,0.8930821967026596
end_dead_0.05,low,14649,13136,0.8967164994197556,0.904645621751467,0.883766132376849,0.9291321104199144
end_dead_0.05,mid,14377,13145,0.9143075745983168,0.9190009202965277,0.8910386036812701,0.9464283531163619
end_dead_0.05,high,14516,13102,0.9025902452466245,0.8978790377578265,0.8492575364544187,0.9379693359353091
