seed,unit,t0,p_hat,x,r,w_norm,cos_u_mu,event_dead_0_05,event_strict_dead,r_group,p_bin,x_bin
0,0,200000,0.5,0.04306808592110167,2.068155369216317,2.068603754043579,0.020819881930947304,1,1,mid,high,high
0,1,400000,0.125,-0.2621796347903711,1.7952842686998363,1.814327359199524,-0.14450514316558838,1,1,low,low,mid
0,4,300000,0.875,0.6609393795170604,3.594848411543349,3.6551027297973633,0.18082648515701294,1,1,high,high,high
0,6,400000,0.28125,-0.11468206258308555,2.3971437242266926,2.399885416030884,-0.04778647422790527,1,1,mid,mid,mid
0,9,400000,0.125,-0.29641682704730954,2.451498688255545,2.4693539142608643,-0.12003821134567261,1,1,mid,low,mid
0,10,200000,0.8125,0.419683446236256,2.514697868274951,2.54947829246521,0.1646154224872589,1,1,high,high,high
0,10,400000,0.125,-0.3634757858253579,2.948427217278547,2.9707469940185547,-0.12235164642333984,1,1,mid,low,low
0,10,500000,0.1875,-0.29192076760511654,3.516089115100347,3.528186559677124,-0.08273960649967194,1,1,mid,mid,mid
0,10,600000,0.59375,0.34505494342638343,4.214254220783587,4.228356838226318,0.0816049724817276,1,1,high,high,high
0,14,200000,0.125,-0.10260644051323276,1.3319292842358244,1.3358756303787231,-0.0768083781003952,1,1,low,low,mid
0,14,400000,0.65625,0.36939158217135315,3.1766263326607174,3.198031425476074,0.11550592631101608,1,1,mid,high,high
0,14,500000,0.125,-0.3345129533280584,3.558064214800565,3.57375431060791,-0.09360267221927643,1,1,mid,low,mid
0,16,400000,0.375,-0.0661194853709488,3.2810819129391655,3.281748056411743,-0.020147642120718956,1,1,high,high,high
0,16,500000,0.15625,-0.7275600893693763,5.710073819185057,5.75623893737793,-0.12639504671096802,1,1,high,mid,low
0,17,400000,0.125,-0.2469428384291774,1.7810490359520352,1.7980868816375732,-0.13733643293380737,1,1,low,low,mid
0,18,400000,0.15625,-0.5425136466912761,3.0313933259719668,3.0795562267303467,-0.17616617679595947,1,1,mid,mid,low
0,18,500000,0.09375,-0.9884056798920611,4.043270774456304,4.162329196929932,-0.2374645620584488,1,1,high,low,low
0,20,200000,0.34375,-0.17620203905162413,3.1854132108068467,3.1902828216552734,-0.05523085221648216,1,1,high,mid,mid
0,21,200000,0.15625,-0.23890085757477664,2.3007769634543402,2.3131468296051025,-0.10327959060668945,1,1,mid,mid,low
0,24,200000,0.1875,-0.07093420655317262,2.327506155020484,2.3285868167877197,-0.030462341383099556,1,1,mid,mid,mid
0,24,500000,0.125,-0.2766675644276475,3.302568544938297,3.3141369819641113,-0.08348102867603302,1,1,mid,low,mid
0,26,400000,0.1875,-0.1570484526014404,1.629180805431264,1.636732816696167,-0.09595240652561188,1,1,low,mid,mid
0,28,500000,0.21875,-0.5070720174489765,4.602830598081471,4.630677223205566,-0.10950277745723724,1,1,high,mid,low
0,32,400000,0.21875,-0.00027703064027007583,1.2172547263569597,1.2172547578811646,-0.00022758640989195555,1,1,low,mid,high
0,37,200000,0.0625,-0.7202764702072564,3.2125091346807664,3.2922656536102295,-0.2187783569097519,1,1,high,low,low
0,37,300000,0.21875,-0.4512447339751944,5.586127354238465,5.604323387145996,-0.0805172547698021,1,1,high,mid,low
0,37,400000,0.90625,0.7781061787962784,4.537247264377329,4.6034836769104,0.1690255105495453,1,1,high,high,high
0,41,300000,0.0625,-0.3825964114220426,2.5536367495228505,2.582138776779175,-0.1481703519821167,1,1,mid,low,low
0,41,400000,0.40625,-0.0867212417799168,2.934391824539698,2.9356729984283447,-0.029540497809648514,1,1,mid,high,mid
0,41,500000,0.125,-0.8757203795740764,4.092528697297404,4.185173511505127,-0.209243506193161,1,1,high,low,low
0,42,200000,0.25,-0.40016630501520467,3.904581820368018,3.9250340461730957,-0.10195231437683105,1,1,high,mid,low
0,42,400000,0.125,-0.8147544118843797,3.935578989020295,4.019030570983887,-0.20272411406040192,1,1,high,low,low
