test,comparison,estimate,ci_lo,ci_hi,threshold,verdict
O1_RECOVER,repair_dead_0.05_k0.5/current,0.9999999352926479,,,0.9,PASS
O1_LEGACY_MEAN_NMSE,repair_dead_0.05_k0.5/current,0.9361896575332345,0.8970565973247949,0.9767243275091237,0.9,PASS
O2_PAIR,learned-control_fresh_he,-0.11121789308546504,-0.17477686074444337,-0.03077443335363067,0.0,PASS
O2_PAIR,learned-control_row_shuffle,-0.21680535888760097,-0.47647334706316447,-0.07920972222045647,0.0,PASS
O2_PAIR,learned-control_rnd_randomized,-0.5730682068963167,-0.9134579391716404,-0.4437110569737871,0.0,PASS
O2_INFORMATIVE_W,all_3_controls,,,,,PASS
