n_exposure,n_unit
1,28
2,10
3,9
4,3
5,7
6,5
7,9
8,3
9,19
10,77
11,31
12,12
13,6
14,6
15,2
16,2
17,8
18,14
19,12
20,37
21,15
22,6
23,8
24,4
25,1
26,5
27,6
28,3
29,10
30,24
31,9
32,7
33,5
34,6
35,4
36,3
37,2
38,1
39,10
40,13
41,8
42,5
43,2
44,4
45,3
46,7
47,4
48,4
49,9
50,15
51,11
52,2
54,4
55,2
56,3
57,1
58,3
59,4
60,10
61,4
62,2
63,3
64,3
65,2
66,2
67,6
68,3
69,4
70,10
71,2
72,3
73,3
74,5
75,2
76,4
77,1
78,2
79,5
80,6
81,7
82,2
83,2
84,3
85,2
86,2
88,4
89,3
90,4
91,4
92,3
93,2
94,5
95,3
96,2
97,2
98,3
99,3
100,4
101,6
102,1
105,2
106,1
107,1
108,3
109,1
110,3
111,2
112,3
114,3
115,2
117,1
119,1
121,4
122,3
123,1
124,2
125,2
126,1
130,2
131,1
132,1
136,1
138,1
140,2
141,1
142,1
144,1
145,2
146,2
147,2
148,1
150,3
151,3
154,2
155,2
160,3
161,1
164,1
167,1
171,2
173,1
174,1
177,1
179,1
180,3
182,1
186,1
189,1
190,1
192,1
194,2
197,1
202,1
206,1
207,1
212,1
213,1
216,1
217,1
223,1
226,1
229,1
230,1
231,1
239,1
240,1
242,1
245,1
246,1
247,1
249,1
258,1
262,1
270,1
275,1
286,2
287,2
290,1
302,1
323,1
