outcome,p_bin,x_bin,r_group,n_event,n_exposure,risk,rd_high_low_cell
dead_0.05,low,low,low,12,12,1.0,0.0
dead_0.05,low,low,mid,58,58,1.0,0.0
dead_0.05,low,low,high,74,74,1.0,0.0
dead_0.05,low,mid,low,57,57,1.0,0.0
dead_0.05,low,mid,mid,16,16,1.0,0.0
dead_0.05,low,mid,high,2,2,1.0,0.0
dead_0.05,low,high,low,3,3,1.0,
dead_0.05,low,high,mid,2,2,1.0,
dead_0.05,low,high,high,0,0,,
dead_0.05,mid,low,low,2,2,1.0,0.0
dead_0.05,mid,low,mid,17,18,0.9444444444444444,0.0
dead_0.05,mid,low,high,45,45,1.0,0.0
dead_0.05,mid,mid,low,46,46,1.0,0.0
dead_0.05,mid,mid,mid,41,41,1.0,0.0
dead_0.05,mid,mid,high,22,22,1.0,0.0
dead_0.05,mid,high,low,21,21,1.0,0.0
dead_0.05,mid,high,mid,4,4,1.0,0.0
dead_0.05,mid,high,high,4,4,1.0,0.0
dead_0.05,high,low,low,0,0,,
dead_0.05,high,low,mid,0,0,,
dead_0.05,high,low,high,2,2,1.0,
dead_0.05,high,mid,low,3,3,1.0,-0.08333333333333337
dead_0.05,high,mid,mid,9,9,1.0,-0.08333333333333337
dead_0.05,high,mid,high,11,12,0.9166666666666666,-0.08333333333333337
dead_0.05,high,high,low,67,67,1.0,0.0
dead_0.05,high,high,mid,60,60,1.0,0.0
dead_0.05,high,high,high,48,48,1.0,0.0
strict_dead,low,low,low,12,12,1.0,0.0
strict_dead,low,low,mid,58,58,1.0,0.0
strict_dead,low,low,high,74,74,1.0,0.0
strict_dead,low,mid,low,57,57,1.0,0.0
strict_dead,low,mid,mid,16,16,1.0,0.0
strict_dead,low,mid,high,2,2,1.0,0.0
strict_dead,low,high,low,3,3,1.0,
strict_dead,low,high,mid,2,2,1.0,
strict_dead,low,high,high,0,0,,
strict_dead,mid,low,low,2,2,1.0,0.0
strict_dead,mid,low,mid,17,18,0.9444444444444444,0.0
strict_dead,mid,low,high,45,45,1.0,0.0
strict_dead,mid,mid,low,46,46,1.0,0.0
strict_dead,mid,mid,mid,41,41,1.0,0.0
strict_dead,mid,mid,high,22,22,1.0,0.0
strict_dead,mid,high,low,20,21,0.9523809523809523,0.04761904761904767
strict_dead,mid,high,mid,4,4,1.0,0.04761904761904767
strict_dead,mid,high,high,4,4,1.0,0.04761904761904767
strict_dead,high,low,low,0,0,,
strict_dead,high,low,mid,0,0,,
strict_dead,high,low,high,2,2,1.0,
strict_dead,high,mid,low,3,3,1.0,-0.08333333333333337
strict_dead,high,mid,mid,9,9,1.0,-0.08333333333333337
strict_dead,high,mid,high,11,12,0.9166666666666666,-0.08333333333333337
strict_dead,high,high,low,67,67,1.0,0.0
strict_dead,high,high,mid,60,60,1.0,0.0
strict_dead,high,high,high,48,48,1.0,0.0
