seed,arm,unfit_var,nmse,init_nmse
0,current,1.0439659446514234e-05,1.0567831425582535e-05,1.0567831425582535e-05
0,repair_dead_0.05_k0.1,6.014524641900706e-29,8.398108743743169e-29,0.07652232529628308
0,repair_dead_0.05_k0.25,1.0197349452976855e-27,1.3540391231075305e-27,0.11745529136072047
0,repair_dead_0.05_k0.5,4.233407028448469e-30,5.313461207559615e-30,0.3440526153300841
0,repair_dead_0.05_k1,7.504909804579226e-32,8.892179394637541e-32,1.5394744129775875
0,repair_strict_dead_k0.1,6.324674171205426e-06,6.324674171205426e-06,0.01058333210602538
0,repair_strict_dead_k0.25,1.6879349124312504e-27,1.6276880075793847e-26,0.06923303350088215
0,repair_strict_dead_k0.5,4.405801329653535e-28,3.721751708781938e-27,0.31091910942460416
0,repair_strict_dead_k1,5.051986757797911e-32,5.188526940441099e-32,1.398106401080403
0,control_learned,9.261313434941774e-05,9.261313434941774e-05,4.685529714282245
0,control_fresh_he,0.16790444471500485,0.1679090500581285,5.966790890462272
0,control_row_shuffle,0.35884939858053805,0.3588495942442513,4.807321991800062
0,control_rnd_randomized,1.2405387818532745,1.2405415525967438,6.830846595173095
1,current,0.20002820725717502,0.20667042621410447,0.20667042621410447
1,repair_dead_0.05_k0.1,0.020803388001948624,0.020803444013629536,0.23319583484764433
1,repair_dead_0.05_k0.25,0.01516782274838049,0.015167937542384047,0.3674742319333171
1,repair_dead_0.05_k0.5,0.009611641023823852,0.00961164102382385,1.11059890875707
1,repair_dead_0.05_k1,3.511652966955568e-32,3.569197755610918e-32,6.56103308150065
1,repair_strict_dead_k0.1,0.020797744746587903,0.020797785068873337,0.2187958679914018
1,repair_strict_dead_k0.25,0.015167002633734482,0.015167015100167592,0.3671204382450176
1,repair_strict_dead_k0.5,0.00961164102382385,0.009611641023823852,1.1261179034994917
1,repair_strict_dead_k1,4.0011388852708386e-32,4.183008834601331e-32,6.538482718791661
1,control_learned,0.19691538030819622,0.1969154560735839,2.440146611553186
1,control_fresh_he,0.12244907033753527,0.12245141375644748,9.790799812704844
1,control_row_shuffle,0.24921432948249328,0.2492143294824932,1.7018382997364025
1,control_rnd_randomized,0.5380076321238068,0.5380076453206563,3.27458628995432
2,current,0.12072284633065747,0.1256812525761611,0.1256812525761611
2,repair_dead_0.05_k0.1,0.004846574845631102,0.004846575217535749,0.22348591850229385
2,repair_dead_0.05_k0.25,0.0013294681360588988,0.001329487629807164,0.22778586631657594
2,repair_dead_0.05_k0.5,5.3274003577474424e-33,5.8816955903793304e-33,0.5251408796116869
2,repair_dead_0.05_k1,1.57522095498682e-32,1.7509956809099922e-32,1.8778739849752717
2,repair_strict_dead_k0.1,0.004854127506544202,0.004854127506544202,0.11076885918415157
2,repair_strict_dead_k0.25,0.0005782774737046589,0.000578278252042,0.17594993334541748
2,repair_strict_dead_k0.5,1.6268073099728692e-35,1.679284965133285e-35,0.5240798110028787
2,repair_strict_dead_k1,3.744805472247224e-32,4.715432182094264e-32,1.8454635752549926
2,control_learned,0.04543440598711833,0.04543447550069929,0.5052339291854162
2,control_fresh_he,0.22717629589534963,0.22723655875922777,59.4709927598948
2,control_row_shuffle,0.18341837672228248,0.18342281306831262,5.798891145474507
2,control_rnd_randomized,0.7518168104759572,0.7518168135916953,2.53396863666317
3,current,0.3028390424016728,0.3130512791594305,0.3130512791594305
3,repair_dead_0.05_k0.1,0.029938132205912057,0.02993813391388271,0.38760140074398186
3,repair_dead_0.05_k0.25,0.029130748887499263,0.02913387780260357,0.5767710296768679
3,repair_dead_0.05_k0.5,0.044644965269231555,0.04464496526923156,1.2887241884627738
3,repair_dead_0.05_k1,9.544205830894503e-32,9.684510642647417e-32,3.360149979148647
3,repair_strict_dead_k0.1,0.02994079143151296,0.029942563820134285,0.3629651210845355
3,repair_strict_dead_k0.25,0.02913829233981085,0.029142741200932562,0.5590495558722264
3,repair_strict_dead_k0.5,0.044644965269231576,0.04464496526923157,1.2895948339767342
3,repair_strict_dead_k1,3.780113110037186e-32,4.007383714198931e-32,3.3960772314209127
3,control_learned,0.19527073367405293,0.19527077294738326,0.7236821371772919
3,control_fresh_he,0.2260451670276836,0.2260851304157372,45.31451163640149
3,control_row_shuffle,0.7959596934659916,0.7959615823605352,6.802712790412374
3,control_rnd_randomized,0.63898179064784,0.6389912619880772,1.249039964749374
4,current,0.31830153491193164,0.3222822518176596,0.3222822518176596
4,repair_dead_0.05_k0.1,0.08785329400705574,0.08785331448680025,0.34639434410459835
4,repair_dead_0.05_k0.25,0.06467996187520109,0.06468018940654913,0.4396643590619887
4,repair_dead_0.05_k0.5,0.014223112702525012,0.014225144054129779,0.8844795172088353
4,repair_dead_0.05_k1,0.0,0.0,4.139073556702555
4,repair_strict_dead_k0.1,0.09260533706469351,0.09260565430681075,0.3400836129152051
4,repair_strict_dead_k0.25,0.06451717741509037,0.0645206029680546,0.4335649537692666
4,repair_strict_dead_k0.5,0.014226001716401579,0.014227782473164084,0.8868985870642221
4,repair_strict_dead_k1,7.336005132804554e-31,9.028929394220988e-31,4.271546945335239
4,control_learned,0.3018855333339724,0.301885539162184,0.8193327022079845
4,control_fresh_he,0.37220260249798776,0.3722188574278882,110.41276991240201
4,control_row_shuffle,0.38109525555442886,0.38109525555442886,2.3202398358869023
4,control_rnd_randomized,0.8803424507174474,0.8803424542484461,0.9643965379781814
5,current,0.02078991487870563,0.02406875650028294,0.02406875650028294
5,repair_dead_0.05_k0.1,0.004517669829185802,0.004517890297183541,0.03953973385639284
5,repair_dead_0.05_k0.25,0.0019062006947116472,0.001906201430892461,0.10561594714888067
5,repair_dead_0.05_k0.5,4.2247805635159295e-32,4.233600564692371e-32,0.35371199539353976
5,repair_dead_0.05_k1,5.706540761158259e-32,5.92704079056932e-32,2.012202417063989
5,repair_strict_dead_k0.1,0.004518581058065201,0.004518583821365231,0.03738981360704604
5,repair_strict_dead_k0.25,0.0023838431274119396,0.0023845855326759067,0.10629395422173978
5,repair_strict_dead_k0.5,2.5313403376389814e-32,2.540160338815423e-32,0.35589514060572
5,repair_strict_dead_k1,3.6603004882236124e-32,3.669120489400055e-32,1.9819540968774612
5,control_learned,0.025779951706407647,0.025779951822119705,3.6019922825064707
5,control_fresh_he,0.15199446103643074,0.15199735751364762,5.94221117634828
5,control_row_shuffle,0.3214066987464454,0.3214067148401808,7.502007088915848
5,control_rnd_randomized,1.1463134255608498,1.1463134255608494,16.77126563185777
6,current,9.851071211479761e-06,9.851099696977803e-06,9.851099696977803e-06
6,repair_dead_0.05_k0.1,0.0009634796261119505,0.0009634835243087565,0.2768862034156131
6,repair_dead_0.05_k0.25,6.979370021841746e-32,7.264598654927853e-32,0.5137468687694757
6,repair_dead_0.05_k0.5,1.4139698939761399e-08,1.4168606502012161e-08,1.7652211261356212
6,repair_dead_0.05_k1,7.45087041531062e-32,7.82341393607615e-32,6.924929866434081
6,repair_strict_dead_k0.1,8.221587718310103e-06,8.221594764873236e-06,0.06095060358453229
6,repair_strict_dead_k0.25,1.1710381685938386e-31,1.1781688844209916e-31,0.3813802641602951
6,repair_strict_dead_k0.5,1.4329272195793873e-16,1.8849185343148133e-16,1.7358636336224793
6,repair_strict_dead_k1,3.953036014873001e-31,3.967588496152905e-31,7.459683870853407
6,control_learned,0.003406174217080237,0.003408891324456822,31.529540526696085
6,control_fresh_he,0.09962745105798723,0.09962745117021951,155.05287207080866
6,control_row_shuffle,0.09432238974718601,0.09432240067213626,16.46827023506534
6,control_rnd_randomized,0.5710856706262384,0.5710861017854117,11.222153820604698
7,current,0.09779480999932856,0.09782055906977132,0.09782055906977132
7,repair_dead_0.05_k0.1,0.009493796969855636,0.009493798257695247,0.250429106660043
7,repair_dead_0.05_k0.25,0.00038030136420098544,0.0003804119539746577,0.45553544347030317
7,repair_dead_0.05_k0.5,9.822242716374904e-33,9.955576327909404e-33,1.4836640739347724
7,repair_dead_0.05_k1,2.939265392049443e-32,3.0340804046961994e-32,8.953220460640791
7,repair_strict_dead_k0.1,0.008287763833303709,0.008287788835519734,0.16140875296849352
7,repair_strict_dead_k0.25,0.00039112107758238363,0.0003911364715657271,0.4600097013707622
7,repair_strict_dead_k0.5,2.5822276100515014e-32,2.7022278604325527e-32,1.5897288212803606
7,repair_strict_dead_k1,3.080006426446971e-32,3.0814879110195774e-32,9.030732557944905
7,control_learned,0.09110271510922824,0.09110271512866511,4.480017726938938
7,control_fresh_he,0.11306079769372673,0.113105411006279,280.2038280487082
7,control_row_shuffle,0.4433604494436184,0.44336066381702294,7.289751584168318
7,control_rnd_randomized,0.6156744400231919,0.6156744956323853,3.140231300858379
8,current,2.75706102007388e-06,2.8734906917744735e-06,2.8734906917744735e-06
8,repair_dead_0.05_k0.1,3.7763603735320825e-26,2.705517147571289e-25,0.13037522889901262
8,repair_dead_0.05_k0.25,1.7230814356993459e-28,1.4919534818219457e-27,0.32368999069437265
