task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
1,1.0,2.3042502403259277,0.08837890625,,,1.1595176378360896,1.3506103451130034,1.0072117594405938,0.009125007563973902,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
2,1.0,0.2884237766265869,0.916748046875,1.0000000000005087,0.0,1.3757673662275385,1.9078407916767617,0.24155599283941742,0.26893349089919644,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
3,1.0,0.21231859922409058,0.934326171875,1.00000000000037,0.0,1.5514646351054189,2.4319798519814966,0.21804340774625516,0.23014320157438292,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
4,1.0,0.1921193152666092,0.943603515625,1.0000000000004363,0.0,1.6942755583410802,2.905058412870368,0.20306696611554234,0.1840597925852655,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
5,1.0,0.15823502838611603,0.952392578125,0.9999999999990873,0.0,1.8231125109948658,3.3688863692793585,0.19034808801340433,0.1757127525905749,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
6,1.0,0.1492125391960144,0.955322265625,0.9999999999998721,0.0,1.9381647432006657,3.8105603602605185,0.17035657252039843,0.17393083844606147,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
7,1.0,0.14269012212753296,0.959716796875,1.000000000000105,0.0,2.0350596241497247,4.2059131918336,0.16296739496262685,0.13956120840923997,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
8,1.0,0.14024515450000763,0.956298828125,0.9999999999999654,0.0,2.139697953059236,4.651869971596438,0.17404315971533368,0.15364618906651323,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
9,1.0,0.12361495196819305,0.96142578125,0.9999999999998097,0.0,2.2464416001093728,5.125292634716151,0.1823140773954649,0.15578258924346575,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
10,1.0,0.10659496486186981,0.96435546875,1.0000000000004527,0.0,2.334169811800468,5.533504570301543,0.18710116354464273,0.11103753178073285,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
11,1.0,0.08759020268917084,0.97265625,1.000000000000808,0.0,2.4227080084372665,5.958079864108734,0.17766353619425002,0.12328107523472082,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
12,1.0,0.08411891013383865,0.97412109375,1.0000000000004643,0.0,2.5128137226847596,6.406629955358537,0.19004382230719696,0.12019450867425979,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
13,1.0,0.08445321768522263,0.97314453125,1.0000000000005127,0.0,2.605446214448234,6.885549833939731,0.18561032337389974,0.13265240551114496,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
14,1.0,0.07057733833789825,0.979248046875,1.0000000000000318,0.0,2.685222584711344,7.313621492746501,0.16799222204369088,0.11766252784968069,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
15,1.0,0.0728934183716774,0.976806640625,1.000000000000386,0.0,2.7748698144468253,7.805571928106381,0.19854639353202483,0.12070249640730278,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
16,1.0,0.07389379292726517,0.97509765625,1.0000000000008626,0.0,2.8513110911846797,8.234087233537739,0.16485057957895383,0.11740653362720906,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
17,1.0,0.05328771471977234,0.98681640625,0.9999999999997108,0.0,2.928992357483817,8.686055164922216,0.1839347816477556,0.10769726819416238,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
18,1.0,0.06101825460791588,0.98046875,0.9999999999999567,0.0,3.0072567787726685,9.15725505230534,0.17437780862746982,0.1183378400684126,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
19,1.0,0.06734795868396759,0.980224609375,1.0000000000005684,0.0,3.070861358056428,9.54057610000481,0.1712977635472699,0.08575221536795155,K000_LR,0.0,leaky,0.1,2,LR,,,,,,,,,,,,,,,
