task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
1,1.0,2.306040048599243,0.1240234375,,,0.9622658012376055,0.9285431003045304,0.6002853050423611,-0.00445661417732795,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
2,1.0,0.31959328055381775,0.907958984375,0.9999999999999987,0.0,1.1357206671869384,1.294453800335463,0.23492060307909177,0.13992523594956402,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
3,1.0,0.31621408462524414,0.91064453125,1.0000000000000036,0.0,1.254612091166572,1.5797619905591396,0.20724297184790122,0.07570756945919176,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
4,1.0,0.2605029046535492,0.92333984375,0.9999999999999949,0.0,1.3590870207090102,1.8547080014544275,0.19370123180273205,0.0719259950424664,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
5,1.0,0.2535582184791565,0.931640625,1.0000000000000016,0.0,1.4240327982544811,2.0373404858689903,0.16026252513257017,0.019010450305423074,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
6,1.0,0.23796971142292023,0.933349609375,0.9999999999999942,0.0,1.4984470342439078,2.256048345686359,0.1926485038210882,0.019575305294023276,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
7,1.0,0.22574518620967865,0.93994140625,1.000000000000004,0.0,1.5630012993799187,2.454365421801876,0.18562817670443527,0.0093076512621175,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
8,1.0,0.2327556163072586,0.936767578125,1.000000000000008,0.0,1.6275131809765646,2.6623682314170463,0.19608381552837936,0.007448682272202964,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
9,1.0,0.26893356442451477,0.9306640625,1.0000000000000064,0.0,1.6820837324815319,2.843289429715374,0.17375517647510613,0.005070983710632066,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
10,1.0,0.21999770402908325,0.937255859375,0.9999999999999961,0.0,1.7345822357893224,3.0254741116432897,0.16407958910474607,0.010791466121103077,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
11,1.0,0.23441755771636963,0.93505859375,1.0000000000000064,0.0,1.788955610298824,3.218157329481784,0.16902072573235766,0.015943676253455098,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
12,1.0,0.2564499080181122,0.930908203125,0.999999999999998,0.0,1.8435408143224123,3.416453044358929,0.16684141387839227,0.02204522474857644,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
13,1.0,0.1917904019355774,0.9423828125,0.9999999999999953,0.0,1.892544085977797,3.6023475905495004,0.18101464971363856,0.0007566082642423002,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
14,1.0,0.20256851613521576,0.943115234375,1.0000000000000073,0.0,1.9390425853043205,3.78034931169363,0.17027294429986356,0.0049645668194246515,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
15,1.0,0.21628645062446594,0.93701171875,1.0000000000000024,0.0,1.9885423407770324,3.9761073047521687,0.17977235813827544,0.008693662612083783,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
16,1.0,0.20330974459648132,0.9443359375,0.9999999999999932,0.0,2.036588569371895,4.170495743580512,0.1743442160563933,0.011429701767971366,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
17,1.0,0.21657410264015198,0.93896484375,1.0000000000000016,0.0,2.0723987624981333,4.319191139375517,0.17811776091510595,-0.01769713493274129,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
18,1.0,0.20102182030677795,0.942626953125,0.9999999999999992,0.0,2.1036988811885955,4.450659825408724,0.17002592348859175,-0.022906518870601154,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
19,1.0,0.18773403763771057,0.94775390625,0.9999999999999909,0.0,2.1435378154115234,4.621444305168378,0.16496256280298902,0.0021299879185095196,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
20,1.0,0.1666656732559204,0.954345703125,0.9999999999999972,0.0,2.17589758877476,4.761639749105423,0.16664251083507475,-0.015024791229512193,K000_SN15,0.0,snake,1.5,1,SN15,0.003899839688684854,1.1965089804967695,6.524633318665109e-05,0.6171272141968347,80.94685579656247,0.1329108897041478,1.2636783065963155,1.0,6.217248937900877e-15,0.015767681182209156,10.568612398321402,1.0053281189167793,-0.06296729168970532,0.4800088186646467,0.9289000034332275
21,1.0,0.22588805854320526,0.9375,1.0000000000000064,0.0,2.2107789925397556,4.914233531607154,0.15799515730291827,-0.003261779072809955,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
22,1.0,0.24705787003040314,0.92724609375,0.9999999999999969,0.0,2.24568773467934,5.072021396390447,0.16913744487758386,-0.006724523828387419,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
23,1.0,0.17300012707710266,0.950439453125,1.0000000000000164,0.0,2.2719195524933,5.191792798954615,0.15544045772634044,-0.020289743107448258,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
24,1.0,0.16861727833747864,0.949462890625,0.9999999999999997,0.0,2.3037940918673727,5.337678474082,0.1625649880754779,-0.008463285492144142,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
25,1.0,0.18511554598808289,0.947509765625,1.0000000000000073,0.0,2.3286909067862633,5.453361029914869,0.16921230982004887,-0.028282433376716022,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
26,1.0,0.15813499689102173,0.95361328125,1.0000000000000058,0.0,2.366711906111831,5.631694269382483,0.158006160930588,0.011996872410552728,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
27,1.0,0.17034098505973816,0.947265625,1.0000000000000042,0.0,2.4013400771970894,5.799730987581337,0.18191671073939417,-0.00900367836067859,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
28,1.0,0.15074127912521362,0.956298828125,1.0000000000000018,0.0,2.432556742742308,5.953810896753949,0.17311688075700674,-0.010858509185135243,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
29,1.0,0.1724616140127182,0.950927734375,1.0000000000000018,0.0,2.4682498322679676,6.129715304712749,0.1600540974849035,0.007451292398885876,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
30,1.0,0.16855017840862274,0.951904296875,0.999999999999992,0.0,2.505195273591347,6.314157556614333,0.1852734481486472,5.5618713415525604e-06,K000_SN15,0.0,snake,1.5,1,SN15,0.0035893212929762864,1.1795528258267567,6.15873727618008e-05,0.594883609931405,83.05604720835018,0.13827643512569693,1.249831167805642,1.0,4.440892098500626e-15,0.01736102160429821,10.671805632842341,0.9584866217945046,-0.12733422868061597,0.4576436512381422,0.9447000026702881
31,1.0,0.15377692878246307,0.9560546875,1.0,0.0,2.541929950037005,6.499449713633058,0.1596246690145039,0.012231690057779273,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
32,1.0,0.13277746737003326,0.9599609375,0.9999999999999999,0.0,2.577462693211861,6.682439660848913,0.17207016719344842,0.005601211294933888,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
33,1.0,0.19311821460723877,0.941650390625,1.000000000000001,0.0,2.603280238052092,6.817866668150819,0.16495226916536268,-0.014693671305570226,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
34,1.0,0.1812424659729004,0.948974609375,0.9999999999999964,0.0,2.635049481633459,6.985464921523799,0.16387866800398068,0.0008251122811720235,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
35,1.0,0.15460708737373352,0.9580078125,0.9999999999999946,0.0,2.665278794318397,7.143459481358904,0.16106533684214014,0.0002073386611156053,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
36,1.0,0.17810173332691193,0.945556640625,1.0000000000000044,0.0,2.696989502987776,7.314629379280877,0.1629096426616737,0.0037016689526007916,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
37,1.0,0.19395707547664642,0.947021484375,1.0000000000000058,0.0,2.730588644155075,7.500173264239922,0.17426618041632858,0.004292328923876046,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
38,1.0,0.16072361171245575,0.955810546875,0.9999999999999962,0.0,2.7615667160426107,7.6718637973418256,0.17138327706338782,6.562677336465344e-05,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
39,1.0,0.1362280249595642,0.960205078125,1.0000000000000056,0.0,2.782209796999514,7.787308027428469,0.15528457565467277,-0.018778609126614883,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
40,1.0,0.17689219117164612,0.946044921875,1.0000000000000129,0.0,2.818916471644591,7.993650602035567,0.17715438959722682,0.01201274909940664,K000_SN15,0.0,snake,1.5,1,SN15,0.0027759595071889997,1.1577386484281502,5.0375162387749655e-05,0.5763238941750061,82.58848710433185,0.1345670845769591,1.227428070732616,1.0,1.3322676295501878e-14,0.01616017464054596,10.962405638410958,0.9362429931204046,-0.14789109712026668,0.4470231008707913,0.9351999759674072
41,1.0,0.17671158909797668,0.948486328125,1.000000000000003,0.0,2.8349231244115582,8.08649443862923,0.14548321535861797,-0.025167931057361502,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
42,1.0,0.19243839383125305,0.94189453125,1.0000000000000004,0.0,2.8660414555077334,8.264500518653495,0.18391898976689341,-0.002941343889245768,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
43,1.0,0.14817948639392853,0.958251953125,1.0000000000000062,0.0,2.8915435861648233,8.413005976118214,0.16357995636569883,-0.006890431425947169,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
44,1.0,0.18894736468791962,0.9462890625,0.999999999999981,0.0,2.9164364860659453,8.557892919485676,0.17265869035328107,-0.011875846415884423,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
45,1.0,0.1665581464767456,0.953857421875,1.0,0.0,2.944768207982437,8.723831440154822,0.17507834588119509,-0.002825912882683388,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
46,1.0,0.16829714179039001,0.952880859375,0.9999999999999978,0.0,2.9768157310763206,8.917280549335265,0.16887575183891715,0.00901991803867921,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
47,1.0,0.16951440274715424,0.950439453125,0.999999999999993,0.0,3.012700084443757,9.13418482007241,0.1677826664398794,0.020933391220014367,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
48,1.0,0.1496943086385727,0.95751953125,1.0000000000000062,0.0,3.0353963518236338,9.271748637004295,0.1787895027433036,-0.015099874298419554,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
49,1.0,0.20157311856746674,0.940185546875,1.000000000000007,0.0,3.0629171686376884,9.44190691493539,0.14674843003819402,0.009622799657241348,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
50,1.0,0.17229656875133514,0.949462890625,1.0000000000000018,0.0,3.0857064208215434,9.584452400421318,0.16560817769010686,-0.008637156225855189,K000_SN15,0.0,snake,1.5,1,SN15,0.0025564214597671576,1.1307381960689018,5.0283912898320136e-05,0.5553421516367699,80.96189928965161,0.12866339158549722,1.2042181059427963,1.0,1.0658141036401503e-14,0.014940955188054005,11.084176052045077,0.9035631278488359,-0.11280376948267397,0.4314196145781493,0.9419000148773193
51,1.0,0.16235816478729248,0.949462890625,0.999999999999994,0.0,3.1225641689992547,9.815966064882002,0.18183515633686767,0.018013632803315992,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
52,1.0,0.17223775386810303,0.950439453125,1.0000000000000007,0.0,3.1449584517401292,9.954413940764276,0.1633362585259664,-0.008969269636755506,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
53,1.0,0.21529202163219452,0.9375,1.0000000000000002,0.0,3.1747627126153826,10.143541956473774,0.161111525027157,0.011765879254761585,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
54,1.0,0.16533392667770386,0.94921875,0.9999999999999962,0.0,3.197299949220439,10.288983330998558,0.16454317880660074,-0.007266150748121996,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
55,1.0,0.1590700000524521,0.955810546875,1.0000000000000016,0.0,3.230670911473354,10.50660832107411,0.17892294225408606,0.013560745520010383,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
56,1.0,0.1448269933462143,0.958740234375,0.9999999999999961,0.0,3.251155904972279,10.640342939697199,0.1589661520423633,-0.009458011794704655,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
57,1.0,0.19600753486156464,0.943603515625,0.9999999999999977,0.0,3.2798751228441194,10.831630479711443,0.1746067595829545,0.00538762308388455,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
58,1.0,0.16311556100845337,0.951416015625,0.999999999999999,0.0,3.309932471983077,11.030473775496112,0.16776729015746233,0.011634764154847434,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
59,1.0,0.14571134746074677,0.958251953125,0.9999999999999922,0.0,3.3291658871950567,11.15950452793773,0.1667447400184137,-0.014879070167811368,K000_SN15,0.0,snake,1.5,1,SN15,,,,,,,,,,,,,,,
