arm,window,registered,hidden_units,median_s,mobility,centered_eff_rank,note
LIN0,5m,0,0,,,,undefined: LIN0 has no hidden units (S_mech_na)
LIN0,1m,0,0,,,,undefined: LIN0 has no hidden units (S_mech_na)
LIN0_lr03,5m,0,0,,,,undefined: LIN0 has no hidden units (S_mech_na)
LIN0_lr03,1m,0,0,,,,undefined: LIN0 has no hidden units (S_mech_na)
