metric,registered,arm,window,window_tasks,baseline,k,n,rate,cp95_lo,cp95_hi,status,ties,excluded_seed_indices,above_seed_indices,g_base
G0prime,1,R5,5m,task 491-500,LIN0,18,20,0.9,0.6830172859809176,0.9876514728297052,R5_ABOVE_LINEAR,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18]",BASELINE_CONSTRUCTION_MATERIAL
G0prime,1,LR5,5m,task 491-500,LIN0,0,20,0.0,0.0,0.1684334709830853,LR5_BELOW_LINEAR,0,[],[],BASELINE_CONSTRUCTION_MATERIAL
G0prime,1,E5,5m,task 491-500,LIN0,2,20,0.1,0.012348527170294832,0.3169827140190823,E5_BELOW_LINEAR,0,[],"[10, 14]",BASELINE_CONSTRUCTION_MATERIAL
G0prime,1,R5,1m,task 91-100,LIN0,10,20,0.5,0.27195784956079183,0.7280421504392083,R5_NOT_SEPARATED_TIGHT,0,[],"[0, 1, 6, 8, 11, 12, 14, 16, 17, 19]",BASELINE_CONSTRUCTION_MATERIAL
G0prime,1,LR5,1m,task 91-100,LIN0,0,20,0.0,0.0,0.1684334709830853,LR5_BELOW_LINEAR,0,[],[],BASELINE_CONSTRUCTION_MATERIAL
G0prime,1,E5,1m,task 91-100,LIN0,0,20,0.0,0.0,0.1684334709830853,E5_BELOW_LINEAR,0,[],[],BASELINE_CONSTRUCTION_MATERIAL
