arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CHB0,raw,0,0,0.001,1,none,0.9842958333,1,1,0,0,1.621246355e-07,6.536726952,-1.602172915e-06,0.5008333325,74.26968488,0.5017750263,2.291780987e-08,0.5008333325,0.4856916666,0,-0.007261702325,0,0,1.602172915e-06,0,0,-0.002446193714,7.65635252,-0.04797356948,0.5325000286,73.43965986,0.4736750126,-0.0003871661029,0.5325000286,0.4668416977,0,-0.4485291243,0,0,0.04797356948,0.002361631719,4.752151966,1.489431024,2.034996986,2.664013624,3.234171391
CHB0,raw,0,0,0.001,2,none,0.9819541667,1,1,0,0,2.034505258e-07,13.1337986,-6.917317933e-06,0.5008333325,58.43949974,0.5009333491,1.546927209e-08,0.5008333325,0.4813499749,0,-0.03662608191,0,0,6.917317933e-06,0,0,0.02167036757,17.38885498,-0.1042857915,0.5533333421,64.9866646,0.4529500008,0.001297228155,0.5533333421,0.4513166845,0,-0.7217955589,0,0,0.3429844379,0.004546289332,7.283912182,1.762200832,1.952589512,6.241464138,8.302431107
CHB0,raw,0,0,0.001,3,none,0.9520333333,1,1,0,0,4.831949809e-07,22.86346436,-1.302083365e-05,0.5008333325,49.16398139,0.5009583235,2.468717142e-08,0.5008333325,0.4811750054,0,-0.04090620205,0,0,1.302083365e-05,0,0,0.04712432995,43.37834549,-0.1941780597,0.5491666794,64.43734251,0.4496250153,0.001071466133,0.5491666794,0.449575007,0,-0.7343329787,0,0,0.4104903638,0.003706855467,12.1756506,2.163410425,1.656030059,13.33782959,18.73912048
CHB0,raw,0,0,0.001,4,none,0.9510541667,1,1,0,0,2.034505258e-07,32.23553467,-1.302083365e-05,0.5041666627,43.87958748,0.498575002,1.223074708e-08,0.5041666627,0.4810916781,0,-0.07535365969,0,0,1.302083365e-05,0,0,0.1155207828,52.76210022,-0.202356413,0.5525000095,66.986829,0.4494749904,0.002042869804,0.5525000095,0.4478916824,0,-0.7352585196,0,0,0.6900559664,0.002963251201,15.35194397,2.408421516,1.24256289,18.42457771,23.01908302
CHB0,raw,0,0,0.001,5,none,0.968325,1,1,0,0,5.976359034e-07,32.64524841,-2.278645843e-05,0.5041666627,41.71543542,0.4978249967,2.506254049e-08,0.5041666627,0.4800083041,0,-0.1140105501,0,0,2.278645843e-05,0,0,-0.06131001934,52.02070618,-0.6379650831,0.5416666865,73.50524343,0.458858341,-0.001104118768,0.5416666865,0.4548749924,0,-0.5845375657,0,0,0.6936263442,0.006846095435,16.40062523,2.444158077,0.9627686143,20.85914803,21.20258713
CHB0,raw,0,0,0.001,6,none,0.9746354167,1,1,0,0,3.56038413e-07,29.28696442,-1.220703143e-05,0.5024999976,42.16134781,0.4975000024,1.562653118e-08,0.5024999976,0.4812833369,0,-0.0827113986,0,0,2.1158854e-05,0,0,0.0585657768,46.09902191,-0.2955432236,0.5383333564,78.53239939,0.4585333467,0.001366126002,0.5383333564,0.4563666284,0,-0.5369327664,0,0,0.3872009516,0.002138366457,16.98903275,2.55160737,0.8420299888,20.74757004,18.81043243
CHB0,raw,0,0,0.001,7,none,0.9784,1,1,0,0,4.577636901e-07,27.553545,-1.953124956e-05,0.5033333302,43.81223548,0.4982166588,2.568453361e-08,0.5033333302,0.4831166863,0,-0.05725587532,0,0,2.441406286e-05,0,0,-0.0635093227,42.68195724,-0.3713564277,0.5308333635,81.59773785,0.4704166651,-0.001464028261,0.5308333635,0.4680666625,0,-0.4008984566,0,0,0.3799066246,0.003113389714,18.12171555,2.704009056,0.8757050037,19.9794445,17.44006538
CHB0,raw,0,0,0.001,8,none,0.9799333333,1,1,0,0,1.017252629e-07,26.36362076,-2.237955778e-05,0.5016666651,44.69206135,0.497841686,6.953253084e-09,0.5016666651,0.4830083251,0,-0.04650150239,0,0,2.848307304e-05,0,0,0.133063361,45.94887924,-0.3911354542,0.5275000334,82.12912865,0.4700166583,0.002792459214,0.5275000334,0.4681999981,0,-0.3768513501,0,0,0.4635450244,0.004635228775,18.85783768,2.838774204,0.8779605031,19.479496,18.1983757
CHB0,raw,0,0,0.001,9,none,0.9800104167,1,1,0,0,2.28881845e-07,22.01989174,-2.197265712e-05,0.4991666675,45.92161317,0.5005833507,1.401004113e-08,0.4991666675,0.4836166799,0,-0.02132009529,0,0,2.197265712e-05,0,0,0.0713975057,45.36830521,-0.3201746643,0.5216667056,82.88438012,0.4776583314,0.001779841026,0.5216667056,0.4722250402,0,-0.2850080431,0,0,0.5446590781,0.003631886328,19.51601982,2.99711442,0.8880801797,18.79373932,18.29589653
CHB0,raw,0,0,0.001,10,none,0.9801083333,1,1,0,0,0,22.11842346,-2.034505269e-05,0.5,46.60691472,0.4991916716,0,0.5,0.4841416776,0,-0.01873845793,0,0,2.034505269e-05,0,0,0.08735372126,45.9697113,-0.2855187953,0.5258333683,83.81639737,0.4738916755,0.001741413376,0.5258333683,0.4717916846,0,-0.2993284762,0,0,0.4780295789,0.003151860787,19.93994904,3.106636763,0.9037582278,18.67043495,18.57520676
