width,seed,n_interval,n_dead_rise,spearman_prev_drift_vs_dead_change,event_minus_nonevent_median_log10_drift
5,0,791,19,0.02335390560801235,0.4897069821987394
5,1,855,7,-0.05129595869445521,-0.7775347633071106
5,2,891,16,-0.003426347961017514,-0.02281382337512028
5,3,891,19,-0.0251377516561509,0.2298572130017673
5,4,891,12,0.016665228194182567,0.40217505162427525
100,0,891,247,0.001689428319020907,0.030969625284816615
100,1,891,302,0.004452588896250628,0.019342382993277063
100,2,891,274,-0.04466599221732286,0.002136820811418527
100,3,891,290,-0.01470978230451823,0.06404940632048328
100,4,891,269,-0.03195295322133726,0.009355118414043018
