width,seed,onset_step,previous_step,previous_dead,onset_dead,previous_drift_sq_W,onset_drift_sq_W,same_task_as_previous
5,0,11000,10000,0.0,0.2,0.154481,0.0288573,False
5,1,26000,25000,0.0,0.2,0.0182243,0.00866337,True
5,2,12000,11000,0.0,0.2,0.0721292,0.0679501,True
5,3,91000,90000,0.0,0.2,0.0353954,0.0185751,False
5,4,41000,40000,0.0,0.2,0.0195388,0.227585,False
100,0,14000,13000,0.0,0.01,0.0107961,0.00779787,True
100,1,17000,16000,0.0,0.02,0.00384799,0.0120839,True
100,2,11000,10000,0.0,0.02,0.00735977,0.0730948,False
100,3,14000,13000,0.0,0.01,0.00402131,0.00471127,True
100,4,19000,18000,0.0,0.02,0.0292331,0.0496664,True
