arm,endpoint,window,level,n,mean,sd,lo,hi,sign,degenerate,label,role
cap_par,E1,51-150,0.975,10,0.42726805846094723,0.007003412210383814,0.4213216363657386,0.43321448055615586,+,False,BOTH_HELD,report
cap_par,E2,51-150,0.975,10,1.8237660587881912,0.032587673602546496,1.7960966804165575,1.851435437159825,+,False,BOTH_HELD,report
cap_par,E1,51-150,0.95,10,0.42726805846094723,0.007003412210383814,0.4222581191708906,0.43227799775100384,+,False,BOTH_HELD,component
cap_par,E2,51-150,0.95,10,1.8237660587881912,0.032587673602546496,1.800454241427095,1.8470778761492874,+,False,BOTH_HELD,component
cap_perp,E1,51-150,0.975,10,0.2891352174934431,0.03062733708232977,0.26313031181707314,0.3151401231698131,+,False,BOTH_HELD,report
cap_perp,E2,51-150,0.975,10,0.967321899731371,0.10672002057361174,0.8767086002030161,1.0579351992597257,+,False,BOTH_HELD,report
cap_perp,E1,51-150,0.95,10,0.2891352174934431,0.03062733708232977,0.2672257404001103,0.3110446945867759,+,False,BOTH_HELD,component
cap_perp,E2,51-150,0.95,10,0.967321899731371,0.10672002057361174,0.8909789960087175,1.0436648034540243,+,False,BOTH_HELD,component
cap_both,E1,51-150,0.975,10,0.2949816235487343,0.009767710204725088,0.28668810518423565,0.30327514191323296,+,False,BOTH_HELD,main
cap_both,E2,51-150,0.975,10,0.8903063373877247,0.04501504528473413,0.8520851886309687,0.9285274861444807,+,False,BOTH_HELD,main
cap_both,E1,51-150,0.95,10,0.2949816235487343,0.009767710204725088,0.2879942245982651,0.3019690224992035,+,False,BOTH_HELD,component
cap_both,E2,51-150,0.95,10,0.8903063373877247,0.04501504528473413,0.8581045138707126,0.9225081609047368,+,False,BOTH_HELD,component
