arm,endpoint,seed,delta_minus_ref
cap_par,E1,0,0.420006311648503
cap_par,E1,1,0.42553940493317316
cap_par,E1,2,0.4169845159150851
cap_par,E1,3,0.42862086139009914
cap_par,E1,4,0.4250522021136029
cap_par,E1,5,0.4285453803964581
cap_par,E1,6,0.4413001672737608
cap_par,E1,7,0.43246511962410644
cap_par,E1,8,0.4319622528481775
cap_par,E1,9,0.42220436846650605
cap_par,E2,0,1.7844906180251512
cap_par,E2,1,1.8336336595764908
cap_par,E2,2,1.8049813723542514
cap_par,E2,3,1.8414098426541425
cap_par,E2,4,1.782634217865729
cap_par,E2,5,1.7954293351240993
cap_par,E2,6,1.8771117105899735
cap_par,E2,7,1.8116548742718475
cap_par,E2,8,1.8575485013228716
cap_par,E2,9,1.848766456097355
cap_perp,E1,0,0.3033835768552022
cap_perp,E1,1,0.28895230231801816
cap_perp,E1,2,0.23080582506819575
cap_perp,E1,3,0.2973287306818349
cap_perp,E1,4,0.29555905867508003
cap_perp,E1,5,0.3378430530482358
cap_perp,E1,6,0.251338542466168
cap_perp,E1,7,0.2738094946818336
cap_perp,E1,8,0.3136670130460384
cap_perp,E1,9,0.2986645780938245
cap_perp,E2,0,1.0142195559979115
cap_perp,E2,1,0.9647980247552082
cap_perp,E2,2,0.7701930870853579
cap_perp,E2,3,1.0182827187947412
cap_perp,E2,4,0.9619980046378342
cap_perp,E2,5,1.1082212370278874
cap_perp,E2,6,0.8418711911544836
cap_perp,E2,7,0.8842980116883785
cap_perp,E2,8,1.0777903433367262
cap_perp,E2,9,1.0315468228351798
cap_both,E1,0,0.29621907389127966
cap_both,E1,1,0.2882802078355057
cap_both,E1,2,0.2736822195199905
cap_both,E1,3,0.29296575261719476
cap_both,E1,4,0.29419111517269486
cap_both,E1,5,0.2981858957691836
cap_both,E1,6,0.30871776328668105
cap_both,E1,7,0.2999937008608504
cap_both,E1,8,0.30588950751611055
cap_both,E1,9,0.29169099901785195
cap_both,E2,0,0.9028049482701159
cap_both,E2,1,0.8550535989545223
cap_both,E2,2,0.8340845811479047
cap_both,E2,3,0.919425471791746
cap_both,E2,4,0.8271958001327449
cap_both,E2,5,0.8899831585634961
cap_both,E2,6,0.9660768065166976
cap_both,E2,7,0.8713484811029693
cap_both,E2,8,0.9425340676625125
cap_both,E2,9,0.8945564597345377
