arm,quantity,window,mean,nan_units,n_seeds_defined,diff_mean,diff_lo95,diff_hi95
ref,delta_pplus,51-150,-0.4878478666666667,0.0,,,,
ref,delta_pplus,2-10,-0.32687166666666667,0.0,,,,
ref,delta_pplus,11-50,-0.4701834791666667,0.0,,,,
ref,delta_E1_l2,51-150,-0.4881909291917098,0.0,,,,
ref,delta_E1_l2,2-10,-0.32192166613366596,0.0,,,,
ref,delta_E1_l2,11-50,-0.47187802421871883,0.0,,,,
ref,delta_E2_l2,51-150,-1.5524708665635145,0.0,,,,
ref,delta_E2_l2,2-10,-1.2133549169149704,0.0,,,,
ref,delta_E2_l2,11-50,-2.015511043900515,0.0,,,,
ref,delta_E1,51-150,-0.7082544062462556,0.0,,,,
ref,delta_E1,2-10,-0.4653781483138263,0.0,,,,
ref,delta_E1,11-50,-0.6819703547293361,0.0,,,,
ref,delta_E2,51-150,-2.1234655134814266,0.0,,,,
ref,delta_E2,2-10,-1.0308626476042355,0.0,,,,
ref,delta_E2,11-50,-1.8958301403317592,0.0,,,,
ref,absorb_frac_absorbed,1-150,0.016000000000000004,,10.0,,,
ref,absorb_median_absorb_task,1-150,100.11111111111111,,9.0,,,
ref,absorb_n_censored,1-150,98.4,,10.0,,,
ref,absorb_frac_neg_at_end,1-150,0.008,,10.0,,,
ref,absorb_frac_ever_neg,1-150,0.7689999999999999,,10.0,,,
ref,absorb_mean_reentries,1-150,1.831,,10.0,,,
ref,level_U_l1,t1,3.8255488181114194,,,,,
ref,level_K_l1,t1,3.186178762811346,,,,,
ref,level_sigma_l1,t1,1.222159625447631,,,,,
ref,level_zbar_l1,t1,-0.017899073380000175,,,,,
ref,level_b1,t1,0.011097596896172035,,,,,
ref,level_q_l1,t1,-0.004939657025238621,,,,,
ref,level_v_norm_l1,t1,3.389419322565215,,,,,
ref,level_eps_frac_l1,t1,0.21059056122448977,,,,,
ref,level_U_l1,t10,9.192547158360481,,,,,
ref,level_K_l1,t10,3.1678941032532792,,,,,
ref,level_sigma_l1,t10,5.413875145987399,,,,,
ref,level_zbar_l1,t10,-7.579503034883889,,,,,
ref,level_b1,t10,-0.06850550407401171,,,,,
ref,level_q_l1,t10,-1.2659843206670727,,,,,
ref,level_v_norm_l1,t10,11.090154741096816,,,,,
ref,level_eps_frac_l1,t10,0.23917091836734689,,,,,
ref,level_U_l1,t50,18.723586739242073,,,,,
ref,level_K_l1,t50,3.3945428561895783,,,,,
ref,level_sigma_l1,t50,15.457977143031533,,,,,
ref,level_zbar_l1,t50,-32.914121661840454,,,,,
ref,level_b1,t50,-0.9817211944465525,,,,,
ref,level_q_l1,t50,-5.382248121667602,,,,,
ref,level_v_norm_l1,t50,28.1309830217342,,,,,
ref,level_eps_frac_l1,t50,0.36450127551020406,,,,,
ref,level_U_l1,t100,28.906957145571702,,,,,
ref,level_K_l1,t100,3.5080873555531005,,,,,
ref,level_sigma_l1,t100,22.338847845129763,,,,,
ref,level_zbar_l1,t100,-48.26304579237097,,,,,
ref,level_b1,t100,-1.798500654085539,,,,,
ref,level_q_l1,t100,-7.831527269393885,,,,,
ref,level_v_norm_l1,t100,38.31851305027012,,,,,
ref,level_eps_frac_l1,t100,0.4041811224489796,,,,,
ref,level_U_l1,t150,33.24654941391945,,,,,
ref,level_K_l1,t150,3.504464994842613,,,,,
ref,level_sigma_l1,t150,26.70819478396943,,,,,
ref,level_zbar_l1,t150,-58.97184952096195,,,,,
ref,level_b1,t150,-2.5056680060587824,,,,,
ref,level_q_l1,t150,-9.518935510737066,,,,,
ref,level_v_norm_l1,t150,44.963101398570075,,,,,
ref,level_eps_frac_l1,t150,0.4201862244897959,,,,,
ref,ledger_adam_q_align,51-150,63.48643280712638,,,,,
ref,ledger_adam_q_sq,51-150,2.183360182336945,,,,,
ref,ledger_proj_q_align,51-150,0.0,,,,,
ref,ledger_proj_q_sq,51-150,0.0,,,,,
ref,ledger_adam_v2_align,51-150,1230.5094842206868,,,,,
ref,ledger_adam_v2_sq,51-150,7.152038279070302,,,,,
ref,ledger_proj_v2_align,51-150,0.0,,,,,
ref,ledger_proj_v2_sq,51-150,0.0,,,,,
ref,ledger_adam_m_align,51-150,0.012076300096014,,,,,
ref,ledger_adam_m_sq,51-150,0.0016823575437747817,,,,,
ref,ledger_proj_m_align,51-150,0.0,,,,,
ref,ledger_proj_m_sq,51-150,0.0,,,,,
ref,ledger_adam_wt2_align,51-150,1284.5280977525385,,,,,
ref,ledger_adam_wt2_sq,51-150,8.016430147087815,,,,,
ref,ledger_proj_wt2_align,51-150,0.0,,,,,
ref,ledger_proj_wt2_sq,51-150,0.0,,,,,
cap_par,delta_pplus,51-150,-0.09589389999999998,0.0,,0.3919539666666667,0.38697317881702753,0.3969347545163059
cap_par,delta_pplus,2-10,0.013244537037037074,0.0,,0.3401162037037037,0.33035323385084764,0.3498791735565598
cap_par,delta_pplus,11-50,-0.029515499999999983,0.0,,0.44066797916666667,0.4339107070154813,0.44742525131785205
cap_par,delta_E1_l2,51-150,-0.4865937816943541,0.0,,0.0015971474973556165,0.0010596958818921097,0.002134599112819123
cap_par,delta_E1_l2,2-10,-0.40357324933180994,0.0,,-0.08165158319814407,-0.09138165884881859,-0.07192150754746955
cap_par,delta_E1_l2,11-50,-0.48645639294458165,0.0,,-0.014578368725862823,-0.0163648049830473,-0.012791932468678345
cap_par,delta_E2_l2,51-150,-1.9146629434453453,0.0,,-0.36219207688183036,-0.4096684149063029,-0.3147157388573578
cap_par,delta_E2_l2,2-10,-1.5285280965240131,0.0,,-0.3151731796090426,-0.3660739551384144,-0.26427240407967084
cap_par,delta_E2_l2,11-50,-2.0679069807665025,0.0,,-0.05239593686598683,-0.10067444782099397,-0.004117425910979695
cap_par,delta_E1,51-150,-0.28098634778530823,0.0,,0.42726805846094723,0.4222581191708906,0.43227799775100384
cap_par,delta_E1,2-10,-0.0811787333945848,0.0,,0.3841994149192416,0.3730544801348676,0.3953443497036156
