effect,t,seed,diff
weights_at_S_end,20,0,900.0
weights_at_S_end,20,1,900.0
weights_at_S_end,20,2,600.0
weights_at_S_end,20,3,200.0
weights_at_S_end,20,4,400.0
weights_at_S_end,20,5,600.0
weights_at_S_end,20,6,400.0
weights_at_S_end,20,7,500.0
weights_at_S_end,20,8,300.0
weights_at_S_end,20,9,800.0
weights_at_S_end,30,0,700.0
weights_at_S_end,30,1,0.0
weights_at_S_end,30,2,600.0
weights_at_S_end,30,3,200.0
weights_at_S_end,30,4,1000.0
weights_at_S_end,30,5,300.0
weights_at_S_end,30,6,600.0
weights_at_S_end,30,7,1500.0
weights_at_S_end,30,8,1000.0
weights_at_S_end,30,9,1200.0
weights_at_S_end,40,0,800.0
weights_at_S_end,40,1,400.0
weights_at_S_end,40,2,700.0
weights_at_S_end,40,3,1400.0
weights_at_S_end,40,4,600.0
weights_at_S_end,40,5,300.0
weights_at_S_end,40,6,1100.0
weights_at_S_end,40,7,800.0
weights_at_S_end,40,8,800.0
weights_at_S_end,40,9,1600.0
weights_at_S_end,48,0,900.0
weights_at_S_end,48,1,300.0
weights_at_S_end,48,2,400.0
weights_at_S_end,48,3,700.0
weights_at_S_end,48,4,700.0
weights_at_S_end,48,5,500.0
weights_at_S_end,48,6,800.0
weights_at_S_end,48,7,300.0
weights_at_S_end,48,8,700.0
weights_at_S_end,48,9,600.0
