arm,seed,G,G2,G3,H,H99,H_censored,H_early,H_minus_early,Hfull,correct_sw_mid,dead,disp_l1_mid,dn1_post_mid,efolds_max_mid,efolds_mid,first_dead_task,led_fit,led_hold,led_post,led_shock,led_total,min_correct_after_sw_mid,n_noswitch,n_pinned_mid,n_switched_mid,post_updates_mid,slope_n1_mid
A,0,80114.74968736933,1896.8092320423557,18.952987077132903,3690.0,3260.0,0,2080.0,1610.0,3860.0,1200.0,False,992.5803515,3195.2419679618106,12.385159467942499,5.96704191910838,-1,-412.93919422388745,97.78186733729613,3176.0431402897184,-1288.1653698635012,1572.7204435396259,798.0,0,25,25,25900.0,1546.4496025949456
A,1,77860.46740416036,1839.892744893498,19.49826330098624,4190.0,3800.0,0,1800.0,2390.0,4260.0,1200.0,False,873.557132,2744.7431995793886,12.241778046286885,5.308929333713105,-1,-121.38289785709726,88.96742222303263,2701.917447796011,-1164.5227476529676,1504.9792245089793,806.0,0,25,25,25600.0,1534.3754273385234
A,2,78300.67154223636,1893.4394286129427,19.48741089222306,4700.0,4130.0,0,2040.0,2660.0,4860.0,1200.0,False,824.7166413,2753.445552377212,12.246269154636359,5.1073033953068885,-1,-173.95907568234455,98.75186252416374,2738.227947795387,-1175.167809351988,1487.8529252852181,880.0,0,25,25,25200.0,1519.4549671853283
A,3,74845.40856155191,1632.9342870909932,14.957247119365395,4180.0,3560.0,0,2080.0,2100.0,4450.0,1200.0,False,823.5866028,2408.713296434842,12.492775176448783,5.150139179942077,-1,-50.97059326557996,74.37287671225756,2466.794967058002,-1138.8877201937698,1351.3095303109096,792.0,0,25,25,25800.0,1357.1119489421962
A,4,78628.04431426273,1883.9231552762092,16.45003899875509,3490.0,3110.0,0,1960.0,1530.0,3680.0,1200.0,False,939.0370477,3071.6573516617573,12.354171211147005,5.843977660905048,-1,-307.55439747042635,99.78909321894228,2966.238353021459,-1194.2659581332593,1564.2070906367155,805.0,0,25,25,26100.0,1636.8057861976697
A,5,71162.49121720913,1457.3134418233956,12.359272121777163,4540.0,3930.0,0,2100.0,2440.0,4700.0,1200.0,False,742.4607124,2130.5162062769014,12.510240812165593,4.7288979370062325,-1,65.70447863418812,93.96624885448574,2106.6525402308266,-1011.8050424839353,1254.518225235565,844.0,0,25,25,25500.0,1219.162605541291
A,6,75760.78925184456,1685.5628814146687,14.105250716405692,3770.0,3170.0,0,1780.0,1990.0,3970.0,1200.0,False,903.3395072,2529.1547422697477,12.70618878492527,5.5749830056674226,-1,-146.93451570029546,91.58602307911293,2625.207982980711,-1141.0401220139674,1428.8193683455618,832.0,0,25,25,26100.0,1416.7014353031568
A,7,71550.06528674657,1445.4546801318306,12.177769964279829,3930.0,3530.0,0,1980.0,1950.0,4100.0,1200.0,False,805.0970288,2169.6516968719225,12.481136424003562,5.112375805600518,-1,128.61606220391172,91.34810640195647,2087.8037880240877,-1037.97983146913,1269.788125160826,806.0,0,25,25,25700.0,1247.4063567594799
A,8,76203.93317486483,1791.1799597088082,18.141847241067257,4020.0,3330.0,0,2060.0,1960.0,4170.0,1200.0,False,851.6013996,2687.520032478642,12.401373542596426,5.279060000049859,-1,-129.48739392025163,76.73301240768633,2642.7981642050586,-1125.2982032791922,1464.7455794133011,774.0,0,25,25,25600.0,1551.9635213055758
A,9,70962.06386942562,1468.5649753541516,10.672793171719093,4010.0,3390.0,0,2240.0,1770.0,4120.0,1200.0,False,783.175227,2255.110384898988,12.610278890408555,5.331889395568553,-1,39.81137675568694,86.79150326511997,2175.198204255097,-1040.907210040069,1260.8938742358355,777.0,0,25,25,25800.0,1245.8150121319402
AR,0,69168.91520628876,1380.8699547253862,10.73818186822064,3560.0,3260.0,0,1980.0,1580.0,3740.0,1200.0,False,865.2734146,2450.754433255701,12.37600123578323,5.977114150375512,-1,-189.94407407016698,90.47824225684832,2435.8887695125263,-1074.3923488839762,1262.0305888152316,872.0,0,25,25,26000.0,1263.2947053822659
AR,1,75779.60039973856,1780.199225911905,29.042409105840413,4390.0,3640.0,0,1880.0,2510.0,4600.0,1200.0,False,951.8690762,3063.113885822364,12.047906017907806,5.899050941593194,-1,-391.38752022297354,72.20173449502967,3029.284943917752,-1238.4032987052879,1471.6958594845203,854.0,0,25,25,25700.0,1479.4892166902857
