t,s,N_sw,push,push_1st,push_2nd,P_rad_sq,P_perp_sq,cos_P_Wsw,ret,ret_1st_old,ret_1st_push,ret_2nd,undo_frac,cos_PR,cos_R_Wend,ret0,keep_after_fit,keep_ratio,keep_ratio_ws,net_interval
10,0,14286.162290375563,1675.198246699838,1103.1216334834285,572.0766132164089,21.294685611246077,550.7819276051629,0.19293388936325062,-27.45615547011039,-1495.7292497892968,-276.01073370544117,1744.2838280246285,0.2412358129391229,-0.13815299417446283,-0.16789063030069798,268.2761783891674,1379.4659128405601,0.8234642768747673,0.8019577846713675,1647.7420912297275
20,0,30371.506679897968,2207.4097868104072,1410.875081080926,796.5347057294854,16.3851641885502,780.1495415409352,0.1434244018155534,-543.8992022246821,-2099.482660935184,-359.3550455474648,1914.93850425797,0.22557400384604642,-0.14548358147994805,-0.15565179551994476,-88.38412503129803,1751.8947096170232,0.7936427210230051,0.7371700557217306,1663.5105845857252
30,0,46927.53250566099,3234.5354517858214,2251.3293322180434,983.2061195677774,27.00165282232726,956.2044667454501,0.1657192228539613,-1212.0565930842276,-3013.519995572326,-452.01655088349565,2253.479953371604,0.2298686622710427,-0.15183615779515391,-0.16297685087070687,-330.0390427240927,2352.5179014256864,0.7273124491885956,0.6876822822792225,2022.4788587015937
40,0,62913.11749032889,3204.645555632349,2235.660966335509,968.9845892968298,19.86143810614913,949.1231511906808,0.1431683139943462,-1418.6456616453215,-3376.6929987239955,-441.5488167525151,2399.5961538311963,0.22784099026432253,-0.14478421507286027,-0.15156721805116202,-697.3235556436557,2483.323449630683,0.7749136079233784,0.7240494272526615,1785.9998939870275
48,0,73998.07069274705,3311.964374242758,2277.5131437954715,1034.4512304472978,17.524328916961693,1016.9269015303362,0.1301564478826946,-1852.6464596526785,-3922.2307795221145,-500.29897052844285,2569.8832903978773,0.24181853904901493,-0.1534220929567632,-0.15687947669446728,-972.8076507434307,2432.12556533351,0.734345328182942,0.7358660720246355,1459.3179145900795
10,1,14083.073902354863,1634.5782511257567,1067.8557884949846,566.7224626307724,20.242668485031004,546.4797941457414,0.18899428337742946,60.011351668721545,-1370.6111025001674,-215.11615438155889,1645.7386085504465,0.18978968416301337,-0.11137235103521058,-0.15589214407424795,222.40295568510555,1472.1866471093726,0.9006522912533905,0.8886839019541336,1694.58960279448
20,1,30375.27209633119,2163.8280686666913,1373.019834314919,790.8082343517729,15.515774306840413,775.2924600449325,0.14007193734765525,-529.5805739608404,-2178.8823504718703,-305.4128772299383,1954.7146537409674,0.1931017305859782,-0.1228231052088401,-0.1557502511595,-164.5470056746817,1798.7945003805326,0.8313019534351982,0.7923240094802908,1634.2474947058545
30,1,45383.127848311386,2562.831654057474,1711.475675822007,851.3559782354644,16.13567160201466,835.2203066334497,0.13766956120984425,-710.4419488170097,-3224.477228455466,-407.61797702802266,2921.6532566664814,0.23939338387736409,-0.12922704169746863,-0.15343939763214515,-365.32463134877617,2217.7143365892407,0.8653375000570779,0.7194494185657138,1852.3897052404645
40,1,59941.5444336444,3250.9787086570504,2271.502639134105,979.476069522954,21.51981688303446,957.9562526399197,0.14822531120724153,-1075.2128527681925,-3044.394170159098,-453.7996823372198,2422.980999728122,0.2316542978728614,-0.14728627299141642,-0.1413533235493558,-408.87144156677095,2584.637297455629,0.7950335972896355,0.7319909373946175,2175.765855888858
48,1,72461.36340080813,2756.0468614163838,2039.5357325109192,716.5111289054717,14.351461968705035,702.1596669367666,0.14152612053020128,-1686.8316006773384,-4146.115328300324,-458.15537940485933,2917.4391070278434,0.3197126750178525,-0.15844203956376396,-0.15540706767861043,-892.1349991684838,1961.350259907529,0.7116534509502334,0.7098219982975014,1069.2152607390453
