arm,task,hit999_med,n1_start_med,n1_end_med,n1_sw_med,efolds_med,dn1_post_med,min_correct_after_sw_min,n_dead,n_noswitch
A,1,1800.0,33.348007800773225,1345.8383672795246,709.0913473252365,3.2457223236245882,634.8995677783039,500,0,0
A,2,1950.0,1345.8383672795246,3125.177913152185,2334.124524293409,3.5561975733697793,791.7790678274878,560,0,0
A,3,1900.0,3125.177913152185,4609.999286206119,3637.7677383452033,4.447870250161668,931.1396371349224,596,0,0
A,4,2100.0,4609.999286206119,6095.501603058683,5093.184352154287,4.473409895778165,1029.252144650568,605,0,0
A,5,2000.0,6095.501603058683,7722.963941289959,6607.644644952685,4.850178556027485,1149.7094954664417,617,0,0
A,6,2050.0,7722.963941289959,9308.099370735063,7974.1433711403215,5.0957519464360175,1328.895576390763,641,0,0
A,7,2150.0,9308.099370735063,10966.665492214941,9522.14705441252,5.114048879903725,1455.8366525015972,661,0,0
A,8,2150.0,10966.665492214941,12642.108681360733,11092.305180943415,5.348972614266485,1504.0724294384445,626,0,0
A,9,2400.0,12642.108681360733,14326.558382144727,12738.515778449975,5.2181727963026425,1655.1255453361682,685,0,0
A,10,2550.0,14326.558382144727,15937.866562731497,14372.21210214784,4.968608326320807,1650.7844324952157,687,0,0
A,11,2550.0,15937.866562731497,17582.78969318456,15899.15677400192,5.420217938637405,1740.813039816734,676,0,0
A,12,2450.0,17582.78969318456,19308.274547766578,17449.33236572123,5.343035287862072,1874.9744095280075,693,0,0
A,13,2600.0,19308.274547766578,21016.388010114628,19166.087180352366,5.328048272892756,1894.8549477081888,666,0,0
A,14,2700.0,21016.388010114628,22744.19856992494,20792.769020494583,5.42441179606587,1967.2233484446242,685,0,0
A,15,2800.0,22744.19856992494,24445.36959708415,22445.655177977133,5.266239916233678,1957.7432670837406,678,0,0
A,16,2950.0,24445.36959708415,25989.72190583088,24245.83005721905,5.493288598583221,1984.2220104271764,668,0,0
A,17,2700.0,25989.72190583088,27600.944392450496,25529.964169573657,5.452896630223012,2058.745377183617,664,0,0
A,18,2950.0,27600.944392450496,29196.800782365823,27141.416815765202,5.414568179980198,2033.7623270401746,706,0,0
A,19,3050.0,29196.800782365823,30766.14632486953,28737.975556706537,5.444317980232093,2087.7510186821837,648,0,0
A,20,3000.0,30766.14632486953,32469.43439154901,30280.057324138324,5.33578996786174,2169.1159862985005,713,0,0
A,21,3050.0,32469.43439154901,34003.01154288207,31875.26663565794,5.594697037109988,2180.7237921850683,698,0,0
A,22,2950.0,34003.01154288207,35532.94828381129,33396.0158180541,5.639317667233199,2210.087801684276,715,0,0
A,23,3250.0,35532.94828381129,36929.500602732034,34849.723806984635,5.3055323249923285,2169.5939466670097,700,0,0
A,24,3150.0,36929.500602732034,38429.44011771343,36148.098730162645,5.505391718822012,2270.9918499916057,740,0,0
A,25,3150.0,38429.44011771343,39922.83360046572,37614.518583022036,5.6090071383291065,2184.3073293080706,769,0,0
A,26,3200.0,39922.83360046572,41360.48582766291,39215.598535176345,5.696234180627068,2164.633114687709,704,0,0
A,27,3400.0,41360.48582766291,42883.50767398441,40579.71109966253,5.41880404310853,2285.9423401548993,688,0,0
A,28,3400.0,42883.50767398441,44286.32498261434,42145.66572288475,5.6665008851634235,2140.3443919305646,585,0,0
A,29,3450.0,44286.32498261434,45735.640417802446,43518.44622183975,5.3242541041168465,2353.2979322483043,717,0,0
A,30,3300.0,45735.640417802446,47069.02838125553,44766.70051757636,5.602775838966581,2368.7650645599024,700,0,0
