arm,seed,t,nW,nD,rho,c,bal,ratio,net_rel,dN,block
A,0,2,36.46017195136085,44.7464801274065,1.2272701343016121,-0.07062175835589894,-0.6136350671508061,0.11508755306929525,1.3328480328245769,1771.8137202435648,t2-5
A,0,3,55.68804053803981,44.440278838226426,0.7980219524490151,-0.11593244233760837,-0.39901097622450754,0.2905495067694023,0.4518057686176559,1401.1210100749813,t2-5
A,0,4,67.09902286204581,47.3056935636922,0.705013151397923,-0.10614769908375012,-0.3525065756989615,0.301122607069888,0.34737249595468445,1563.9678482229265,t2-5
A,0,5,77.88611376403546,48.10697951731223,0.6176579776859533,-0.11171728341331945,-0.30882898884297666,0.36174480845165036,0.24349523470782283,1477.1021682158262,t2-5
A,0,6,86.8524546888578,50.091538763645794,0.5767429250341266,-0.1101643115425975,-0.2883714625170633,0.38202223819591347,0.20555942703002325,1550.6064747868559,t6-10
A,0,7,95.36223235782055,49.435831104207786,0.5184005227427293,-0.0798741556359943,-0.25920026137136465,0.30815615390740675,0.18592549390926788,1690.7981419464722,t6-10
A,0,8,103.84966780020737,52.40492352304,0.5046229288268879,-0.09580280693989178,-0.25231146441344393,0.3797005703351905,0.1579557142421361,1703.5134423675026,t6-10
A,0,9,111.75091473711045,54.68953972168426,0.4893878484157308,-0.10343879085369843,-0.2446939242078654,0.422727254828886,0.1382570915797458,1726.5914666292374,t6-10
A,0,10,119.2260810863553,56.03570246497966,0.46999533956327116,-0.10428940981819605,-0.23499766978163558,0.4437891231649395,0.12286454605048218,1746.5021258652196,t6-10
A,0,11,126.33827819420125,56.40066736691478,0.4464258035891413,-0.10871820216691021,-0.22321290179457065,0.4870605654639387,0.10222677657595133,1631.6784374718154,t11-20
A,0,12,132.63875366779953,55.87762055128522,0.4212767310165892,-0.09712406979203247,-0.2106383655082946,0.46109392065239835,0.09564186284599464,1682.6310206478774,t11-20
A,0,13,138.83684667693615,55.213559420014846,0.3976866425704195,-0.08732545484472172,-0.19884332128520976,0.43916715070086243,0.0886983317826683,1709.7197725670376,t11-20
A,0,14,144.86334860054188,58.98782072480775,0.4071963080700669,-0.0891096864899324,-0.20359815403503345,0.43767433409341794,0.09323856260192964,1956.6475775873878,t11-20
A,0,15,151.4662911190127,59.42968005094224,0.3923624168247846,-0.09883201126140777,-0.1961812084123923,0.5037791950677207,0.07639233254022545,1752.5957460362079,t11-20
A,0,16,157.14526111654055,59.12692862452838,0.3762565170875833,-0.10642527705194749,-0.18812825854379164,0.5657059597305223,0.06148255850358511,1518.2892237657034,t11-20
A,0,17,161.9040528064428,58.973537324835604,0.3642499140854664,-0.1041647387566776,-0.1821249570427332,0.5719410477732424,0.05679400562555992,1488.7368574290776,t11-20
A,0,18,166.43815419722876,59.61354109129271,0.3581723276061499,-0.09829734776152416,-0.17908616380307496,0.5488829827725439,0.05787263657229462,1603.168053744328,t11-20
A,0,19,171.18652758416715,59.74288828878138,0.3489929326325498,-0.08940789157644992,-0.1744964663162749,0.5123765166361482,0.05939062246395084,1740.4319301699652,t11-20
A,0,20,176.19664910688508,60.72355086049964,0.3446351061061513,-0.10064654230004509,-0.17231755305307564,0.5840759720458941,0.04940069279121159,1533.6573102135553,t11-20
A,0,21,180.49630596416188,60.50502806164287,0.33521477206107664,-0.09015927627105329,-0.16760738603053832,0.537919470056207,0.05192350091917404,1691.6113991048223,t21-30
A,0,22,185.1230073918776,62.32579178066093,0.3366723167408716,-0.09414734587130162,-0.1683361583704358,0.5592817775021551,0.04995463876067528,1711.9718396743629,t21-30
A,0,23,189.6905366787904,58.57504283762583,0.30879264650304084,-0.11102366903483822,-0.15439632325152042,0.7190823375630152,0.02678631336286115,963.8385126902576,t21-30
A,0,24,192.21430284496986,62.91214256216432,0.3273020874669561,-0.08328723010935074,-0.16365104373347805,0.5089318601902243,0.05260648791196455,1943.6170948659346,t21-30
A,0,25,197.20536329685285,65.13442937165905,0.3302873120829494,-0.09092005754069966,-0.1651436560414747,0.5505513182890035,0.049030225683890045,1906.7832858349357,t21-30
A,0,26,201.98202543513287,66.36908174390905,0.32858904945095563,-0.0906784294967963,-0.16429452472547781,0.5519260586943615,0.04837888551096697,1973.700745896007,t21-30
A,0,27,206.81015290544772,66.5608345586367,0.3218451010433124,-0.09139699329166286,-0.1609225505216562,0.5679564050867009,0.0447529199835596,1914.1020496583951,t21-30
A,0,28,211.38718360968116,66.95325019213372,0.3167327793900717,-0.09263758469816094,-0.15836638969503586,0.5849573566496777,0.04163693418529646,1860.5273091401832,t21-30
A,0,29,215.74306177389167,69.5264570793781,0.3222650893507988,-0.10048554284044066,-0.1611325446753994,0.6236204054424153,0.03908882293040207,1819.3919488373722,t21-30
A,0,30,219.9192139227735,67.8361300848012,0.3084593150129321,-0.0939819411733081,-0.15422965750646606,0.6093636119847308,0.03716793862243868,1797.6073050361592,t21-30
A,0,31,223.9688995317135,65.4732444807413,0.2923318577607711,-0.0923476060808327,-0.14616592888038554,0.6317998099023822,0.03146562057112429,1578.380597411975,t31-40
A,0,32,227.46526889804244,68.29886633265632,0.30026063611174925,-0.09502862147025143,-0.15013031805587462,0.6329742233336523,0.033089740935271644,1712.0780385550242,t31-40
A,0,33,231.1980246312969,66.7638519729436,0.2887734533174116,-0.08224933780178138,-0.1443867266587058,0.5696461143287658,0.03588725672068183,1918.2645442269204,t31-40
A,0,34,235.30998945569797,65.8182537455448,0.27970871061526464,-0.09956109539425546,-0.13985435530763232,0.7118912755720385,0.02254075155371274,1248.0992463660878,t31-40
A,0,35,237.94724285859414,65.96279031382336,0.27721603125707717,-0.08916591206759714,-0.13860801562853858,0.6432954953092799,0.027412287452331173,1552.0532984384045,t31-40
A,0,36,241.18653296244628,64.56398691704675,0.267693167292635,-0.0705553238610112,-0.1338465836463175,0.5271357844100818,0.03388527558773924,1971.138457878551,t31-40
A,0,37,245.23882673900505,68.39407881457407,0.2788876448481885,-0.0946167342544941,-0.13944382242409425,0.6785294078265703,0.025003442090043765,1503.7590679702334,t31-40
A,0,38,248.28580549095827,69.16651314900696,0.27857618768111886,-0.09806278318972754,-0.13928809384055943,0.7040284670847621,0.02296877975415714,1415.9297494730636,t31-40
A,0,39,251.12102850571281,68.93387373975952,0.27450458509965575,-0.09670831087266758,-0.13725229254982788,0.7046025175685772,0.022259017737153858,1403.693078285265,t31-40
A,0,40,253.9005002674321,66.27719266731806,0.26103608538584455,-0.08142375244496744,-0.13051804269292228,0.6238505479011668,0.025630762682245144,1652.2990099088856,t31-40
A,0,41,257.13374544380827,67.52941215945665,0.2626236865289777,-0.0831686072685275,-0.13131184326448886,0.6333671449650504,0.02528710823738791,1671.927030557199,t41-50
A,0,42,260.36453306185615,69.46973384447409,0.26681719290841277,-0.09904018530925277,-0.13340859645420639,0.7423823347339475,0.01834016597283747,1243.2741672505508,t41-50
A,0,43,262.7412496045662,67.7413601634316,0.2578253710271397,-0.08081944812662083,-0.12891268551356985,0.626931692599899,0.024799313546372874,1711.9701253167877,t41-50
A,0,44,265.97919912858924,67.7204363594479,0.25460801664685084,-0.08266672063864745,-0.12730400832342542,0.6493646329550474,0.022730022571832438,1608.0339550521312,t41-50
A,0,45,268.98507082018114,71.93928723667395,0.26744713755792787,-0.1065529482513409,-0.13372356877896394,0.7968150208993132,0.014533409371570917,1051.5353079029737,t41-50
A,0,46,270.93265515998775,70.46390986788856,0.26007905848883034,-0.08931891959426787,-0.13003952924441517,0.6868597580539447,0.021181155637802984,1554.7922159459413,t41-50
A,0,47,273.7869533925727,70.68889948904378,0.2581894374918795,-0.10364236457451995,-0.12909471874593975,0.8028396946159323,0.013143058012725944,985.1943739232083,t41-50
