arm,seed,lag1,lag2,lag3,lag4,lag10plus,radial,PR,PR_late,rel_disp
A (Adam iid),0,-0.09768706920217611,-0.03421814031139795,-0.020545615219631733,-0.018003273028100213,-0.0070581358978657645,-0.0913357331965086,45.37587074692893,24.31921494104627,0.27911417174901904
A (Adam iid),1,-0.1029965044768104,-0.03356552583143802,-0.02066571689755765,-0.018332888492359777,-0.006090427020224013,-0.09268846648383486,45.39896589385134,24.22261566363672,0.28013910558892696
A (Adam iid),2,-0.10827445837821488,-0.03279725654628927,-0.025603439326261603,-0.015398491251605782,-0.006332738164792303,-0.09611735904513968,45.149866113466636,24.100641759518414,0.2835718322901865
A (Adam iid),3,-0.09702362086913714,-0.03323556491266635,-0.026964333102784812,-0.01788551909932333,-0.006136382871713945,-0.09181668275229382,46.03301342964715,24.249558861776627,0.272267145484843
A (Adam iid),4,-0.10388470730070887,-0.03192671815567959,-0.02541016311455453,-0.01742854847689834,-0.005535690320549615,-0.08964296827598982,45.37043827449173,24.166194431473414,0.2782974020364707
A (Adam iid),5,-0.09903606753649656,-0.03514125012806905,-0.023531150177107354,-0.015470402763664768,-0.006595396100535076,-0.09331721304696496,46.146219449276515,24.2448436766477,0.2723378138864454
A (Adam iid),6,-0.09440872953785935,-0.036821022787774306,-0.020929705372946774,-0.017052327919870887,-0.0066491456067113005,-0.08956797101618819,45.899954207242565,24.26224022485511,0.2731013159387012
A (Adam iid),7,-0.09784694378098015,-0.035880792724951295,-0.022011016796169652,-0.020410220833243894,-0.00543016927632294,-0.09330120864536477,46.268206090387295,24.30382182560631,0.2727408699335154
A (Adam iid),8,-0.09768990116214137,-0.0365897062949093,-0.02015608310552008,-0.01730588158060859,-0.0062137968543658295,-0.09186885676372004,45.402715645445156,24.065424239464118,0.27860590596816903
A (Adam iid),9,-0.09821920673321947,-0.03550534943807846,-0.022687017335836022,-0.01690369548930218,-0.005639078712329542,-0.09207901797487324,46.168098804651024,24.27810160040244,0.2710075759985903
SA_iid (SGD iid),0,-0.211288314821526,-0.052900560536815064,-0.020613027825239088,-0.01848893612775158,-0.0033838841625152224,-0.15506273281845626,43.004369203952606,22.81721369982306,0.36774377247310325
SA_iid (SGD iid),1,-0.2088250531492765,-0.0492241933642579,-0.027537370319874764,-0.01904426288257665,-0.004461935672595873,-0.14958477960869263,43.18203508225152,22.83027821148247,0.3582738074521346
SA_iid (SGD iid),2,-0.20609174999754773,-0.05534015502349231,-0.02588669652380837,-0.017411128963151425,-0.003920091999415284,-0.15207452083880366,43.22789488772203,22.85787537623533,0.3623540462348315
SA_iid (SGD iid),3,-0.21054684506885604,-0.05221133326904599,-0.02715880036609388,-0.01712679038459405,-0.0036923329381756674,-0.15493286895357708,42.96556450128642,22.816673803960995,0.3666822580955834
SA_iid (SGD iid),4,-0.21322512913186023,-0.04991925668354932,-0.024622012292999297,-0.01923916495815704,-0.003837764884547226,-0.1543470405298714,43.007225893849636,22.759054635759753,0.3676982136820548
SA_iid (SGD iid),5,-0.21038803364844627,-0.05076036891715302,-0.02630496903827432,-0.01846666148198747,-0.003299221212765999,-0.15397718819370593,43.18509337721366,22.821758834827204,0.36503309226174024
SA_iid (SGD iid),6,-0.21489924937156682,-0.05125996236323265,-0.02797520221222629,-0.014367158720678378,-0.0037306642743072686,-0.15317922460872763,42.822700865536284,22.75159057219359,0.3640924031210054
SA_iid (SGD iid),7,-0.2155718247790633,-0.05170387440730651,-0.024806266038242483,-0.01943795573219565,-0.003162296959836127,-0.1549644033032222,42.86612133478399,22.703550266690968,0.3670791073168611
SA_iid (SGD iid),8,-0.2091609153091398,-0.05483562203940715,-0.02565057862235552,-0.015247720179741438,-0.004093702042172719,-0.15296086103208725,43.04505819206781,22.8125434508929,0.3638898214929022
SA_iid (SGD iid),9,-0.21381885984104043,-0.04774540434748411,-0.025952338461865156,-0.01976968208648964,-0.0036417356723713037,-0.1542461760562826,42.995146214087235,22.773014629367722,0.3665085763624402
LR_abab (Adam abab),0,-0.4021688323349489,0.25599473730304434,-0.2932940381152507,0.27022829785212327,0.02250775389804034,-6.85791744006117e-06,10.782126290203523,8.763748212205146,0.15600378064860493
LR_abab (Adam abab),1,-0.39329912570285125,0.24922508517918443,-0.2905155024038032,0.2642533989829662,0.020881019377077942,0.0006205811294610753,10.975131298951991,9.059249189951371,0.15463959287615311
LR_abab (Adam abab),2,-0.3953075208678212,0.24823633725495525,-0.284334614332987,0.25897612190428443,0.02179920382364359,6.960892383874178e-06,10.854379208615262,9.115017835369766,0.1528364502110341
LR_abab (Adam abab),3,-0.4069487122149498,0.26354184314475104,-0.2976983896436629,0.2723792351056681,0.022087623698058577,6.88479592950506e-05,10.502693470700054,8.481612259752605,0.1536716801968269
