t,s,band,N_sw,push,push_share,P_sq,R_sq,undo,keep,keep_frac,ret_1st_old,ret
10,0,top,878.4815509330429,190.6384415306111,0.11380052594143486,68.84786287495541,363.9828226778744,0.4747075692094157,99.47946909873815,0.5218227147684933,-444.7991309229203,-146.18151150631252
10,0,mid1,6537.699606494078,803.7678276083334,0.4798046017489371,273.568928953212,815.0527802256602,0.2495979650440321,676.688678749314,0.8418957011041955,-774.3978188688059,-95.90953457513933
10,0,mid2,5566.126590471419,562.8630771477247,0.3359978905521016,189.03917214482993,481.2103257127834,0.16985314471213542,488.40398909677515,0.8677136748278702,-255.61585443268416,161.3766755549441
10,0,low,1244.5245496265102,115.71713725304471,0.06907668240520724,38.78122724938283,82.1379567967326,0.1266012920837149,111.66678180024519,0.9649977907425898,-20.932420783192086,51.386029056812276
10,0,mu,0.9503569875732213,0.01869683276625589,1.1160967248556336e-05,0.0049611575665096785,0.019666654575520234,-0.07096181257874722,0.03851804694497907,2.060137533801799,0.1674563899829067,0.18782715002524375
10,0,comp,58.37963586294134,2.193066327355943,0.0013091383850695356,1.8344608364622799,1.8802759570026493,0.01211144301361919,3.188476048543734,1.4538894737342032,-0.15148117167738334,1.6843588495622086
20,0,top,1448.8509203066715,219.12019995378364,0.09926575539487889,93.46104619067614,420.41183545861315,0.46706201873746095,148.2085117920078,0.6763799586859981,-526.8635162290587,-193.7558905847102
20,0,mid1,13288.30388539629,1169.393397262491,0.5297581827578122,384.29804851376093,908.1000550110664,0.2129610916444962,919.0086401756507,0.7858849231807002,-1186.8440178928604,-442.4250267384741
20,0,mid2,12638.52558023857,684.5964754117831,0.3101356528825531,263.1047643126676,500.7634791577826,0.18504589257550597,554.4879376406479,0.8099485719775651,-358.1000852400705,45.29048201149999
20,0,low,2893.572303372718,130.95194859671392,0.059323805384560106,52.87756047078682,84.27460002578735,0.10331928885548133,126.25472583897908,0.9641301805122379,-27.69177736517655,45.656278772101814
20,0,mu,2.9927866982088656,-0.002684361674941016,-1.2160685754772246e-06,0.011638302511307569,0.02447108558870505,-0.035917954898140834,0.09133956112854769,-34.026547905678434,0.34036014355783184,0.36566727719592285
20,0,comp,99.26120388550942,3.3504499473162213,0.0015178196487737096,2.7816479390826503,1.364063519131803,0.01278956420932917,3.8435546086160883,1.147175653734166,-0.3236243515755647,0.969287037706934
30,0,top,2058.2489393683995,364.61105416034934,0.1127243956961559,110.41741706531037,506.35392451163693,0.5028482522511877,310.22625238770206,0.8508415991449073,-707.4047059525992,-312.0971918197256
30,0,mid1,19765.24762350435,1739.6877178354662,0.5378477817811415,478.67861468948115,1076.1809079893565,0.23280133196879702,1199.7366414987155,0.6896275861459996,-1736.8480633642139,-883.5411935442389
30,0,mid2,20236.14362812243,936.0750052933145,0.28940013774667317,323.63002161500094,574.4943185559296,0.15506185940222048,680.5601098603875,0.7270358742749865,-527.2933567913088,-53.16438405538065
30,0,low,4721.68788774281,192.38784507483797,0.059479281628716914,68.59812462665238,95.02424255248934,0.1285917257198903,159.87100607833872,0.830982882604406,-42.195761704483786,35.18617839422677
30,0,mu,5.991662169534083,-0.2446054728172049,-7.56230613215742e-05,0.013392623420090434,0.026340200305905337,0.38039701602557374,-0.3238106305572028,1.3238077906751842,0.5216027928946602,0.5377539652290526
30,0,comp,140.21276475346113,2.018434894669781,0.0006240262086338802,1.8685489479124961,1.4002195618858777,0.020942730369518575,2.4477022311095027,1.2126733626996429,-0.29971055261498614,1.0222439756741153
40,0,top,2473.4442571777945,334.1133807099636,0.10425907480555537,115.17733877819046,544.6049087332631,0.4161415338628688,270.73123236813353,0.8102974858200883,-796.2831984589827,-347.53843857651873
40,0,mid1,25737.50820125787,1826.503840532605,0.569955025860011,478.84772849838686,1152.5386747536736,0.2526186733298246,1304.7135697652666,0.7143229271200517,-2021.0759769710858,-1110.4690580179376
