arm,seed,t,band,N
A,0,1,top,157.21967966585254
A,0,1,mid1,607.178101175751
A,0,1,mid2,440.9770452692071
A,0,1,low,101.42888226210641
A,0,1,mu,0.02514000291700423
A,0,1,comp,22.51529034696796
A,0,1,all,1329.3441387228017
A,0,25,top,1921.203309877861
A,0,25,mid1,17782.026465280185
A,0,25,mid2,17076.232304561534
A,0,25,low,3889.4439793259517
A,0,25,mu,4.304862447461245
A,0,25,comp,123.52767738568946
A,0,25,all,40796.738598878685
A,0,50,top,2772.634011004791
A,0,50,mid1,32155.919203220143
A,0,50,mid2,36162.86639658569
A,0,50,low,8787.999868470215
A,0,50,mu,15.390424643628352
A,0,50,comp,219.93978344486095
A,0,50,all,80114.74968736933
AR,0,1,top,157.21967966585254
AR,0,1,mid1,607.178101175751
AR,0,1,mid2,440.9770452692071
AR,0,1,low,101.42888226210641
AR,0,1,mu,0.02514000291700423
AR,0,1,comp,22.51529034696796
AR,0,1,all,1329.3441387228017
AR,0,25,top,1874.3129029649735
AR,0,25,mid1,15854.527157646287
AR,0,25,mid2,15875.952192969567
AR,0,25,low,3908.260055358072
AR,0,25,mu,4.397490517937351
AR,0,25,comp,100.70068645114225
AR,0,25,all,37618.15048590798
AR,0,50,top,2139.4311544328402
AR,0,50,mid1,26308.47114296425
AR,0,50,mid2,32051.170114673336
AR,0,50,low,8446.37576907868
AR,0,50,mu,19.290752367751907
AR,0,50,comp,204.1762727718742
AR,0,50,all,69168.91520628874
F,0,1,top,82.73309830353134
F,0,1,mid1,308.67388949879154
F,0,1,mid2,217.20292563492268
F,0,1,low,49.62324476101119
F,0,1,mu,0.014200079445145683
F,0,1,comp,20.71005760606613
F,0,1,all,678.9574158837679
F,0,25,top,556.0681181745065
F,0,25,mid1,5099.377949327401
F,0,25,mid2,5054.497294375332
F,0,25,low,1125.8341401358498
F,0,25,mu,2.3987735471402747
F,0,25,comp,33.07843715798299
F,0,25,all,11871.254712718213
F,0,50,top,744.7964132076954
F,0,50,mid1,8040.610161461054
F,0,50,mid2,9421.659966304278
F,0,50,low,2213.546786872103
F,0,50,mu,8.32420272229435
F,0,50,comp,47.67422465511481
F,0,50,all,20476.61175522254
