arm,baseline,metric,n_seed,median_log10_ratio,fold_ratio,fold_ci_lo,fold_ci_hi,bootstrap_B
L2_A1,L2_none,mu_norm,10,-0.25498746975231856,0.5559202964300242,0.45375690926134626,0.6763862181099107,20000
L2_A1,L2_none,trSigma,10,-0.3867213949059034,0.4104673382403247,0.3325156063842886,0.5771189510730301,20000
L2_A1,L2_none,mu_over_trSigma,10,0.0898541453120612,1.229855663239987,1.0759176343469836,1.5113703339168743,20000
L2_A1,L2_none,mu2_over_trSigma,10,-0.13638019417863745,0.7304993028812745,0.5986346092477446,0.9193499304019922,20000
L2_A1,L2_none,mu_over_sqrttrSigma,10,-0.057693520823526155,0.8756014642870998,0.7699447722151719,0.9872699730135222,20000
L2_A1,L2_none,dose,10,-0.057693520823526204,0.8756014642870997,0.7699447722151718,0.9872699730135222,20000
L2_Aall,L2_A1,mu_norm,10,-0.4165777989528197,0.38319708881935166,0.3265336622570504,0.45925624301543116,20000
L2_Aall,L2_A1,trSigma,10,0.8784081999712545,7.55802283948099,5.540518665687523,9.90805291977361,20000
L2_Aall,L2_A1,mu_over_trSigma,10,-1.2633892854795798,0.05452688831527662,0.04386757176529875,0.06243824859833271,20000
L2_Aall,L2_A1,mu2_over_trSigma,10,-1.6310502881260498,0.023385664340843264,0.02002464873094504,0.026276532048139633,20000
L2_Aall,L2_A1,mu_over_sqrttrSigma,10,-0.8414955519948907,0.14404707633431146,0.1340661670249221,0.15066001684128755,20000
L2_Aall,L2_A1,dose,10,-0.8414955519948907,0.14404707633431146,0.13406616702492216,0.1506600168412876,20000
L2_Aall,L2_none,mu_norm,10,-0.6695563207600062,0.21401473673107427,0.16746711011578697,0.27686784780094376,20000
L2_Aall,L2_none,trSigma,10,0.5123104779999275,3.25319786042573,2.721005462037356,3.613675603624049,20000
L2_Aall,L2_none,mu_over_trSigma,10,-1.1834509256493635,0.06554643477229703,0.0563252521910696,0.07832291881851072,20000
L2_Aall,L2_none,mu2_over_trSigma,10,-1.8114962928529323,0.015434895985288147,0.013264369547287188,0.020781561571015683,20000
L2_Aall,L2_none,mu_over_sqrttrSigma,10,-0.9230653187816995,0.11938085397058565,0.11201073107756247,0.13897546210978806,20000
L2_Aall,L2_none,dose,10,-0.9230653187816994,0.11938085397058568,0.1120107310775625,0.1383910725651722,20000
