key,status,high,low,channel,unit_set,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,ci_degenerate
RWw_1216_minus_R_1216:median_M:all,OK,RWw_1216,R_1216,median_M,all,0.3242438197135926,0.27879418134689327,0.3668201684951782,-0.15516090021251805,1.2479790990340203,1
RWw_1216_minus_R_1216:median_M:p_hat_positive,INSUFFICIENT_DATA,RWw_1216,R_1216,median_M,p_hat_positive,,,,,,
RWw_1216_minus_R_1216:median_B:all,OK,RWw_1216,R_1216,median_B,all,-44.47275379449129,-46.76916062235832,-42.7059689104557,-14106605679050.887,18335285688671.926,1
RWw_1216_minus_R_1216:median_B:p_hat_positive,INSUFFICIENT_DATA,RWw_1216,R_1216,median_B,p_hat_positive,,,,,,
RWw_1216_minus_R_1216:median_s:all,OK,RWw_1216,R_1216,median_s,all,-44.20831810981035,-45.670628710463646,-42.48853803426027,-1273241784273.6055,19116174644001.69,1
RWw_1216_minus_R_1216:median_s:p_hat_positive,INSUFFICIENT_DATA,RWw_1216,R_1216,median_s,p_hat_positive,,,,,,
