endpoint,contrast,high,low,status,cross_run,n_paired,label,ci_below_zero,equivalence_margin,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,ci_degenerate,sign_n_positive,sign_n_negative,sign_p_two_sided,seed_values
P3prime,BLR_1216_minus_R_1216,BLR_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,BLQ_1216_minus_R_1216,BLQ_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,BLP_1216_minus_R_1216,BLP_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,BLRw_1216_minus_R_1216,BLRw_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,BLQw_1216_minus_R_1216,BLQw_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,BLPw_1216_minus_R_1216,BLPw_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,RWw_1216_minus_R_1216,RWw_1216,R_1216,OK,1,10,,,,0.20925056751386148,0.09403976711860086,0.3972530765173226,0.09827675093362774,1.0034617041830447,1,10,0,0.001953125,"[0.30289425367893336, 0.24642969110233484, 0.016008090311813602, 5.009253204767963e-05, 0.3972530765173226, 0.16841958454052058, 0.10632659167435748, 0.17207144392538812, 0.40051284654483077, 0.4078680652824851]"
P5,BLR_1216_minus_LR_1216,BLR_1216,LR_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,BLQ_1216_minus_LR_1216,BLQ_1216,LR_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,BLP_1216_minus_LR_1216,BLP_1216,LR_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,BLRw_1216_minus_LR_1216,BLRw_1216,LR_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,BLQw_1216_minus_LR_1216,BLQw_1216,LR_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,BLPw_1216_minus_LR_1216,BLPw_1216,LR_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P8,BLR,,,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,[]
P8,BLQ,,,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,[]
P8,BLP,,,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,[]
