arm,seed,is_control,status,slope,r_squared,n_points,n_units
RWw_1216,0,0,OK,-2.5588458406807626,0.9563696040003671,401,100
RWw_1216,1,0,OK,-2.583269257985826,0.959201064105465,401,100
RWw_1216,2,0,OK,-2.51383627670055,0.9523670715923142,401,100
RWw_1216,3,0,OK,-2.585936845465467,0.9602517273813748,401,100
RWw_1216,4,0,OK,-2.5728777601546744,0.957341989839317,401,100
RWw_1216,5,0,OK,-2.576548243285142,0.9584834941565781,401,100
RWw_1216,6,0,OK,-2.5653331325431328,0.9567957857419235,401,99
RWw_1216,7,0,OK,-2.579384730504062,0.9593913306124826,401,100
RWw_1216,8,0,OK,-2.5682641645665107,0.9583603182971391,401,100
RWw_1216,9,0,OK,-2.5856838279245236,0.9598588718289314,401,100
R_1216,0,1,OK,0.1224767779660829,0.8931964968910489,401,94
R_1216,1,1,OK,0.04787235283150133,0.9054568725379394,401,97
R_1216,2,1,OK,0.13038755353913878,0.8991350796722275,401,97
R_1216,3,1,OK,0.07218485821941467,0.7830987030503923,401,99
R_1216,4,1,OK,0.24695417511945106,0.9621323694669113,401,94
R_1216,5,1,OK,0.19400201273483875,0.9616483219761046,401,93
R_1216,6,1,OK,0.031600523756723745,0.7008115979153395,401,96
R_1216,7,1,OK,0.062191295314487464,0.9202345662025426,401,97
R_1216,8,1,OK,0.13137168168114502,0.8760051413769653,401,94
R_1216,9,1,OK,0.0803636354525596,0.8207698111802785,401,97
LR_1216,0,1,OK,0.15585602841752563,0.7385025236025303,401,17
LR_1216,1,1,OK,0.024648451082796112,0.12948862460559374,401,21
LR_1216,2,1,OK,0.1329610002934745,0.9247633789059564,401,39
LR_1216,3,1,OK,0.03400800053689728,0.2537500296056866,401,33
LR_1216,4,1,OK,0.11291966795833784,0.764099625772227,401,27
LR_1216,5,1,OK,0.2865436191392974,0.9328898670339074,401,29
LR_1216,6,1,OK,0.11650008082985738,0.7207966947395259,401,21
LR_1216,7,1,OK,0.09470271002802318,0.4195545171021541,401,9
LR_1216,8,1,OK,0.1718648268136062,0.9186918481125299,401,24
LR_1216,9,1,OK,0.09896238810045155,0.6468759719429622,401,23
RW_1216,0,1,OK,0.08953880083239708,0.7550096206102028,401,99
RW_1216,1,1,OK,0.13970668498695768,0.9645079826750452,401,97
RW_1216,2,1,OK,0.0905028778138735,0.8656604452362444,401,95
RW_1216,3,1,OK,0.0800983842295782,0.8217658922651527,401,98
RW_1216,4,1,OK,0.17589124464582212,0.9283584395312052,401,97
RW_1216,5,1,OK,0.12877060244543678,0.9413008573438041,401,91
RW_1216,6,1,OK,0.08899759513368873,0.9390391596431106,401,98
RW_1216,7,1,OK,0.1475151767557696,0.9058970275980973,401,96
RW_1216,8,1,OK,0.044132190999459316,0.8287908892237708,401,90
RW_1216,9,1,OK,0.07566841126952846,0.7638920817929512,401,97
