arm,seed,is_control,median_s__all,median_M__all,median_B__all,median_denom__all,median_zbar__all,median_wmu__all,median_b_raw__all,median_s__p_hat_positive,median_M__p_hat_positive,median_B__p_hat_positive,median_denom__p_hat_positive,median_zbar__p_hat_positive,median_wmu__p_hat_positive,median_b_raw__p_hat_positive,median_M_plus_median_B__all,median_M_plus_median_B__p_hat_positive
RWw_1216,0,0,-47.91211399435997,-2.578492319583893,-45.103355979919435,0.011445885337889195,-0.5872453868389129,-0.02988555169559216,-0.5363086385929821,nan,nan,nan,nan,nan,nan,nan,-47.68184829950333,nan
RWw_1216,1,0,-47.23798919916153,-2.4724476814270018,-44.52507095336914,0.013579626521095633,-0.5972492694854736,-0.03157051482974684,-0.547309571955978,nan,nan,nan,nan,nan,nan,nan,-46.99751863479614,nan
RWw_1216,2,0,-39.2076820731163,-2.488618040084839,-36.63130912780762,0.01343374392017722,-0.470141726732254,-0.03100240508496834,-0.4333940115652565,nan,nan,nan,nan,nan,nan,nan,-39.119927167892456,nan
RWw_1216,3,0,-48.9525311589241,-2.523880589008331,-47.267063522338866,0.010902612609788776,-0.5116434246301651,-0.026836648902447646,-0.4738828392030596,nan,nan,nan,nan,nan,nan,nan,-49.790944111347194,nan
RWw_1216,4,0,-45.74141925573349,-2.4784777998924254,-43.1566162109375,0.010552056087180971,-0.5251934975385666,-0.026752035154964653,-0.49629140805396454,nan,nan,nan,nan,nan,nan,nan,-45.635094010829924,nan
RWw_1216,5,0,-50.99721760749817,-2.277749574184418,-48.54652137756348,0.008340860879980028,-0.49877630472183226,-0.02037159970301805,-0.4826738664186678,nan,nan,nan,nan,nan,nan,nan,-50.8242709517479,nan
RWw_1216,6,0,-47.41544798612595,-2.3800323605537415,-44.95765914916992,0.00940918382257223,-0.5080880150198936,-0.024325581270237345,-0.4918132844829735,nan,nan,nan,nan,nan,nan,nan,-47.33769150972366,nan
RWw_1216,7,0,-44.548770958185195,-2.5554660320281983,-42.235592460632326,0.01056891237385571,-0.5245188742876052,-0.028326608617414616,-0.48225182280997636,nan,nan,nan,nan,nan,nan,nan,-44.791058492660525,nan
RWw_1216,8,0,-47.415055841207504,-2.2553849458694457,-45.01897659301758,0.011773774633184075,-0.5654415726661682,-0.026797499444556828,-0.5330328613360213,nan,nan,nan,nan,nan,nan,nan,-47.27436153888702,nan
RWw_1216,9,0,-49.87904295325279,-2.210629564523697,-47.79282112121582,0.010749039147049189,-0.5603922992944718,-0.023306291122647715,-0.5148402545004374,nan,nan,nan,nan,nan,nan,nan,-50.00345068573952,nan
R_1216,0,1,-3.2334224089980124,-2.7392903923988343,-0.5150199621915817,1.6705101430416107,-5.11494677066803,-4.330068312641591,-0.7538218537399146,-1.4747286885976791,-1.0617081820964813,-0.41626307368278503,1.7234450578689575,-2.5299971103668213,-1.8132132313333216,-0.7171520010440879,-3.254310354590416,-1.4779712557792664
R_1216,1,1,-3.2818480782210826,-2.8315414667129515,-0.49219515919685364,1.6277326822280884,-5.6296075820922855,-4.875119151676364,-0.7883595428080106,-0.6155297011137009,-0.42495834827423096,-0.1905713528394699,2.6195220947265625,-1.6123936176300049,-1.1131877826428536,-0.49920586938492306,-3.323736625909805,-0.6155297011137009
R_1216,2,1,-3.295701193809509,-2.8316038250923157,-0.42627252638339996,1.4858100533485412,-4.763034296035767,-4.1426117728196505,-0.648610821244489,nan,nan,nan,nan,nan,nan,nan,-3.2578763514757156,nan
R_1216,3,1,-3.316172135621309,-2.8293824434280395,-0.49790289998054504,1.5678226351737976,-4.998698806762695,-4.291074544127943,-0.6787583368177721,nan,nan,nan,nan,nan,nan,nan,-3.3272853434085845,nan
R_1216,4,1,-3.252881221473217,-2.778517413139343,-0.45064730048179624,1.6110594868659973,-5.2865633249282835,-4.472282739622902,-0.6572261787979781,-0.8091151834465563,-0.7066150814294815,-0.10274916598573328,2.08656929731369,-1.6913334937766193,-1.4654907963202106,-0.22143456903034572,-3.2291647136211394,-0.8093642474152147
R_1216,5,1,-3.0456309407949447,-2.529836082458496,-0.468754343688488,1.5929254293441772,-4.60532238483429,-3.859965040937463,-0.7036577421720285,-1.6854255944490433,-1.28396874666214,-0.3304569274187088,1.5814304947853088,-2.6915606260299683,-2.0141848402786735,-0.5959113338601671,-2.998590426146984,-1.6144256740808487
R_1216,6,1,-3.3022452116012575,-2.754578912258148,-0.5416374802589417,1.3328181266784669,-4.508345437049866,-3.791814939849272,-0.7811446851313963,nan,nan,nan,nan,nan,nan,nan,-3.2962163925170898,nan
R_1216,7,1,-3.2944094732403757,-2.854503130912781,-0.45651455521583556,1.5270154356956482,-5.119191074371338,-4.435110949520437,-0.6450626203052273,-1.4246555659919977,-1.4494332075119019,-0.21087661385536194,2.0773420333862305,-2.9594969749450684,-3.0109685265503003,-0.565407511104965,-3.3110176861286162,-1.6603098213672638
R_1216,8,1,-3.111622396111488,-2.6173144578933716,-0.48949067294597626,1.53186354637146,-4.738829278945923,-4.03899376224484,-0.7252820469710943,-0.27188459504395723,-0.1770495343953371,-0.2840716578066349,1.8162150382995605,-0.6138591961935163,-0.37250796568953426,-0.5121318225886973,-3.106805130839348,-0.461121192201972
R_1216,9,1,-3.2164771176874636,-2.6993837118148805,-0.5464000105857849,1.4577106833457947,-4.592251992225647,-3.778448146260928,-0.7193732058318734,nan,nan,nan,nan,nan,nan,nan,-3.2457837224006654,nan
LR_1216,0,1,-2.1202322714962065,-1.7007258713245392,-0.3319237232208252,1.7775339961051941,-3.538385784626007,-2.8589981431498392,-0.5724556731132007,-1.5728595618158578,-1.2488714694976806,-0.26939579024910926,1.8894789278507234,-2.8040817022323608,-2.2325863265745474,-0.4723291061759272,-2.032649594545364,-1.5182672597467899
LR_1216,1,1,-2.2293035860639066,-1.8265415608882904,-0.32908261716365816,1.7918778300285338,-3.881097412109375,-3.140135467271216,-0.652641137637452,-1.4530528131872416,-1.1981457948684693,-0.21935859099030494,1.946510648727417,-2.6074733257293703,-2.1508349716491786,-0.38742775194649565,-2.1556241780519487,-1.4175043858587741
LR_1216,2,1,-2.2751259529963135,-1.9158427178859712,-0.3404679849743843,1.6992310523986816,-3.7648239493370057,-3.136459974181517,-0.6056371824268423,-1.4984131710603834,-1.291116088628769,-0.19249618873000146,1.8041568219661712,-2.5450332045555113,-2.223165358037994,-0.3227142565315443,-2.2563107028603553,-1.4836122773587703
LR_1216,3,1,-2.220858763158321,-1.8585808455944062,-0.3151336506009102,1.7261384546756744,-3.7091985940933228,-3.1147851774324264,-0.5501517194832639,-1.5408748619258403,-1.3122729122638703,-0.20311163142323493,1.8377142071723938,-2.7531681418418885,-2.2926592645992687,-0.3573721757596712,-2.1737144961953163,-1.5153845436871052
LR_1216,4,1,-2.2071415051352234,-1.8512979686260223,-0.2865744650363922,1.799647569656372,-3.8654531121253966,-3.2163856572251843,-0.5334786838910499,-1.51842993311584,-1.319555151462555,-0.16703664660453796,1.8647917807102203,-2.7717318296432496,-2.3726330983490387,-0.32694891844972596,-2.1378724336624146,-1.4865917980670929
LR_1216,5,1,-2.229409427382052,-1.8353430569171905,-0.3749572515487671,1.7285175383090974,-3.7126957297325136,-3.001484215821429,-0.6552642900861463,-1.5284737575799228,-1.1528275907039642,-0.288933140039444,1.8314015924930573,-2.638506031036377,-2.030032946072434,-0.5338657983680056,-2.2103003084659574,-1.4417607307434082
LR_1216,6,1,-2.1775030666962265,-1.7190611362457275,-0.3808168485760689,1.739760971069336,-3.6201979756355285,-2.9228557291265744,-0.6425483019619804,-1.5020964367315173,-1.1585574984550475,-0.3276351563632488,1.7670523524284363,-2.6171085357666017,-2.063083039695779,-0.5741889648398237,-2.0998779848217963,-1.4861926548182964
LR_1216,7,1,-2.164463202655315,-1.7848837673664093,-0.32383118718862536,1.8011406421661378,-3.6570196390151977,-3.1017781959479587,-0.6051670392556723,-1.5392330082133412,-1.2773969531059266,-0.2523907147347927,1.9689823806285858,-2.855802047252655,-2.3777290463085903,-0.48443442302633766,-2.1087149545550345,-1.5297876678407194
LR_1216,8,1,-2.20889599584043,-1.817341583967209,-0.3659549966454506,1.8118021488189697,-3.8599325299263,-3.1740981673433053,-0.700913203178765,-1.5096328917890787,-1.2655953407287597,-0.2233825795352459,1.8912364363670349,-2.796656060218811,-2.3243762744362506,-0.4419996601288979,-2.1832965806126596,-1.4889779202640057
LR_1216,9,1,-2.226065593957901,-1.8414564311504364,-0.33529449701309205,1.762637186050415,-3.767672431468964,-3.1198472892985776,-0.62084982243545,-1.5399561911821364,-1.2475285589694978,-0.24560756534337996,1.8903760671615601,-2.84263436794281,-2.2931807823779806,-0.45990705064618326,-2.1767509281635284,-1.4931361243128778
RW_1216,0,1,-3.3220994999166416,-3.3219223856925963,-7.419130712343556e-13,1.6334429383277893,-5.263069796562195,-5.262144835076725,-1.107658128494984e-12,nan,nan,nan,nan,nan,nan,nan,-3.3219223856933384,nan
RW_1216,1,1,-3.2013281078155957,-3.1998819708824158,-4.52102467268789e-10,1.7686123847961426,-5.460598301887512,-5.451314590322925,-6.966588953350537e-10,nan,nan,nan,nan,nan,nan,nan,-3.199881971334518,nan
RW_1216,2,1,-3.1678578495210705,-3.1663355112075804,-4.099707955063092e-10,1.5010575652122498,-4.74555459022522,-4.747711648072955,-6.20381008192699e-10,-1.8289679130539298,-1.7566863894462585,-0.05172616941854358,2.4291695952415466,-3.54359370470047,-3.4218955718871626,-0.1273425085348503,-3.166335511617551,-1.8084125588648021
RW_1216,3,1,-3.3387220207202013,-3.3385759711265566,-6.484551687280237e-10,1.505606573820114,-4.900926804542541,-4.902381036461994,-1.1565607881198735e-09,nan,nan,nan,nan,nan,nan,nan,-3.3385759717750116,nan
RW_1216,4,1,-3.1111672069157055,-3.1103413105010986,-3.425478206642296e-09,1.8622843027114868,-5.663696527481079,-5.657558983504536,-5.428609594111635e-09,nan,nan,nan,nan,nan,nan,nan,-3.1103413139265768,nan
RW_1216,5,1,-2.987047322202705,-2.9864103317260744,-3.4098529416715093e-10,1.5662163555622102,-4.873026895523071,-4.856263503154781,-5.520242540807195e-10,-1.6210876238765195,-1.5747286677360535,-0.048500074190087616,2.3281574845314026,-3.825568377971649,-3.6699381418125014,-0.12488790301502012,-2.98641033206706,-1.623228741926141
RW_1216,6,1,-3.2380194917147462,-3.2374261617660522,-1.3690923589271265e-09,1.4295171618461608,-4.445898509025573,-4.430482713883275,-1.7319856936724197e-09,nan,nan,nan,nan,nan,nan,nan,-3.2374261631351446,nan
RW_1216,7,1,-3.181452297717099,-3.180039942264557,-1.0781121884129164e-09,1.725358134508133,-4.928468108177185,-4.925655506198936,-1.7504670607997606e-09,-1.9212421774864197,-1.8449785709381104,-0.02646353840827942,2.9772660732269287,-5.7200493812561035,-5.492992105084738,-0.08267213376191762,-3.180039943342669,-1.8714421093463898
RW_1216,8,1,-3.013657955609373,-3.010584127902985,-1.8189260719836397e-08,1.572647935152054,-4.925130391120911,-4.918942454670561,-2.7399319442118725e-08,-1.5355356744091426,-1.5586681280817305,0.018198467059327022,2.2105574948447093,-3.3638180664607455,-3.4308873330791516,0.04265359320024003,-3.0105841460922456,-1.5404696610224036
RW_1216,9,1,-3.062713303355163,-3.061094892024994,-1.223883936904424e-11,1.628230094909668,-4.8478715181350704,-4.839171127661497,-1.1258492122650555e-11,-0.3557722554542124,-0.4184641148895025,0.0585222658701241,2.4104135632514954,-0.9219457600265741,-1.0824262983913853,0.1448538319952153,-3.0610948920372327,-0.3599418490193784
