arm,is_control,phantom_type,activation,wd_w,target_dose,onset_state,type_verdict,type_state_triple,co_satisfied_labels,surrogate_constant,surrogate_form,saturation_guard_triggered,source,status,NUMERIC_DIVERGENCE,n_onset_1m,cp95_1m_lo,cp95_1m_hi,U_1m_seed_values,median_log10_U_1m,n_onset_5m,cp95_5m_lo,cp95_5m_hi,U_5m_seed_values,median_log10_U_5m,median_strict_dead_frac_5m,median_submerged_frac_5m,median_w_norm_5m,median_eval_loss_exact_5m
BLR_1216,0,BLR,bwd_reflect,0.0,12.16,diverged,PHANTOM_DIVERGES,diverged|diverged|present,PHANTOM_DIVERGES,0.1,-a,0,this run,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
BLQ_1216,0,BLQ,bwd_quad,0.0,12.16,diverged,PHANTOM_DIVERGES,diverged|diverged|present,PHANTOM_DIVERGES,0.01,a_Q*z,0,this run,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
BLP_1216,0,BLP,bwd_leaky_proj,0.0,12.16,diverged,PHANTOM_DIVERGES,diverged|diverged|present,PHANTOM_DIVERGES,0.1,"+a, mu-projected",0,this run,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
BLRw_1216,0,BLR,bwd_reflect,0.0001,12.16,diverged,PHANTOM_DIVERGES,diverged|diverged|present,PHANTOM_DIVERGES,0.1,-a,0,this run,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
BLQw_1216,0,BLQ,bwd_quad,0.0001,12.16,diverged,PHANTOM_DIVERGES,diverged|diverged|present,PHANTOM_DIVERGES,0.01,a_Q*z,0,this run,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
BLPw_1216,0,BLP,bwd_leaky_proj,0.0001,12.16,diverged,PHANTOM_DIVERGES,diverged|diverged|present,PHANTOM_DIVERGES,0.1,"+a, mu-projected",0,this run,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
RWw_1216,0,,relu,0.0001,12.16,present,,,,,,0,this run,COMPLETE,0,10,0.6915028921812392,1.0,"[0.3320940678080463, 0.37665017348554797, 0.45711144170464546, 0.36678500300388944, 0.47262712259601225, 0.3646346090998595, 0.2651646683951265, 0.3029054365484061, 0.49805215249579915, 0.33142110261447144]",-0.43686527141884135,10,0.6915028921812392,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.47049718343671365, 1.0, 1.0, 1.0]",0.0,1.0,1.0,0.025703837481426225,1.397047179099356
R_1216,1,,relu,0.0,12.16,present,,,,,,0,COMMITTED results/gate_dose_0830,COMMITTED_OTHER_RUN,0,10,,,"[0.22008817205469797, 0.1553162042192267, 0.16558869134419346, 0.326407317592699, 0.3986922998381343, 0.2618935638191647, 0.150005670193653, 0.2079232060873296, 0.2635425968032131, 0.22852036903437875]",-0.6492391899413728,10,,,"[0.49785829368919127, 0.5669833542872723, 0.9638110689756122, 0.999884664334106, 0.4006331885271228, 0.6785477511014105, 0.36832435436972844, 0.6728659568821506, 0.39763733408382784, 0.3909596477422529]",-0.2746619723906341,,,,
LR_1216,1,,leaky_relu,0.0,12.16,zero,,,,,,0,COMMITTED results/gate_dose_0830,COMMITTED_OTHER_RUN,0,0,,,"[0.012032930536320178, 0.004290790058555907, 0.010682835518073402, 0.0005018424923207941, 0.007906691614363028, 0.007027791045677846, 0.005460915806337776, 0.0005676650513143089, 0.004534270783074649, 0.00783057819247634]",-2.207957839412672,0,,,"[0.0006292188849146179, 0.0024370768076876874, 0.0037971040163324943, 0.010710332972067875, 0.002034373848895862, 0.000727015920609707, 0.0002555180150803024, 0.011259625245095254, 0.000860378424169195, 0.006496837656442743]",-2.652350009361937,,,,
RW_1216,1,,relu,0.0,12.16,present,,,,,,0,COMMITTED results/bwd_leak_0902,COMMITTED_OTHER_RUN,0,10,,,"[0.25836007240291764, 0.07669944686377227, 0.32552049827626833, 0.15427534862462006, 0.45257575631433006, 0.16350928303918977, 0.19588369169381797, 0.14472799881231774, 0.22330228039670025, 0.34520507185153304]",-0.6795542807665578,10,,,"[0.9820838012501912, 0.9873757030720036, 0.9122482859394692, 0.6061905751115951, 0.9814545483139746, 0.7118808344399131, 0.47025340667057003, 0.6864558575676866, 0.48278415510770795, 0.33093787956026105]",-0.1554900419663283,,,,
