arm,seed,is_control,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32
RWw_1216,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,2,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,3,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,4,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,5,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,6,0,990,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,1,0,1,0
RWw_1216,7,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,8,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWw_1216,9,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_1216,0,1,985,4,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1
R_1216,1,1,989,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
R_1216,2,1,997,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_1216,3,1,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_1216,4,1,974,4,3,0,2,0,1,1,1,0,1,0,0,1,0,1,3,1,0,2,0,0,1,2,0,0,0,0,1,0,1,0,0
R_1216,5,1,983,8,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R_1216,6,1,982,2,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,4,0,0,0
R_1216,7,1,988,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0
R_1216,8,1,975,4,1,0,1,0,0,0,0,0,1,0,1,0,2,1,5,1,2,1,2,0,0,0,0,0,0,1,0,0,1,0,1
R_1216,9,1,986,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,1,1
LR_1216,0,1,533,207,86,30,42,32,23,11,7,7,4,3,2,3,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LR_1216,1,1,643,150,51,24,27,17,24,13,6,4,12,2,5,1,6,3,4,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
LR_1216,2,1,698,129,45,31,18,15,13,3,7,8,4,2,3,3,3,2,2,3,3,3,0,3,1,0,1,0,0,0,0,0,0,0,0
LR_1216,3,1,658,167,45,31,22,12,13,12,10,4,5,2,2,2,4,3,0,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0
LR_1216,4,1,642,178,47,30,19,14,15,5,5,6,5,2,6,6,2,1,7,3,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0
LR_1216,5,1,641,174,31,29,21,12,17,5,11,8,16,6,4,4,2,7,8,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
LR_1216,6,1,605,164,78,31,26,26,18,9,6,7,7,6,7,2,1,1,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
LR_1216,7,1,600,194,71,19,19,19,25,12,6,7,5,4,3,2,2,1,0,3,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0
LR_1216,8,1,622,184,47,23,25,23,15,9,12,9,6,6,4,3,3,1,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
LR_1216,9,1,670,160,47,22,19,19,15,10,9,11,4,2,4,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RW_1216,0,1,993,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RW_1216,1,1,996,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RW_1216,2,1,979,16,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RW_1216,3,1,986,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0
RW_1216,4,1,994,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RW_1216,5,1,979,10,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
RW_1216,6,1,989,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,1,0,1,0
RW_1216,7,1,984,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0
RW_1216,8,1,974,12,1,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0
RW_1216,9,1,976,2,0,2,0,0,0,0,0,0,2,0,1,1,2,0,5,0,2,0,0,0,2,1,1,0,0,0,1,0,0,2,0
