condition,seed,update,valid,residual_ratio,mean_residual_ratio,loss,initial_loss,teacher_variance,net_force_ratio,negative_force_rms_ratio,force_rms_ratio,down_fraction,force_mean,self_mean,rest_mean
all,0,0,True,1.0,0.11631113827815485,0.07271201946002304,0.07271201946002304,0.58984375,-0.008598687635000973,0.7111343603034287,1.0,0.5151515151515151,-0.0008507063609502851,11.561579811494939,-11.56243051785589
all,1,0,True,1.0,0.7135214523612853,0.10773857890948528,0.10773857890948528,1.2177734375,0.049670948319611365,0.6841286277500022,1.0,0.4827586206896552,0.04021640294836967,14.545523538469828,-14.50530713552146
all,2,0,True,1.0,0.24167335359831554,0.03663295241356424,0.03663295241356424,0.7724609375,-0.02610064043883805,0.7234242091136859,1.0,0.5,-0.0039301796782856575,12.721918379657783,-12.725848559336066
all,3,0,True,0.9999999999999998,0.6537107252579749,0.19795079217108189,0.19795079217108197,1.2880859375,-0.05359964872605393,0.7356542316485124,0.9999999999999998,0.5,-0.055827704887191104,15.430661019998649,-15.48648872488584
all,4,0,True,0.9999999999999999,0.42138631042300057,0.012800999301420852,0.012800999301420856,1.3583984375,-0.04308732573249651,0.7213623281373667,1.0,0.5416666666666666,-0.007144922006425534,14.762776076340478,-14.769920998346903
all,5,0,True,1.0,0.19080506333206354,0.12426224732878074,0.12426224732878074,1.62109375,0.11587840724732484,0.6024762470351785,1.0,0.5172413793103449,0.02714072989554595,13.133035771016015,-13.105895041120469
all,6,0,True,1.0000000000000002,0.867351247262129,0.5390273875758406,0.5390273875758403,0.80859375,0.04949484882556855,0.6966373525261513,1.0,0.4722222222222222,0.10453385462124443,13.125784158501538,-13.021250303880297
all,7,0,True,1.0,0.011341394663068141,0.041732578944427695,0.0417325789444277,1.77734375,0.09522258581205353,0.6630594352263509,1.0,0.4594594594594595,0.0008456625188276757,11.440848231665495,-11.440002569146671
all,8,0,True,1.0,0.6573624310969985,0.1357307343820192,0.1357307343820192,1.2255859375,0.04821424269163856,0.6749686609370092,1.0,0.4782608695652174,0.037324794358146826,12.320009105063168,-12.282684310705019
all,9,0,True,0.9999999999999999,0.08671417803716673,0.056315911307106704,0.05631591130710671,0.65234375,0.026125207515178307,0.6811146089108169,0.9999999999999998,0.5,0.0016762962930852604,11.810777522807996,-11.809101226514912
K,0,0,True,1.0,0.11631113827815485,0.07271201946002304,0.07271201946002304,0.58984375,-0.008598687635000973,0.7111343603034287,1.0,0.5151515151515151,-0.0008507063609502851,11.561579811494939,-11.56243051785589
K,1,0,True,1.0,0.7135214523612853,0.10773857890948528,0.10773857890948528,1.2177734375,0.049670948319611365,0.6841286277500022,1.0,0.4827586206896552,0.04021640294836967,14.545523538469828,-14.50530713552146
K,2,0,True,1.0,0.24167335359831554,0.03663295241356424,0.03663295241356424,0.7724609375,-0.02610064043883805,0.7234242091136859,1.0,0.5,-0.0039301796782856575,12.721918379657783,-12.725848559336066
K,3,0,True,0.9999999999999998,0.6537107252579749,0.19795079217108189,0.19795079217108197,1.2880859375,-0.05359964872605393,0.7356542316485124,0.9999999999999998,0.5,-0.055827704887191104,15.430661019998649,-15.48648872488584
K,4,0,True,0.9999999999999999,0.42138631042300057,0.012800999301420852,0.012800999301420856,1.3583984375,-0.04308732573249651,0.7213623281373667,1.0,0.5416666666666666,-0.007144922006425534,14.762776076340478,-14.769920998346903
K,5,0,True,1.0,0.19080506333206354,0.12426224732878074,0.12426224732878074,1.62109375,0.11587840724732484,0.6024762470351785,1.0,0.5172413793103449,0.02714072989554595,13.133035771016015,-13.105895041120469
