seed,A1,A2_6,A31_50,A11_20,A41_50,G,D,P,slope,wn1_t1,wn1_t50,mob1_t1,mob1_t50,dead1_t1,dead1_t50,arm
0,0.9498229167,0.9462416666800001,0.94110791667,0.945464375,0.93854291667,0.00871500002999992,0.005133750010000049,0.006921458330000019,-0.0014947467132270542,1.227079153,1.099059463,0.4033333361,0.2649999857,0.2599999905,0.3199999928,R_l2 (0913 CPU)
1,0.94850625,0.94720166668,0.94178427084,0.9428785416600001,0.9425597916699999,0.006721979159999947,0.0054173958400000055,0.0003187499900001445,-0.000269049011913753,1.347806931,1.178928614,0.4166666567,0.200000003,0.2599999905,0.349999994,R_l2 (0913 CPU)
2,0.9515729167,0.9489320833600001,0.9398379166699998,0.9367960416800001,0.9401527083300001,0.011735000030000164,0.009094166690000294,-0.0033566666500000064,0.0004189532490619713,1.377923608,1.2191118,0.364166677,0.2083333284,0.2599999905,0.3300000131,R_l2 (0913 CPU)
3,0.9498916667,0.9472633333399999,0.9384234374950001,0.94235687501,0.9383683333299999,0.011468229204999902,0.008839895844999779,0.003988541680000068,-0.0014886335255159735,1.185881615,1.300062656,0.4341666698,0.113333337,0.25,0.3100000024,R_l2 (0913 CPU)
4,0.9486041667,0.9449624999999999,0.9407423958400001,0.9408554166599998,0.94315083334,0.00786177085999995,0.004220104159999849,-0.0022954166800002174,1.3205523170685872e-05,1.205569029,1.169347405,0.3925000131,0.2408333272,0.25,0.2599999905,R_l2 (0913 CPU)
5,0.949425,0.95002666668,0.9441563541650002,0.9383145833300001,0.9455283333200001,0.005268645834999752,0.005870312514999809,-0.007213749990000018,0.0024028885222326375,1.29630053,1.156645656,0.4008333385,0.2800000012,0.2800000012,0.2300000042,R_l2 (0913 CPU)
6,0.9491666667,0.94343416666,0.9407403124999998,0.9399218750000001,0.9398633333400002,0.008426354200000263,0.002693854160000231,5.854165999996663e-05,0.00024712320497186687,1.283768535,1.342104554,0.2416666597,0.2275000066,0.3700000048,0.349999994,R_l2 (0913 CPU)
7,0.9497270833,0.9460329166600001,0.9433521875,0.938094375,0.9444987499900002,0.006374895799999947,0.0026807291600000616,-0.006404374990000128,0.0020640752025328454,1.146122575,1.208329797,0.3350000083,0.2641666532,0.3000000119,0.4099999964,R_l2 (0913 CPU)
8,0.95241875,0.9486854166800001,0.9379823958250002,0.9426231250099999,0.93800770832,0.014436354174999777,0.010703020854999856,0.004615416689999874,-0.001816402835365886,1.257112265,1.35532093,0.3966666758,0.2508333325,0.25,0.2700000107,R_l2 (0913 CPU)
9,0.9485729167,0.9441237500199999,0.9413951041649998,0.9365824999999999,0.94187812499,0.007177812535000161,0.0027286458550001003,-0.005295624990000136,0.0015260318930581825,1.206996441,1.040780187,0.4383333325,0.275000006,0.2700000107,0.3100000024,R_l2 (0913 CPU)
0,0.95415625,0.95923583334,0.9583948958299999,0.95864666667,0.9586870833300001,-0.0042386458299998875,0.0008409375100000283,-4.041666000009769e-05,2.9297606378893953e-05,1.49044311,1.324758172,0.2983333468,0.2791666687,0.1299999952,0.1000000015,R_l2init (0913 CPU)
1,0.9513520833,0.95876583332,0.9569201041650001,0.95879145833,0.9582314583399999,-0.005568020865000078,0.00184572915499992,0.0005599999900001151,-0.00015871638330209302,1.27693975,1.361318827,0.4050000012,0.3333333433,0.01999999955,0.05999999866,R_l2init (0913 CPU)
2,0.9530666667,0.95938083334,0.9572673958200001,0.9581041666600001,0.95719812499,-0.004200729120000135,0.002113437519999928,0.0009060416700000795,-0.0004229029887429942,1.265134692,1.305673242,0.4416666627,0.3033333421,0.03999999911,0.02999999933,R_l2init (0913 CPU)
3,0.9522354167,0.9604308333399999,0.9579850000100001,0.95933749999,0.95685437501,-0.005749583310000084,0.0024458333299998136,0.0024831249799999178,-0.0005439610621951218,1.477707744,1.343036652,0.3650000095,0.3083333373,0.07999999821,0.03999999911,R_l2init (0913 CPU)
4,0.9536083333,0.9593979166799999,0.958337187505,0.9560912500100001,0.95788020834,-0.0047288542049999105,0.001060729174999886,-0.0017889583299999234,0.0005800734828330524,1.447955847,1.389354825,0.323333323,0.3166666627,0.1400000006,0.01999999955,R_l2init (0913 CPU)
5,0.9539958333,0.95832708334,0.958024375005,0.95860854166,0.95867354168,-0.004028541704999999,0.0003027083350000126,-6.50000199999834e-05,1.6529867635978445e-05,1.283385277,1.333018541,0.421666652,0.2841666639,0.01999999955,0.05000000075,R_l2init (0913 CPU)
6,0.9522916667,0.95728416666,0.959279791665,0.95650229167,0.95881874999,-0.006988124965000009,-0.0019956250049999458,-0.0023164583200000477,0.0008356805005629245,1.468578935,1.285313606,0.3224999905,0.3308333457,0.1599999964,0.009999999776,R_l2init (0913 CPU)
