seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2
7,S2dyn_10r,1,0,0.006820455900779492,0.9396083333333334,0.005676236369709174,-0.06308141794004575,-47.45190234548201,-47.51498376342206
7,S2dyn_10r,1,750,0.0012228802738522007,0.9893166666666666,0.0006256550624966622,0.590831588021367,-62.7325623770232,-62.141730789001834
7,S2dyn_10r,1,1500,0.0033286872356322224,0.9753,0.0025434938127795854,1.3287712323807102,-61.49452170106371,-60.165750468683
7,S2dyn_10r,1,2250,0.005934622780250092,0.96595,0.005023718822995822,2.078665281534187,-60.99918854391326,-58.92052326237908
7,S2dyn_10r,1,3000,0.009189387782639754,0.9523916666666666,0.008165280925234159,3.322596835497441,-60.07680259196932,-56.754205756471876
7,S2dyn_10r,1,3750,0.014364888659113562,0.9367833333333333,0.013086075767874718,4.341485039979115,-59.46293358430626,-55.12144854432715
7,S2dyn_10r,1,4500,0.016393169575953888,0.9272,0.015190255646407604,4.651739012673307,-57.668197932859265,-53.016458920185954
7,S2dyn_10r,1,5250,0.021654521815868303,0.912325,0.020092047633727392,5.1033435790873405,-56.64698828599875,-51.54364470691141
7,S2dyn_10r,1,6000,0.02667597897527339,0.8968583333333333,0.024765030022958913,5.506488200183888,-55.80399950854508,-50.297511308361194
7,S2dyn_10r,2,0,0.02667597897527339,0.8968583333333333,0.024765030022958913,5.506488200183888,-55.80399950854508,-50.297511308361194
7,S2dyn_10r,2,750,0.0012339632826563,0.9917833333333334,0.0007684855088591576,-2.141320410832456,-68.62392999467751,-70.76525040550996
7,S2dyn_10r,2,1500,0.00227198387902269,0.9844333333333334,0.0017435152212778727,-1.5738311203185817,-67.9183334479024,-69.49216456822099
7,S2dyn_10r,2,2250,0.0033495695376908317,0.9805,0.002844675889611244,-0.9259520187891496,-67.0136347687689,-67.93958678755804
7,S2dyn_10r,2,3000,0.004795944619485286,0.9747416666666666,0.004180523377656936,-0.7891048276072445,-66.30564372822593,-67.09474855583318
7,S2dyn_10r,2,3750,0.006311992857818863,0.9694666666666667,0.005719789784650008,-0.28288746837522294,-66.10273610681469,-66.38562357518991
7,S2dyn_10r,2,4500,0.008609391417024805,0.958875,0.00784233932296435,0.4735748874805945,-64.17688137143726,-63.703306483956666
7,S2dyn_10r,2,5250,0.011073147011071476,0.9501416666666667,0.01033779975672563,0.1366652548397891,-62.649121759500105,-62.512456504660314
7,S2dyn_10r,2,6000,0.014468998970222278,0.9408416666666667,0.01350732211470604,0.7682614495004838,-62.44847330434499,-61.68021185484451
7,R2dyn_10,1,0,0.7548982149048891,0.0,0.6651510887756944,-47.51498375792702,47.45190234548201,-0.06308141244500831
7,R2dyn_10,1,750,0.03406959768482113,0.537325,0.022915284337103367,-61.35133315173051,43.32608182814668,-18.02525132358383
7,R2dyn_10,1,1500,0.07999614899923763,0.3498,0.06632515147527059,-57.831533121853724,44.0915387964281,-13.739994325425627
7,R2dyn_10,1,2250,0.13995848923682394,0.24575,0.12221694501837095,-55.949253490196114,45.0536706306758,-10.89558285952031
7,R2dyn_10,1,3000,0.1935460148993698,0.197825,0.17293056850184996,-54.97847857979792,45.72320991422782,-9.2552686655701
7,R2dyn_10,1,3750,0.23136941362907104,0.16768333333333332,0.2092118496209383,-54.312457285406516,46.114831907345476,-8.19762537806104
7,R2dyn_10,1,4500,0.24575555124872736,0.15710833333333332,0.22308791026175023,-54.15746352217553,46.383701331167046,-7.773762191008487
7,R2dyn_10,1,5250,0.20454222180464599,0.19535,0.18486265662908555,-55.04354350956801,46.03343375005548,-9.010109759512531
7,R2dyn_10,1,6000,0.22447497936712402,0.20423333333333332,0.20426362056434155,-54.92326424282335,46.02389090377837,-8.899373339044978
7,R2dyn_10,2,0,0.22447497936712402,0.20423333333333332,0.20426362056434155,-54.92326424282335,46.02389090377837,-8.899373339044978
7,R2dyn_10,2,750,0.010125292850407584,0.7488416666666666,0.0068376193801561996,-65.61220285140779,40.35679687786127,-25.255405973546516
7,R2dyn_10,2,1500,0.029202004151395854,0.6361583333333334,0.023833151636024317,-63.15520490840051,41.3994166507182,-21.755788257682312
7,R2dyn_10,2,2250,0.05560107645490023,0.540025,0.047967423962553345,-61.30308193151797,42.38608976740924,-18.916992164108734
7,R2dyn_10,2,3000,0.08819050851584635,0.48495,0.0786456272209684,-60.06841311020128,43.030358092982496,-17.03805501721878
7,R2dyn_10,2,3750,0.11723459038023132,0.4419666666666667,0.10615269135832786,-59.14941477529163,43.54250045309005,-15.606914322201582
7,R2dyn_10,2,4500,0.1364139951261102,0.4205583333333333,0.12447041927923759,-58.74499027821639,43.80618266711825,-14.938807611098142
7,R2dyn_10,2,5250,0.13380347765601738,0.4355,0.1228905317063133,-58.60943922748176,43.303949831572176,-15.305489395909582
7,R2dyn_10,2,6000,0.15259506983141363,0.4075416666666667,0.14052948716233174,-58.02623152145534,43.64105013201137,-14.385181389443964
7,S2ramp_r,1,0,0.05330036318473033,0.0017416666666666668,0.0005301582227150599,-0.06308141794004575,-10.0,-10.063081417940046
7,S2ramp_r,1,750,0.06274067075546996,0.081575,0.0005142074296871821,-2.3736181513631056,-11.25,-13.623618151363106
7,S2ramp_r,1,1500,0.03809524495194714,0.159775,0.030804554952681064,0.5892304891425515,-12.5,-11.910769510857449
7,S2ramp_r,1,2250,0.09000166541815861,0.24094166666666667,0.07946905593425035,2.1252266658301813,-13.75,-11.624773334169818
7,S2ramp_r,1,3000,0.12325767445226733,0.3012166666666667,0.11193243285467228,3.0766314545689286,-15.0,-11.923368545431071
7,S2ramp_r,1,3750,0.1462995822913946,0.3442,0.1349172364110748,3.8972082180298964,-16.25,-12.352791781970105
7,S2ramp_r,1,4500,0.1624896010293454,0.37448333333333333,0.15127770426819723,4.735828625401137,-17.5,-12.764171374598863
7,S2ramp_r,1,5250,0.164479333917912,0.4070166666666667,0.15408010040422282,5.273054726874483,-18.75,-13.476945273125516
7,S2ramp_r,1,6000,0.1672999912674374,0.4297416666666667,0.15746256844053666,5.996951177604486,-20.0,-14.003048822395513
7,S2ramp_r,2,0,0.1672999912674374,0.4297416666666667,0.15746256844053666,5.996951177604486,-20.0,-14.003048822395513
7,S2ramp_r,2,750,0.009275222084443275,0.8147083333333334,0.0073141448795795445,-3.0163579671138003,-21.25,-24.2663579671138
7,S2ramp_r,2,1500,0.01730628106395761,0.7899,0.014918188680708409,-1.991164494111028,-22.5,-24.49116449411103
7,S2ramp_r,2,2250,0.025989985177150076,0.780825,0.023182554645836354,-1.4300904869972961,-23.75,-25.180090486997297
7,S2ramp_r,2,3000,0.03674469597946494,0.7693333333333333,0.03324835440814495,-0.6055568183021776,-25.0,-25.605556818302176
7,S2ramp_r,2,3750,0.046484658774316685,0.7615666666666666,0.04258144944906235,0.16156655585378563,-26.25,-26.088433444146215
7,S2ramp_r,2,4500,0.05572773183253065,0.7545583333333333,0.051656236860652766,0.9021277351311874,-27.5,-26.597872264868812
7,S2ramp_r,2,5250,0.06197559955509295,0.752975,0.057956452910105385,1.5652930584866747,-28.75,-27.184706941513326
7,S2ramp_r,2,6000,0.07104078254942817,0.7511916666666667,0.06662426879256964,2.1688448217411795,-30.0,-27.831155178258822
7,S2dyn_5r,1,0,0.20429261305742855,0.08798333333333333,0.1787566424280405,-0.06308141794004575,-7.185415488169824,-7.248496906109869
7,S2dyn_5r,1,750,0.0644835706366928,0.41646666666666665,0.05388832997033993,1.9977014032335108,-17.05743200760248,-15.05973060436897
7,S2dyn_5r,1,1500,0.09555726794760336,0.368575,0.08300967246343692,2.3135775865753665,-16.078085787179383,-13.764508200604016
7,S2dyn_5r,1,2250,0.12964527970776957,0.33600833333333335,0.11644962582637866,2.2401742146579102,-14.977003956680031,-12.73682974202212
7,S2dyn_5r,1,3000,0.15488480649236055,0.31703333333333333,0.1410528814872106,2.158329198901596,-14.149717978474559,-11.991388779572963
7,S2dyn_5r,1,3750,0.17217606683366588,0.31274166666666664,0.1582825004522999,1.9187907284230725,-13.536820628960136,-11.618029900537064
7,S2dyn_5r,1,4500,0.1952742135529624,0.301975,0.18088160864611466,1.794675233120483,-12.814406803649323,-11.01973157052884
7,S2dyn_5r,1,5250,0.21109970438379766,0.29985,0.19664957044174275,1.5251219178485402,-12.226634865639731,-10.70151294779119
7,S2dyn_5r,1,6000,0.2160834059351211,0.3036083333333333,0.2020322760373354,1.310941075342851,-11.983186615538814,-10.672245540195963
7,S2dyn_5r,2,0,0.2160834059351211,0.3036083333333333,0.2020322760373354,1.310941075342851,-11.983186615538814,-10.672245540195963
7,S2dyn_5r,2,750,0.01132261519147851,0.8078,0.008835489410658677,-1.4385433170790114,-26.7654858224197,-28.20402913949871
7,S2dyn_5r,2,1500,0.023934366350282052,0.7460416666666667,0.02038171577701966,-1.0715544982641227,-25.20029466011434,-26.271849158378465
7,S2dyn_5r,2,2250,0.03772331813834005,0.709875,0.033154680851101875,-1.106542035483666,-24.065876947272567,-25.172418982756234
7,S2dyn_5r,2,3000,0.05068999151380607,0.6808083333333333,0.04561098531434933,-1.3781994783229912,-22.814954889355352,-24.193154367678343
7,S2dyn_5r,2,3750,0.06626012504967996,0.6520416666666666,0.06057995128333569,-2.150442570207788,-20.98068169834004,-23.131124268547826
7,S2dyn_5r,2,4500,0.08074653416443933,0.6291,0.07461437245359023,-2.7061455446047398,-19.672053542079713,-22.378199086684454
7,S2dyn_5r,2,5250,0.09421879740039873,0.6188,0.08764297490864992,-3.164358972982216,-18.898998068241248,-22.063357041223465
7,S2dyn_5r,2,6000,0.10484188880882803,0.60885,0.0980697282537818,-3.658563540674358,-18.136226703979922,-21.79479024465428
7,S2dyn_20r,1,0,0.00017602745681783466,0.9997666666666667,1.6710105538368224e-05,-0.06308141794004575,-107.91626296501558,-107.97934438295562
7,S2dyn_20r,1,750,0.00016356555201328286,0.999625,5.931154688199361e-05,1.3727483215400125,-108.39780812167625,-107.02505980013623
