k,M,ci_lo,ci_hi,n_pair,n_seed_contrib,boot_ok,ci_method
1,1.4544096095125936e-05,-6.178449979355484e-05,8.072114294873866e-05,163072,10,10000,studentized
2,2.2975014384330572e-05,-4.917081994949847e-05,0.00010096411560740085,163072,10,10000,studentized
5,4.303015645996064e-05,-2.5633971384617413e-05,0.00016360496322591147,163072,10,10000,studentized
10,5.957853301225064e-05,-6.078374947109221e-06,0.00021520812387400019,163072,10,10000,studentized
20,8.225571203432757e-05,2.2070786882627732e-05,0.00026947355051984347,163072,10,10000,studentized
40,9.861239708319324e-05,3.906182720649411e-05,0.00025054269124777666,163072,10,10000,studentized
