population,k,band,band_left,band_right,band_center,n_pair,n_seed,seed_ids,guard_main,H,F0,D,F_path,T1,T2
A,1,1,0.1,0.2,0.15000000000000002,80087,10,"10,11,12,13,14,15,16,17,18,19",True,-2.2551260810491163e-05,-2.0818896307722517e-05,-4.337015711821368e-05,-2.0818896307722517e-05,0.0,-2.2551260810491163e-05
A,1,2,0.2,0.30000000000000004,0.25,39741,10,"10,11,12,13,14,15,16,17,18,19",True,0.00010301401888724191,-4.3897713994486205e-05,5.911630489275567e-05,-4.3897713994486205e-05,0.0,0.00010301401888724191
A,1,3,0.30000000000000004,0.4,0.35000000000000003,18550,10,"10,11,12,13,14,15,16,17,18,19",True,9.800796316171179e-06,-0.00020847780469868273,-0.00019867700838251153,-0.00020847780469868273,0.0,9.800796316171179e-06
A,1,4,0.4,0.5,0.45,12311,10,"10,11,12,13,14,15,16,17,18,19",True,0.00030713181217454874,-0.0005687404272760982,-0.00026160861510154937,-0.0005687404272760982,0.0,0.00030713181217454874
A,1,5,0.5,0.6000000000000001,0.55,6266,10,"10,11,12,13,14,15,16,17,18,19",True,-0.00012198059633165086,-0.0006933828605674783,-0.0008153634568991289,-0.0006933828605674783,0.0,-0.00012198059633165086
A,1,6,0.6000000000000001,0.7000000000000001,0.65,3346,10,"10,11,12,13,14,15,16,17,18,19",True,-0.0009271038391568282,0.00022506027559456723,-0.0007020435635622607,0.00022506027559456723,0.0,-0.0009271038391568282
A,1,7,0.7000000000000001,0.8,0.75,1663,10,"10,11,12,13,14,15,16,17,18,19",True,0.00034193418502605487,-0.0015119286799073458,-0.0011699944948812908,-0.0015119286799073458,0.0,0.00034193418502605487
A,1,8,0.8,0.9,0.8500000000000001,1108,10,"10,11,12,13,14,15,16,17,18,19",True,-0.0024255980485238544,-0.003226335732929661,-0.005651933781453515,-0.003226335732929661,0.0,-0.0024255980485238544
A,2,1,0.1,0.2,0.15000000000000002,80087,10,"10,11,12,13,14,15,16,17,18,19",True,-1.556036692528459e-05,-2.0818896307722517e-05,-3.6379263233007107e-05,-1.9987625464670437e-05,8.312708430520797e-07,-1.639163776833667e-05
A,2,2,0.2,0.30000000000000004,0.25,39741,10,"10,11,12,13,14,15,16,17,18,19",True,9.351558743237388e-05,-4.3897713994486205e-05,4.961787343788766e-05,-5.81591482667565e-05,-1.426143427227029e-05,0.00010777702170464417
A,2,3,0.30000000000000004,0.4,0.35000000000000003,18550,10,"10,11,12,13,14,15,16,17,18,19",True,4.5545803880176386e-05,-0.00020847780469868273,-0.00016293200081850636,-0.00017768575223985392,3.079205245882879e-05,1.4753751421347578e-05
A,2,4,0.4,0.5,0.45,12311,10,"10,11,12,13,14,15,16,17,18,19",True,0.0002726327925018744,-0.0005687404272760982,-0.0002961076347742238,-0.000540835977560727,2.790444971537097e-05,0.0002447283427865034
A,2,5,0.5,0.6000000000000001,0.55,6266,10,"10,11,12,13,14,15,16,17,18,19",True,-4.2224159482649506e-05,-0.0006933828605674783,-0.0007356070200501278,-0.0005745891129271078,0.00011879374764037047,-0.00016101790712301994
