step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
0,A_w5_T10000_std_lr0.01_s0,0.4,0,0.2,1.84121,1.55535,0.223209,0.46,0,115.303,65.2363,1.76746,4.73645,0.356371,2.80606,1.94029,0.4,8.19916,0,0,0,0,1.33963,-0.583495,-4.84176,0,0.4305,0,nan,0.2,nan
0,A_w5_T10000_std_lr0.01_s1,0.2,0,0.2,2.35904,2.30315,0.135152,0.5,0,38.6038,103.836,0.371775,4.92291,0.309387,3.2322,3.14521,0.2,3.17167,0,0,0,0,2.75428,0.0804651,-2.90204,0,0.6544,0,nan,0.2,nan
0,A_w5_T10000_std_lr0.01_s2,0.6,0,0.6,1.96811,1.88248,0.198467,0.5,0,0.698533,4.11281,0.169843,4.76964,0.335994,2.97624,1.57733,0.6,0.912821,0,0,0,0,0.489839,0.369952,-3.35804,0,0.2893,0,nan,0.6,nan
0,A_w5_T10000_std_lr0.01_s3,0.2,0.1,0,1.94399,2.61027,0.161373,0.45,0,59.3441,80.0701,0.741152,4.90449,0.343714,2.90939,2.86052,0.2,4.97714,0,0,0,0,2.02953,-0.863601,-1.84388,0.0315,0.6039,0,nan,0,nan
0,A_w5_T10000_std_lr0.01_s4,0.2,0,0.2,3.32303,1.7798,0.176737,0.52,0,6.25381,22.324,0.280138,4.86496,0.375398,2.66384,2.7128,0.2,4.01615,0,0,0,0,0.294462,-0.251261,-3.44029,0,0.4473,0,nan,0.2,nan
1000,A_w5_T10000_std_lr0.01_s0,0.6,0.1,0.4,1.39897,1.07667,0.237722,0.45,0,24.2406,63.2884,0.383018,4.53267,0.511741,1.95411,1.26706,0.6,1.54029,0,0,0,0,2.22877,1.69216,-4.84176,0,0.395,0,1,0.4,1
1000,A_w5_T10000_std_lr0.01_s1,0.4,0,0.4,2.11132,1.22799,0.195978,0.48,0,0.287712,26.7077,0.0107727,4.69936,0.511543,1.95487,1.53028,0.4,0.640268,0,0,0,0,0.668476,0.127662,-2.90204,0,0.413,0,1,0.4,1
1000,A_w5_T10000_std_lr0.01_s2,0.6,0,0.6,1.56486,1.37504,0.212479,0.52,0,1.72778,14.1986,0.121687,4.68491,0.418769,2.38795,1.36728,0.6,0.307453,0,0,0,0,0.923571,0.00544379,-3.35804,0,0.289,0,1,0.6,1
1000,A_w5_T10000_std_lr0.01_s3,0.4,0,0.4,2.53789,1.3837,0.228049,0.45,0,1.11852,105.576,0.0105944,4.67553,0.518647,1.92809,1.47066,0.4,1.46625,0,0,0,0,1.22511,0.589436,-2.50604,0,0.5067,0,1,0.4,nan
1000,A_w5_T10000_std_lr0.01_s4,0.2,0,0.2,2.67267,1.1937,0.216729,0.54,0,0.22015,23.8238,0.00924075,4.71837,0.480108,2.08286,1.79445,0.2,0.737536,0,0,0,0,0.501788,-0.647999,-3.44029,0,0.4876,0,1,0.2,1
2000,A_w5_T10000_std_lr0.01_s0,0.6,0.1,0.6,1.38548,1.10249,0.234959,0.46,0,0.171365,28.4169,0.00603039,4.45944,0.538871,1.85573,1.24062,0.6,1.03088,0,0,0,0,1.63537,1.536,-4.84176,0,0.3717,0,1,0.6,1
2000,A_w5_T10000_std_lr0.01_s1,0.4,0,0.4,2.15444,1.34212,0.214469,0.45,0,1.09204,28.4683,0.0383597,4.63347,0.539529,1.85347,1.51871,0.4,0.604249,0,0,0,0,0.658326,-0.236286,-2.90204,0,0.4056,0,1,0.4,1
2000,A_w5_T10000_std_lr0.01_s2,0.6,0,0.6,1.63083,1.52116,0.205704,0.52,0,0.702273,13.1606,0.0533617,4.67753,0.418459,2.38972,1.43829,0.6,0.270405,0,0,0,0,0.974901,0.150908,-3.35804,0,0.296,0,1,0.6,1
2000,A_w5_T10000_std_lr0.01_s3,0.4,0,0.4,2.79889,2.00468,0.21128,0.43,0,0.74006,42.7656,0.017305,4.55434,0.566082,1.76653,1.46169,0.4,1.0008,0,0,0,0,0.281292,-0.277151,-2.50604,0,0.3612,0,1,0.4,1
2000,A_w5_T10000_std_lr0.01_s4,0.2,0.1,0.2,2.33613,1.04656,0.300171,0.54,0,1.85552,27.7059,0.0669719,4.6141,0.541066,1.8482,1.64292,0.2,0.714033,0,0,0,0,0.075217,-1.15424,-3.44029,0,0.3982,0,1,0.2,1
3000,A_w5_T10000_std_lr0.01_s0,0.6,0.1,0.6,1.38899,1.09613,0.237235,0.46,0,4.69684,30.1704,0.155677,4.43795,0.553926,1.80529,1.2269,0.6,1.21898,0,0,0,0,1.56912,1.38636,-4.84176,0,0.3656,0,1,0.6,1
3000,A_w5_T10000_std_lr0.01_s1,0.4,0,0.4,2.20312,1.36862,0.229039,0.49,0,3.85958,30.8275,0.125199,4.62107,0.522728,1.91304,1.63287,0.4,0.483012,0,0,0,0,0.290273,-0.476973,-2.90204,0,0.3348,0,1,0.4,1
3000,A_w5_T10000_std_lr0.01_s2,0.6,0,0.6,1.56687,1.41628,0.201201,0.52,0,0.639284,9.50479,0.0672591,4.66937,0.42355,2.361,1.49725,0.6,0.272468,0,0,0,0,0.857812,-0.156053,-3.35804,0,0.2611,0,1,0.6,1
3000,A_w5_T10000_std_lr0.01_s3,0.4,0,0.4,2.8355,2.1541,0.20004,0.45,0,0.175795,25.2277,0.00696832,4.4651,0.609368,1.64104,1.39505,0.4,0.958694,0,0,0,0,0.129489,-0.477322,-2.50604,0,0.2892,0,1,0.4,1
3000,A_w5_T10000_std_lr0.01_s4,0.2,0.1,0.2,2.28879,1.09774,0.310808,0.54,0,6.05434,22.5263,0.268768,4.58493,0.527966,1.89406,1.71103,0.2,0.752315,0,0,0,0,-0.0928817,-1.12976,-3.44029,0,0.3541,0,1,0.2,1
4000,A_w5_T10000_std_lr0.01_s0,0.6,0,0.6,1.43769,1.12608,0.23738,0.46,0,1.91739,20.598,0.0930865,4.43684,0.551192,1.81425,1.23825,0.6,1.15653,0,0,0,0,1.58778,1.20897,-4.84176,0,0.3689,0,1,0.6,1
4000,A_w5_T10000_std_lr0.01_s1,0.4,0,0.4,2.02728,1.28483,0.242712,0.48,0,2.40905,29.7257,0.0810425,4.57803,0.531668,1.88087,1.64459,0.4,0.41857,0,0,0,0,0.0426872,-0.771604,-2.90204,0,0.2894,0,1,0.4,1
4000,A_w5_T10000_std_lr0.01_s2,0.6,0,0.6,1.57677,1.51813,0.195491,0.52,0,0.43329,10.2418,0.0423059,4.6568,0.422449,2.36715,1.53142,0.6,0.257886,0,0,0,0,1.05268,-0.0074007,-3.35804,0,0.2842,0,1,0.6,1
4000,A_w5_T10000_std_lr0.01_s3,0.4,0,0.4,2.8477,2.41661,0.197835,0.44,0,1.35218,29.8272,0.0453337,4.38275,0.645073,1.55021,1.34278,0.4,1.0272,0,0,0,0,0.157883,-0.571591,-2.50604,0,0.3081,0,1,0.4,1
4000,A_w5_T10000_std_lr0.01_s4,0.2,0.1,0.2,2.47393,1.22856,0.287291,0.54,0,0.246362,11.0941,0.0222066,4.55896,0.497465,2.01019,1.83994,0.2,0.475709,0,0,0,0,-0.210412,-1.13995,-3.44029,0,0.304,0,1,0.2,1
5000,A_w5_T10000_std_lr0.01_s0,0.6,0.1,0.6,1.40919,1.12697,0.236626,0.47,0,0.951203,20.4023,0.0466224,4.41822,0.56066,1.78361,1.22943,0.6,1.13412,0,0,0,0,1.77651,1.55245,-4.84176,0,0.388,0,1,0.6,1
5000,A_w5_T10000_std_lr0.01_s1,0.4,0,0.4,2.39296,1.62207,0.246409,0.49,0,2.70753,22.6529,0.119523,4.55569,0.524694,1.90587,1.68868,0.4,0.361497,0,0,0,0,0.335876,-0.311792,-2.90204,0,0.3429,0,1,0.4,1
5000,A_w5_T10000_std_lr0.01_s2,0.6,0,0.6,1.65338,1.53495,0.196231,0.52,0,1.31099,9.96339,0.13158,4.63735,0.438677,2.27958,1.50725,0.6,0.293958,0,0,0,0,0.80557,-0.0274069,-3.35804,0,0.2855,0,1,0.6,1
5000,A_w5_T10000_std_lr0.01_s3,0.4,0,0.4,2.87763,2.2768,0.187623,0.46,0,0.512821,16.5268,0.0310297,4.34381,0.665864,1.50181,1.31356,0.4,0.960631,0,0,0,0,0.229324,-0.430011,-2.50604,0,0.3015,0,1,0.4,1
5000,A_w5_T10000_std_lr0.01_s4,0.2,0.1,0.2,2.55328,1.34939,0.264528,0.54,0,0.842395,17.9782,0.0468565,4.53393,0.483273,2.06922,1.9094,0.2,0.485683,0,0,0,0,-0.132925,-1.07238,-3.44029,0,0.3355,0,1,0.2,1
6000,A_w5_T10000_std_lr0.01_s0,0.6,0.1,0.6,1.41958,1.12442,0.239627,0.47,0,0.0879634,19.862,0.00442874,4.37834,0.57786,1.73052,1.2169,0.6,1.01394,0,0,0,0,1.63633,1.47422,-4.84176,0,0.3717,0,1,0.6,1
6000,A_w5_T10000_std_lr0.01_s1,0.4,0,0.4,2.25535,1.46691,0.24925,0.49,0,3.00681,23.4982,0.127959,4.53818,0.527622,1.8953,1.68831,0.4,0.400797,0,0,0,0,0.210721,-0.5299,-2.90204,0,0.3227,0,1,0.4,1
6000,A_w5_T10000_std_lr0.01_s2,0.6,0,0.6,1.62243,1.57177,0.189314,0.52,0,0.137387,9.06957,0.0151482,4.6362,0.428225,2.33522,1.57206,0.6,0.244442,0,0,0,0,0.97753,0.0112666,-3.35804,0,0.2842,0,1,0.6,1
6000,A_w5_T10000_std_lr0.01_s3,0.4,0,0.4,2.79545,1.94545,0.166189,0.47,0,5.18607,33.6031,0.154333,4.32409,0.669562,1.49351,1.31919,0.4,1.10998,0,0,0,0,0.436957,-0.429393,-2.50604,0,0.3567,0,1,0.4,1
6000,A_w5_T10000_std_lr0.01_s4,0.2,0.1,0.2,2.35407,1.29641,0.28622,0.52,0,3.13213,19.9015,0.157382,4.51418,0.486725,2.05455,1.90526,0.2,0.571871,0,0,0,0,-0.311574,-1.29536,-3.44029,0,0.3195,0,1,0.2,1
