seed,unit,utility_nmse,tau,censored,pre_max_pre,pre_max_post,p_count_post,strict_dead_short,premax_cell,utility_code,utility_group
0,0,0.0078698214785001986,100,False,-1.7903744205832481,0.48891554027795792,2,True,2,2,high
0,5,0.0027170998361018129,100,False,-1.6692694425582886,0.29880636930465698,2,True,1,2,high
0,9,0.0090637123659701117,11000,False,-1.2056071013212204,0.6747439056634903,4,False,3,2,high
0,11,0.0023368656946700082,100,False,-1.2899778168648481,0.45068755932152271,5,True,2,0,low
0,13,0.00036529354150554758,100,False,-0.62326748669147491,0.16220963001251221,2,True,0,1,mid
0,15,0.0009955283781964289,100,False,-0.010854398831725121,0.56662791967391968,12,True,3,0,low
0,17,0.0014840971484151456,100,False,-0.0072208493947982788,0.21972750127315521,2,True,0,2,high
0,21,0.0055650449364091411,1100,False,-0.97623598575592041,0.42802855372428894,2,True,2,1,mid
0,26,0.0043564196383065971,300,False,-1.1422142088413239,0.59382668137550354,3,True,3,0,low
0,30,0.0061917183489959169,100,False,-0.78654813766479492,0.5419609546661377,5,True,3,1,mid
0,32,0.00077268762537812243,100,False,-0.035420211032032967,0.42057485692203045,8,True,1,0,low
0,33,0.0055520115467423406,100,False,-0.26334226876497269,0.65507599711418152,6,True,3,1,mid
0,34,0.012429676867815261,11000,False,-0.076036326587200165,0.73607993870973587,7,False,4,1,mid
0,35,0.027898870379138484,11000,False,-1.2789903208613396,0.96622975915670395,6,False,4,2,high
0,38,0.00040455662482590779,100,False,-1.2483316138386726,0.17042309790849686,2,True,0,1,mid
0,39,3.4517993571619295e-05,93000,False,-0.56557908467948437,0.40949654206633568,5,False,1,0,low
0,44,0.0010879192657634845,100,False,-1.4936375468969345,0.33562421798706055,2,True,1,1,mid
0,46,0.002795419109945988,200,False,-0.048281267285346985,0.53795592486858368,3,True,2,1,mid
0,49,0.00022188038190796319,91000,False,-0.47885547392070293,0.3917553722858429,12,False,1,0,low
0,51,0.0003591686968399675,200,False,-0.63168869167566299,0.2390378937125206,2,True,0,1,mid
0,52,0.0020424667043180719,11000,False,-0.90499267727136612,0.56635858118534088,8,False,3,0,low
0,53,5.1681998342787535e-08,100,False,-0.24155837530270219,0.21147949248552322,3,True,0,0,low
0,55,0.0061402781501761431,100,False,-1.2876664884388447,0.45658285543322563,4,True,2,1,mid
0,57,0.0012590480527473256,11000,False,-1.2715305704623461,0.26506897620856762,4,False,0,2,high
0,60,0.014144326877794404,100,False,-0.4306451017037034,0.70385605748742819,4,True,4,1,mid
0,64,7.046216008467569e-05,200,False,-0.54638676345348358,0.14722706377506256,2,True,0,0,low
0,65,0.00084411339828143232,21000,False,-0.7587945363484323,1.2600662806071341,28,False,4,0,low
0,68,0.00259359404588331,200000,True,0.100891949608922,0.53976405411958694,6,False,2,0,low
0,70,0.00020931949092585297,100,False,-1.1916998154483736,0.27316053444519639,7,True,0,0,low
0,73,0.0072223543772343317,200,False,-0.85683837067335844,0.73032707441598177,6,True,4,0,low
0,78,0.0043622239788388304,400,False,0.85574255883693695,0.88840954005718231,2,True,4,0,low
0,81,0.00092338097286225594,100,False,-1.043315701186657,0.4549221470952034,2,True,2,0,low
0,83,0.004409632062227384,100,False,-0.52570652961730957,0.5989096462726593,6,True,3,1,mid
