arm,path,record,dtype,shape,nbytes,sha256
A0,logs/unit_traj_A0.npz,FILE,,,2562548,46ebb71fe143ce160ea321da3745c07f4e8d53047effa02c494a1c68a6d44cb3
A0,logs/unit_traj_A0.npz,arm,<U2,1,8,619feb47ad685cecd8201cc51f47d6550df6d0100e2acb7866225a368c463d0c
A0,logs/unit_traj_A0.npz,b,float64,311x10x100,2488000,38a03b00778ab790e314e0673f9527ef9a465d42ef97796b10875408cd1b7db7
A0,logs/unit_traj_A0.npz,eval_nmse,float64,311x10,24880,eb26fbfc067b6d18d4dbbebfd46d78a121a3aa6d9febc79534e533586c191540
A0,logs/unit_traj_A0.npz,is_task_head,bool,311,311,1bc805af1201b8b93d616d9d0033b673930f8af0312959328b79f3613986632b
A0,logs/unit_traj_A0.npz,is_traj,bool,311,311,65b1b8a283319a8ee30437553c8940a877ee312fe8974fd2da70241314abfc4d
A0,logs/unit_traj_A0.npz,p_count,float64,311x10x100,2488000,e9915937bebb8f4827b818d7dc7c3d50f7fbfce926354731c42d39facc1c092a
A0,logs/unit_traj_A0.npz,p_hat,float64,311x10x100,2488000,37040e9292970b53f4e1950ca6d24f91143247a056a3587ace6293fe60995fc8
A0,logs/unit_traj_A0.npz,pre_max,float64,311x10x100,2488000,02e54b9e948f002632464bb40ff4f2b453b523f32cae4e3c88051ca395fe91b4
A0,logs/unit_traj_A0.npz,pre_p_hat,float64,10x100,8000,c10607fb074afe0f0db31b971f1a6b3b1afddb7d08d28c0bfbc706416a1f141e
A0,logs/unit_traj_A0.npz,pre_pre_max,float64,10x100,8000,618b6064e2ed3bf926c259a4ab39efcc0f11e3adc50e6a024684f9ed494a5957
A0,logs/unit_traj_A0.npz,r,float64,311x10x100,2488000,42f0b42208d5ef919104da46d6cef0496403d61408dc7169f333557c9f90a20e
A0,logs/unit_traj_A0.npz,seed,int64,10,80,23c379d6c0f22ef64cdef873fd530df1f1419b4a3935e9323d5f1d82ca697b6a
A0,logs/unit_traj_A0.npz,step,int64,311,2488,d32c96e07e16e863a68df739bc3b32b75bf1bed5e7520d15393e7a3c52412338
A0,logs/unit_traj_A0.npz,strict_dead,bool,311x10x100,311000,88db6fdffe2fd08d36cec4c85f5471acb5f4509854c8fafa16156f5061b546b3
A0,logs/unit_traj_A0.npz,treated,bool,10x100,1000,1b07d4596047f99bbba65980cc10230ce6d280b9adee8dd64b90c97729789e0d
A0,logs/unit_traj_A0.npz,unit,int64,100,800,96bdba67cd0b5e6dc0f9e399f66b17eae627eac812d0620119e87687d789546a
A0,logs/unit_traj_A0.npz,utility_nmse,float64,311x10x100,2488000,080b47d623487fb915e0baf1a3d74463c1f6a73a4af24204bdd1d6b0ebb24c13
A0,logs/unit_traj_A0.npz,v,float64,311x10x100,2488000,fb4bd2bb326b98a17af5a8dd30b23a848a72cd0f7ad6192eb3a6a80a2c7e7ad4
A0,logs/unit_traj_A0.npz,w_norm,float64,311x10x100,2488000,45ab3ffd4743e3cc600f994a55bbdae2b4133e3bdea4d5829640e43740322453
A0,logs/unit_traj_A0.npz,x,float64,311x10x100,2488000,d5f8f24c581b75c78df66a7d13fb8a4861efe8be4a62ccee3ca2b5e9c5e4b705
A1,logs/unit_traj_A1.npz,FILE,,,4763220,80c37d8c4ddae31029eb0f73cf8beaf44a695c25f35ee68534b342010006dd7f
A1,logs/unit_traj_A1.npz,arm,<U2,1,8,cdddf82378c57bd67b229f3fe21aae18ca2f31d0900acfd68cfc290c32c6505b
A1,logs/unit_traj_A1.npz,b,float64,311x10x100,2488000,2711995fcc8c9b636952bb7fc451c9c14c221715572a8ea42b2f55006762f3dc
A1,logs/unit_traj_A1.npz,eval_nmse,float64,311x10,24880,8fdb2c9122eeaf35828ebcf21e4ce48f3c32d0c6d70ef76c1bfd2f7c9326b415
A1,logs/unit_traj_A1.npz,is_task_head,bool,311,311,1bc805af1201b8b93d616d9d0033b673930f8af0312959328b79f3613986632b
A1,logs/unit_traj_A1.npz,is_traj,bool,311,311,65b1b8a283319a8ee30437553c8940a877ee312fe8974fd2da70241314abfc4d
A1,logs/unit_traj_A1.npz,p_count,float64,311x10x100,2488000,c4aea4b745b185ad3219b77844698f4daf57d11563474f17310fb390581d04eb
A1,logs/unit_traj_A1.npz,p_hat,float64,311x10x100,2488000,e13f0009da402ba2fa580cbdd67f74054d0c53342c901898f68d05f0b569f699
A1,logs/unit_traj_A1.npz,pre_max,float64,311x10x100,2488000,cb704a13da546e52698f5cc09c1434161213e7f3f1b525c98b69558fd1cd774a
A1,logs/unit_traj_A1.npz,pre_p_hat,float64,10x100,8000,c10607fb074afe0f0db31b971f1a6b3b1afddb7d08d28c0bfbc706416a1f141e
A1,logs/unit_traj_A1.npz,pre_pre_max,float64,10x100,8000,618b6064e2ed3bf926c259a4ab39efcc0f11e3adc50e6a024684f9ed494a5957
A1,logs/unit_traj_A1.npz,r,float64,311x10x100,2488000,79527c156690ef8f760d000e0d78d1c4c57c8c477deeb8cab21f51bb7b3189a4
A1,logs/unit_traj_A1.npz,seed,int64,10,80,23c379d6c0f22ef64cdef873fd530df1f1419b4a3935e9323d5f1d82ca697b6a
A1,logs/unit_traj_A1.npz,step,int64,311,2488,d32c96e07e16e863a68df739bc3b32b75bf1bed5e7520d15393e7a3c52412338
A1,logs/unit_traj_A1.npz,strict_dead,bool,311x10x100,311000,f6ba6377387a253655f256cbfca27ceb4c978e9ae5aa3a8a976beafa4d7ee762
A1,logs/unit_traj_A1.npz,treated,bool,10x100,1000,1b07d4596047f99bbba65980cc10230ce6d280b9adee8dd64b90c97729789e0d
A1,logs/unit_traj_A1.npz,unit,int64,100,800,96bdba67cd0b5e6dc0f9e399f66b17eae627eac812d0620119e87687d789546a
A1,logs/unit_traj_A1.npz,utility_nmse,float64,311x10x100,2488000,821e4f0fa64b83bb98dc89de07628305bda96a4eb12a18eb81268d627f0fc3a5
A1,logs/unit_traj_A1.npz,v,float64,311x10x100,2488000,fe69297adecb3732d19f6ff8c049f69f37e0e3a116b08c29012314a0376cd674
A1,logs/unit_traj_A1.npz,w_norm,float64,311x10x100,2488000,c927e2ae76f7d2a3681538c863ea05a322089b4ea84ba934bb985ca15047daf0
A1,logs/unit_traj_A1.npz,x,float64,311x10x100,2488000,cf31e514c209cb0d813201e4bd2ceb6843ddaef73fb8ee32979de5d3b8ddc842
A1_hi,logs/unit_traj_A1_hi.npz,FILE,,,4319950,3d760cc8b784e295d8116ebd51a4d01426c558858f7934d1957bfd86bdb48459
A1_hi,logs/unit_traj_A1_hi.npz,arm,<U5,1,20,31e85a63e7fa50bbb50ba4ff8814cfb066eb4c496f23a8e65359fb744cb9cbfa
A1_hi,logs/unit_traj_A1_hi.npz,b,float64,311x10x100,2488000,8a81f27eada4d4151b2f0824c902dd535934ad6e32b0c299c9799a96ff046915
A1_hi,logs/unit_traj_A1_hi.npz,eval_nmse,float64,311x10,24880,8e593cff063d4ccc2898bb7f5a8da9062dd5c0a0203c14a453c6926a122f9968
A1_hi,logs/unit_traj_A1_hi.npz,is_task_head,bool,311,311,1bc805af1201b8b93d616d9d0033b673930f8af0312959328b79f3613986632b
A1_hi,logs/unit_traj_A1_hi.npz,is_traj,bool,311,311,65b1b8a283319a8ee30437553c8940a877ee312fe8974fd2da70241314abfc4d
A1_hi,logs/unit_traj_A1_hi.npz,p_count,float64,311x10x100,2488000,e631e32fe8113c86e80b1da851a19b227ce689e0157f745ff7ee672c3ee75859
A1_hi,logs/unit_traj_A1_hi.npz,p_hat,float64,311x10x100,2488000,73513717b9ad80d5d6fc7db497c9d42fdcef2d3c89a7a8a45747a5e019bbd062
A1_hi,logs/unit_traj_A1_hi.npz,pre_max,float64,311x10x100,2488000,c822cc79bd6c0afafb3268b99121654faf28b62c4af828ea7eca64d38d8d4681
A1_hi,logs/unit_traj_A1_hi.npz,pre_p_hat,float64,10x100,8000,c10607fb074afe0f0db31b971f1a6b3b1afddb7d08d28c0bfbc706416a1f141e
