test,window,comparison,estimate,ci_lo,ci_hi,threshold,verdict,scientific_verdict,precision,rule_order,n_boot,bootstrap_seed,n_boot_nonfinite,note
O-1,short,A1-A0,-0.13749959874667428,-0.25989469416472155,-0.047862281012503435,0.0134,PERSISTENT,PERSISTENT,INSUFFICIENT,PERSISTENT>FOLD>HARMFUL>INCONCLUSIVE,10000,20260826,0,"short is primary; A1 is an oracle intervention, not a learning method"
C-1,short,A1-A2,0.0123828436725845,0.00025420267396049785,0.033546030956739546,0.0134,INCONCLUSIVE,INCONCLUSIVE,OK,SWITCH_SUPERIOR>SWITCH_SUFFICIENT>REPLACEMENT_NEEDED>INCONCLUSIVE,10000,20260826,0,"one-shot, same treated set, condA only"
O-1,long,A1-A0,-0.11515853694350375,-0.20887255304838628,-0.030830743038409721,0.0134,PERSISTENT,PERSISTENT,OK,PERSISTENT>FOLD>HARMFUL>INCONCLUSIVE,10000,20260826,0,"short is primary; A1 is an oracle intervention, not a learning method"
C-1,long,A1-A2,0.015478345824753437,-0.064564176857392894,0.068769715103161017,0.0134,INCONCLUSIVE,INCONCLUSIVE,OK,SWITCH_SUPERIOR>SWITCH_SUFFICIENT>REPLACEMENT_NEEDED>INCONCLUSIVE,10000,20260826,0,"one-shot, same treated set, condA only"
F-1,short,utility high-low adjusted RD,0.27619047619047621,0.13703703703703707,0.40000000000000002,0.050000000000000003,DESCRIPTIVE_ONLY,INCONCLUSIVE,INSUFFICIENT,PROTECTIVE>NULL>INCONCLUSIVE,10000,20260826,0,G1/G3 descriptive guard applies
Ch-a,long,A1 practical revivals,0.97198879551820727,,,0.80000000000000004,DESCRIPTIVE_ONLY,PASS,NOT_APPLICABLE,PASS>FAIL,10000,20260826,0,KM median tau=200.0; G3=True
Ch-b-dead,long,A1-A0 dead_frac_0_05,-0.041000000000000016,-0.064000000000000029,-0.020975000000000348,0.050000000000000003,INCONCLUSIVE,INCONCLUSIVE,OK,REJECTED_LOW>PASS>REJECTED_HIGH>INCONCLUSIVE,10000,20260826,0,dead is primary; frozen is secondary
Ch-b-frozen,long,A1-A0 frozen_frac,-0.05800000000000001,-0.089999999999999997,-0.029999999999999992,0.050000000000000003,INCONCLUSIVE,INCONCLUSIVE,OK,REJECTED_LOW>PASS>REJECTED_HIGH>INCONCLUSIVE,10000,20260826,0,dead is primary; frozen is secondary
Ch-1,long,Ch-a and Ch-b-dead,,,,,DESCRIPTIVE_ONLY,PARTIAL,NOT_APPLICABLE,PASS>PARTIAL>REJECTED_LOW|REJECTED_HIGH>INCONCLUSIVE,10000,20260826,0,Ch-a=PASS; Ch-b-dead=INCONCLUSIVE; G3=True
