step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
502000,A_w100_T10000_std_lr0.01_s7_A1,0.64,0.00363636,0.48,15.3402,3.5255,0.263429,0.601131,0.00181818,0.079767,0.470544,0.169521,16.2316,0.226148,4.42189,4.14576,0.64,0.00485909
502000,A_w100_T10000_std_lr0.01_s8_A1,0.71,0.00464646,0.43,19.6401,5.35477,0.269543,0.583818,0.000808081,0.00545615,0.279965,0.0194887,16.3571,0.229737,4.35281,4.05782,0.71,0.00351725
502000,A_w100_T10000_std_lr0.01_s9_A1,0.82,0.00020202,0.79,10.1064,4.66881,0.277172,0.605879,0.000808081,5.58523,25.8866,0.215757,16.2086,0.230992,4.32915,4.50204,0.82,0.211574
503000,A_w100_T10000_std_lr0.01_s0_A1,0.82,0.00040404,0.72,16.2087,6.60716,0.265255,0.59695,0.00222222,0.519402,1.93584,0.268309,15.9136,0.230818,4.33241,2.71702,0.82,0.0152341
503000,A_w100_T10000_std_lr0.01_s1_A1,0.88,0.00141414,0.79,9.25848,3.02272,0.296117,0.633606,0.0020202,0.744886,12.1805,0.061154,15.0878,0.275082,3.63528,2.3542,0.88,0.241584
503000,A_w100_T10000_std_lr0.01_s2_A1,0.84,0.00040404,0.74,10.8566,3.08313,0.274314,0.618263,0.000808081,8.67008,47.5344,0.182396,15.898,0.207744,4.81361,2.2477,0.84,0.246725
503000,A_w100_T10000_std_lr0.01_s3_A1,0.71,0.00323232,0.48,15.1214,2.43436,0.267672,0.602616,0.000808081,0.127356,1.5896,0.0801186,16.0421,0.204346,4.89365,3.61803,0.71,0.0205837
503000,A_w100_T10000_std_lr0.01_s4_A1,0.78,0.00121212,0.67,12.2322,2.93237,0.26804,0.597364,0.000606061,0.144304,2.32212,0.062143,15.7076,0.193272,5.17406,3.9624,0.78,0.0207335
503000,A_w100_T10000_std_lr0.01_s5_A1,0.79,0,0.77,12.8512,4.18374,0.251942,0.570485,0.000606061,0.378512,13.0262,0.0290577,16.8113,0.18174,5.50236,3.44885,0.79,0.099563
503000,A_w100_T10000_std_lr0.01_s6_A1,0.85,0.00020202,0.81,9.14852,2.36841,0.275258,0.603899,0.0020202,2.76057,21.9673,0.125667,15.9133,0.229632,4.3548,2.70177,0.85,0.206917
503000,A_w100_T10000_std_lr0.01_s7_A1,0.63,0.00343434,0.48,15.3826,3.58515,0.263325,0.601131,0.00181818,0.0035232,0.0674957,0.0521988,16.2316,0.226314,4.41864,4.26992,0.63,0.000696026
503000,A_w100_T10000_std_lr0.01_s8_A1,0.71,0.00464646,0.43,19.5283,5.29679,0.269592,0.583424,0.000808081,0.0219495,0.191206,0.114795,16.3551,0.229639,4.35465,4.06797,0.71,0.00165374
503000,A_w100_T10000_std_lr0.01_s9_A1,0.83,0,0.79,10.6209,5.09354,0.277251,0.605828,0.000808081,1.63415,15.1065,0.108175,16.2018,0.230569,4.3371,3.88302,0.83,0.0706475
504000,A_w100_T10000_std_lr0.01_s0_A1,0.79,0.00040404,0.72,16.1339,6.2737,0.265202,0.59695,0.00222222,0.0138748,0.780375,0.0177797,15.9121,0.230622,4.3361,2.61635,0.79,0.0063427
504000,A_w100_T10000_std_lr0.01_s1_A1,0.88,0.00141414,0.79,9.32172,3.08887,0.296382,0.634465,0.0020202,0.249283,10.3085,0.0241823,15.0846,0.274747,3.63971,2.26748,0.88,0.184192
504000,A_w100_T10000_std_lr0.01_s2_A1,0.84,0,0.76,10.4647,3.29836,0.275029,0.618242,0.000808081,0.912319,17.2827,0.0527881,15.878,0.208197,4.80315,2.30354,0.84,0.0939411
504000,A_w100_T10000_std_lr0.01_s3_A1,0.7,0.00363636,0.48,15.0997,2.48688,0.267811,0.602,0.000808081,0.0529285,0.974976,0.054287,16.0421,0.204337,4.89387,3.74654,0.7,0.00909665
504000,A_w100_T10000_std_lr0.01_s4_A1,0.77,0.00121212,0.67,12.4183,2.93084,0.268102,0.597364,0.000606061,0.0148973,0.654247,0.0227701,15.7043,0.193447,5.16938,3.98758,0.77,0.00659115
504000,A_w100_T10000_std_lr0.01_s5_A1,0.79,0,0.77,13.0462,4.35972,0.252554,0.570485,0.000606061,0.506269,10.7618,0.0470433,16.7961,0.181839,5.49938,3.04032,0.79,0.0647946
504000,A_w100_T10000_std_lr0.01_s6_A1,0.87,0.00020202,0.81,9.06394,2.37224,0.275511,0.603899,0.0020202,1.99407,14.561,0.136946,15.9045,0.230156,4.34488,2.50563,0.87,0.134966
504000,A_w100_T10000_std_lr0.01_s7_A1,0.63,0.00343434,0.48,15.4242,3.62222,0.263284,0.601131,0.00181818,0.00073286,0.0213965,0.0342515,16.2315,0.226335,4.41824,4.27129,0.63,0.000285693
504000,A_w100_T10000_std_lr0.01_s8_A1,0.71,0.00484848,0.44,19.5014,5.30413,0.269598,0.583424,0.000808081,0.00283212,0.0391524,0.0723359,16.3543,0.229589,4.35562,4.07277,0.71,0.000425176
504000,A_w100_T10000_std_lr0.01_s9_A1,0.8,0,0.79,11.0385,5.02514,0.277721,0.607051,0.000808081,0.527204,6.78677,0.0776811,16.1932,0.229964,4.3485,4.28598,0.8,0.0362451
505000,A_w100_T10000_std_lr0.01_s0_A1,0.79,0.00040404,0.72,16.0839,6.20986,0.265205,0.59695,0.00222222,1.08125,5.22474,0.206949,15.9105,0.230409,4.34011,3.34921,0.79,0.0208555
505000,A_w100_T10000_std_lr0.01_s1_A1,0.88,0.00141414,0.79,9.1683,3.10226,0.296376,0.633808,0.00181818,2.27109,15.2115,0.149301,15.0834,0.274801,3.63899,2.27924,0.88,0.217705
505000,A_w100_T10000_std_lr0.01_s2_A1,0.84,0,0.76,11.0885,3.44269,0.275039,0.61802,0.000808081,0.853888,5.93635,0.143841,15.8681,0.207454,4.82034,2.29395,0.84,0.0312798
505000,A_w100_T10000_std_lr0.01_s3_A1,0.73,0.00363636,0.49,14.6142,2.49763,0.267953,0.601657,0.000808081,0.0164267,0.237481,0.0691703,16.042,0.204484,4.89036,3.51672,0.73,0.00168985
505000,A_w100_T10000_std_lr0.01_s4_A1,0.77,0.00121212,0.67,12.4749,2.93677,0.26812,0.597232,0.000606061,0.0282454,0.25507,0.110736,15.703,0.193391,5.17087,3.98563,0.77,0.00367205
505000,A_w100_T10000_std_lr0.01_s5_A1,0.79,0,0.77,13.1267,4.21093,0.252697,0.571434,0.000606061,0.680511,6.38411,0.106594,16.7881,0.181568,5.50759,3.49775,0.79,0.0349699
505000,A_w100_T10000_std_lr0.01_s6_A1,0.85,0.00020202,0.82,8.96488,2.39759,0.275625,0.603828,0.0020202,1.82104,9.96952,0.182661,15.8998,0.230704,4.33456,2.60785,0.85,0.0964963
505000,A_w100_T10000_std_lr0.01_s7_A1,0.63,0.00343434,0.48,15.4578,3.63388,0.263264,0.601131,0.00181818,0.000252369,0.0127144,0.0198491,16.2315,0.226337,4.41819,4.27132,0.63,0.000173157
505000,A_w100_T10000_std_lr0.01_s8_A1,0.71,0.00464646,0.44,19.4833,5.28156,0.269606,0.583818,0.000808081,0.000917378,0.00882419,0.103962,16.3536,0.229578,4.35581,4.07593,0.71,0.000149959
