step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
502000,A_w100_T10000_std_lr0.01_s6_A1_lo,0.89,0.000808081,0.79,8.40693,2.30384,0.274549,0.605384,0.00222222,0.962604,16.7795,0.0573679,15.9175,0.225827,4.42816,2.49017,0.89,0.207386
502000,A_w100_T10000_std_lr0.01_s7_A1_lo,0.71,0.0040404,0.57,14.3425,3.63327,0.260831,0.59903,0.0020202,0.0501532,1.99626,0.0251236,16.2598,0.220514,4.53485,3.74569,0.71,0.0135739
502000,A_w100_T10000_std_lr0.01_s8_A1_lo,0.79,0.00343434,0.57,15.9578,4.93218,0.267867,0.583283,0.000808081,0.0394209,0.775835,0.0508109,16.3619,0.229879,4.35012,3.52339,0.79,0.0106275
502000,A_w100_T10000_std_lr0.01_s9_A1_lo,0.9,0,0.87,5.92101,1.86039,0.275515,0.600172,0.000606061,7.6471,41.3372,0.184993,16.2238,0.225368,4.43718,2.55498,0.9,0.671711
503000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.82,0.000606061,0.76,12.8789,2.44076,0.264735,0.593869,0.00242424,9.22726,44.5709,0.207024,15.8891,0.220605,4.53298,2.51375,0.82,0.495947
503000,A_w100_T10000_std_lr0.01_s1_A1_lo,0.86,0.0010101,0.78,10.8835,3.13125,0.280138,0.61896,0.0010101,0.114569,6.21176,0.0184439,15.1354,0.263231,3.79894,3.40964,0.86,0.111822
503000,A_w100_T10000_std_lr0.01_s2_A1_lo,0.81,0.00282828,0.64,14.3717,4.79372,0.259581,0.601465,0.000808081,1.66024,14.6032,0.113691,15.9859,0.194709,5.13587,3.43878,0.81,0.0708943
503000,A_w100_T10000_std_lr0.01_s3_A1_lo,0.75,0.00262626,0.49,16.8544,3.7379,0.263829,0.595505,0.000606061,0.0106923,0.52944,0.0201955,16.0513,0.200071,4.99824,3.87295,0.75,0.00756424
503000,A_w100_T10000_std_lr0.01_s4_A1_lo,0.78,0.000808081,0.69,12.7513,2.36662,0.26158,0.595303,0.00141414,0.264669,6.51371,0.0406325,15.7404,0.185561,5.38907,4.27274,0.78,0.0376714
503000,A_w100_T10000_std_lr0.01_s5_A1_lo,0.88,0,0.86,7.98205,3.39116,0.248414,0.563586,0.00040404,1.07625,22.4689,0.0478997,16.8495,0.177975,5.61878,3.53169,0.88,0.261139
503000,A_w100_T10000_std_lr0.01_s6_A1_lo,0.86,0.000808081,0.79,8.0368,2.14097,0.274811,0.605212,0.00222222,3.11802,21.5638,0.144595,15.9088,0.226863,4.40794,2.75665,0.86,0.202366
503000,A_w100_T10000_std_lr0.01_s7_A1_lo,0.72,0.0040404,0.57,14.5409,3.59489,0.260991,0.599808,0.0020202,0.0340425,0.596073,0.0571114,16.2567,0.220585,4.5334,3.84224,0.72,0.00581784
503000,A_w100_T10000_std_lr0.01_s8_A1_lo,0.79,0.00343434,0.57,15.9688,4.88493,0.267965,0.583758,0.000808081,0.00702582,0.254546,0.0276014,16.3588,0.22985,4.35066,3.53043,0.79,0.00419315
503000,A_w100_T10000_std_lr0.01_s9_A1_lo,0.92,0,0.87,5.44201,1.86507,0.276283,0.600162,0.000606061,1.41605,33.2687,0.042564,16.2101,0.225484,4.4349,2.13327,0.92,0.394437
504000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.81,0.000606061,0.76,12.6282,2.51482,0.264735,0.594596,0.00242424,4.38334,30.2393,0.144955,15.8929,0.220189,4.54156,2.75224,0.81,0.202669
504000,A_w100_T10000_std_lr0.01_s1_A1_lo,0.86,0.000808081,0.78,10.5987,3.19311,0.280048,0.61899,0.0010101,0.225875,6.84531,0.032997,15.1345,0.263084,3.80107,3.40127,0.86,0.122656
504000,A_w100_T10000_std_lr0.01_s2_A1_lo,0.81,0.00282828,0.65,14.5625,4.8806,0.259712,0.601192,0.000808081,0.512317,6.03044,0.0849552,15.9784,0.194382,5.14451,3.416,0.81,0.0378069
504000,A_w100_T10000_std_lr0.01_s3_A1_lo,0.75,0.00242424,0.5,17.0729,3.99371,0.26383,0.596101,0.000606061,0.0258097,0.591569,0.0436293,16.0491,0.199933,5.00168,3.8623,0.75,0.0052716
504000,A_w100_T10000_std_lr0.01_s4_A1_lo,0.79,0.0010101,0.69,12.6213,2.23859,0.261858,0.594646,0.00141414,0.143983,1.66096,0.0866866,15.7353,0.185912,5.37888,4.20256,0.79,0.0161305
504000,A_w100_T10000_std_lr0.01_s5_A1_lo,0.88,0,0.86,7.86091,3.36987,0.24894,0.563576,0.00040404,0.28917,15.5165,0.0186363,16.8369,0.178993,5.58682,3.48818,0.88,0.179186
504000,A_w100_T10000_std_lr0.01_s6_A1_lo,0.88,0.000606061,0.8,7.89491,2.05902,0.275177,0.604475,0.00222222,2.80536,17.0674,0.16437,15.9012,0.227624,4.3932,2.54042,0.88,0.155531
504000,A_w100_T10000_std_lr0.01_s7_A1_lo,0.71,0.0040404,0.57,14.79,3.6615,0.260975,0.599202,0.0020202,0.0122569,0.242381,0.0505688,16.2557,0.220427,4.53665,3.7484,0.71,0.00201535
504000,A_w100_T10000_std_lr0.01_s8_A1_lo,0.8,0.00343434,0.57,15.9196,4.92096,0.267932,0.583758,0.000808081,0.00407743,0.136762,0.029814,16.3584,0.229743,4.35269,3.57321,0.8,0.0023046
504000,A_w100_T10000_std_lr0.01_s9_A1_lo,0.91,0,0.87,6.18145,2.07018,0.276821,0.599485,0.000606061,1.20276,28.7091,0.0418946,16.1926,0.225957,4.42563,2.25665,0.91,0.31999
505000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.81,0.000606061,0.76,13.5435,2.88051,0.264789,0.593111,0.00242424,0.446563,9.26052,0.0482223,15.8848,0.220189,4.54154,2.76576,0.81,0.0766861
505000,A_w100_T10000_std_lr0.01_s1_A1_lo,0.86,0.000808081,0.78,10.8891,3.28256,0.280092,0.618556,0.0010101,1.38193,13.2176,0.104552,15.1339,0.26262,3.80778,3.3873,0.86,0.137138
505000,A_w100_T10000_std_lr0.01_s2_A1_lo,0.81,0.00282828,0.65,14.3679,4.8923,0.259672,0.602172,0.000808081,1.95327,12.4786,0.15653,15.9733,0.193929,5.15652,3.39905,0.81,0.0518658
505000,A_w100_T10000_std_lr0.01_s3_A1_lo,0.74,0.00242424,0.51,17.1765,4.1658,0.263837,0.596101,0.000606061,0.0115787,0.178004,0.0650474,16.0475,0.199858,5.00354,3.95772,0.74,0.002882
505000,A_w100_T10000_std_lr0.01_s4_A1_lo,0.79,0.0010101,0.69,12.5643,2.30839,0.261827,0.595434,0.00121212,0.0681623,0.786396,0.0866767,15.7336,0.186085,5.3739,4.20265,0.79,0.00742839
505000,A_w100_T10000_std_lr0.01_s5_A1_lo,0.88,0,0.86,7.9131,3.32919,0.249142,0.564222,0.00040404,0.893958,18.7791,0.0476038,16.8261,0.179511,5.5707,3.45718,0.88,0.185916
505000,A_w100_T10000_std_lr0.01_s6_A1_lo,0.88,0.000606061,0.81,8.06577,2.09444,0.275425,0.604646,0.00222222,2.41489,15.9297,0.151597,15.8944,0.228578,4.37487,2.49533,0.88,0.130923
505000,A_w100_T10000_std_lr0.01_s7_A1_lo,0.71,0.0040404,0.57,14.9177,3.66417,0.260993,0.599202,0.0020202,0.0097514,0.170477,0.0572007,16.2544,0.220382,4.53758,3.75227,0.71,0.00104839
505000,A_w100_T10000_std_lr0.01_s8_A1_lo,0.8,0.00343434,0.57,15.9679,4.91266,0.267936,0.583758,0.000808081,0.0118158,0.109402,0.108003,16.3575,0.229728,4.35298,3.57212,0.8,0.00163602
505000,A_w100_T10000_std_lr0.01_s9_A1_lo,0.91,0,0.87,6.15055,2.01891,0.277291,0.599364,0.000606061,0.656761,22.5551,0.0291181,16.1759,0.225504,4.43451,2.27168,0.91,0.217352
506000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.82,0.000606061,0.76,13.6739,2.95497,0.265011,0.593768,0.00242424,0.617196,9.09624,0.0678518,15.8818,0.220502,4.5351,2.49004,0.82,0.0658665
