kind,arm,seed,state_key,state_sha256,n_dead,n_alive,bias_delta_l2,kappa,c_s,method_generator_before,method_generator_after
provenance,,,config_sha256,fd722f6afdc73d0bf55a94b02a5b7f7824432b0b6403898ad2c58454a3482795,,,,,,,
provenance,,,git_dirty,False,,,,,,,
provenance,,,git_hash,1183d3a898aa25262bb269fdf30c72a3c0f64860,,,,,,,
provenance,,,git_untracked_sources,run_dynrepair_0826.log,,,,,,,
provenance,,,source_snapshot_sha256,09339d65c3efc545681dfb3fe298773207e027df39957739d04d497c82d408cb,,,,,,,
provenance,,,spec_sha256,d3797b1fafde5ee1743f5ee6c5685f068ef0db9b178b9e0881d7c02264bcf104,,,,,,,
source_state,source,,W,bf8ef95e1dc549ea289f6d47716e57d9c194d00882c161cbe9e20eeab8ca930b,,,,,,,
source_state,source,,b,36ed4527ccdec40f11efad409cd6ab77fe6c34dbff27ab1e4b99a21380a00731,,,,,,,
source_state,source,,v,1df3e599e37c096ec89dff09d4f881d4eb08eb2cdf9990dbe9a6f557ec4c2a94,,,,,,,
source_state,source,,c,3c7a3c39db6567a862527cab907ef42e5763b3ebbbf0273cf2326991bd114b94,,,,,,,
source_state,source,,running_mean,ed1963daf2993144579f6cda4353e3af50b5526bf1bc734693de4084df2d096a,,,,,,,
arm_seed,A0,0,,,85,15,0,,,,
arm_seed,A0,1,,,98,2,0,,,,
arm_seed,A0,2,,,97,3,0,,,,
arm_seed,A0,3,,,96,4,0,,,,
arm_seed,A0,4,,,97,3,0,,,,
arm_seed,A0,5,,,92,8,0,,,,
arm_seed,A0,6,,,81,19,0,,,,
arm_seed,A0,7,,,95,5,0,,,,
arm_seed,A0,8,,,76,24,0,,,,
arm_seed,A0,9,,,98,2,0,,,,
arm_seed,A1,0,,,85,15,11.774837862714284,,,,
arm_seed,A1,1,,,98,2,25.347431960532901,,,,
arm_seed,A1,2,,,97,3,12.801556624986606,,,,
arm_seed,A1,3,,,96,4,14.532558508354068,,,,
arm_seed,A1,4,,,97,3,20.594858960966523,,,,
arm_seed,A1,5,,,92,8,13.541880679258,,,,
arm_seed,A1,6,,,81,19,9.1084919300414757,,,,
arm_seed,A1,7,,,95,5,13.51922829678683,,,,
arm_seed,A1,8,,,76,24,7.0612711981088943,,,,
arm_seed,A1,9,,,98,2,19.571029979256917,,,,
