arm,seed,step,U,dead_frac_0_05,frozen_frac
A0,0,500000,1.0567831425582535e-05,0.84999999999999998,0.78000000000000003
A0,0,500100,1.0339395070071566,0.93000000000000005,0.80000000000000004
A0,0,500200,0.41126821600596103,0.92000000000000004,0.81000000000000005
A0,0,500300,0.6011631619510347,0.92000000000000004,0.81999999999999995
A0,0,500400,0.5170370431113227,0.91000000000000003,0.82999999999999996
A0,0,500500,0.37753305314805002,0.91000000000000003,0.82999999999999996
A0,0,500600,0.32919724121923566,0.91000000000000003,0.82999999999999996
A0,0,500700,0.27621639932949632,0.90000000000000002,0.82999999999999996
A0,0,500800,0.2798101790219984,0.90000000000000002,0.82999999999999996
A0,0,500900,0.39802318058716835,0.89000000000000001,0.82999999999999996
A0,0,501000,0.24071105305872231,0.92000000000000004,0.82999999999999996
A0,0,501100,0.55384720216861472,0.91000000000000003,0.82999999999999996
A0,0,501200,0.22676646000308651,0.91000000000000003,0.82999999999999996
A0,0,501300,0.29694214253571694,0.91000000000000003,0.82999999999999996
A0,0,501400,0.2485435906092307,0.90000000000000002,0.82999999999999996
A0,0,501500,0.28998979884264958,0.90000000000000002,0.82999999999999996
A0,0,501600,0.19495111149821928,0.91000000000000003,0.83999999999999997
A0,0,501700,0.22892010601599871,0.91000000000000003,0.83999999999999997
A0,0,501800,0.20756852039291523,0.90000000000000002,0.83999999999999997
A0,0,501900,0.37913331827271363,0.91000000000000003,0.83999999999999997
A0,0,502000,0.17951726942777829,0.90000000000000002,0.83999999999999997
A0,0,502100,0.15172448556021559,0.91000000000000003,0.84999999999999998
A0,0,502200,0.194139857245237,0.92000000000000004,0.84999999999999998
A0,0,502300,0.27104239069847152,0.91000000000000003,0.84999999999999998
A0,0,502400,0.33931244060614346,0.92000000000000004,0.84999999999999998
A0,0,502500,0.15366310081497389,0.92000000000000004,0.84999999999999998
A0,0,502600,0.18193916281416625,0.91000000000000003,0.84999999999999998
A0,0,502700,0.14193697272995404,0.91000000000000003,0.84999999999999998
A0,0,502800,0.14474504461287488,0.92000000000000004,0.84999999999999998
A0,0,502900,0.16726866940032417,0.91000000000000003,0.84999999999999998
A0,0,503000,0.18752059720505004,0.91000000000000003,0.84999999999999998
A0,0,503100,0.18698387128545266,0.92000000000000004,0.84999999999999998
A0,0,503200,0.12101113694578268,0.90000000000000002,0.84999999999999998
A0,0,503300,0.16778873019872828,0.90000000000000002,0.84999999999999998
A0,0,503400,0.17837769929361932,0.90000000000000002,0.84999999999999998
A0,0,503500,0.20513947382852812,0.91000000000000003,0.84999999999999998
A0,0,503600,0.1625280985119982,0.90000000000000002,0.84999999999999998
A0,0,503700,0.12275255316581622,0.91000000000000003,0.84999999999999998
