tau,n_risk,n_event,n_censor,survival
0,357,0,0,1
100,357,160,0,0.55182072829131656
200,197,19,0,0.49859943977591042
300,178,10,0,0.4705882352941177
400,168,2,0,0.46498599439775917
500,166,1,0,0.46218487394957991
600,165,1,0,0.45938375350140059
700,164,3,0,0.45098039215686275
800,161,1,0,0.44817927170868349
1100,160,1,0,0.44537815126050423
1300,159,1,0,0.44257703081232497
1500,158,2,0,0.43697478991596644
1700,156,1,0,0.43417366946778718
1800,155,1,0,0.43137254901960792
2000,154,1,0,0.42857142857142866
2900,153,1,0,0.4257703081232494
3400,152,1,0,0.42296918767507014
4800,151,1,0,0.42016806722689087
11000,150,32,0,0.33053221288515411
12000,118,1,0,0.32773109243697485
16000,117,1,0,0.32492997198879559
21000,116,24,0,0.25770308123249308
22000,92,1,0,0.25490196078431382
23000,91,1,0,0.25210084033613456
24000,90,1,0,0.2492997198879553
31000,89,16,0,0.20448179271708694
35000,73,1,0,0.20168067226890765
41000,72,13,0,0.16526610644257711
42000,59,1,0,0.16246498599439785
51000,58,10,0,0.13445378151260512
61000,48,4,0,0.12324929971988802
62000,44,1,0,0.12044817927170874
65000,43,1,0,0.11764705882352947
68000,42,1,0,0.11484593837535019
71000,41,6,0,0.09803921568627455
73000,35,2,0,0.092436974789915999
81000,33,2,0,0.086834733893557461
88000,31,1,0,0.084033613445378186
91000,30,2,0,0.078431372549019635
93000,28,1,0,0.075630252100840359
98000,27,1,0,0.072829131652661097
101000,26,2,0,0.06722689075630256
102000,24,1,0,0.064425770308123284
111000,23,2,0,0.05882352941176474
121000,21,1,0,0.056022408963585464
122000,20,1,0,0.053221288515406188
131000,19,2,0,0.047619047619047644
138000,17,1,0,0.044817927170868369
141000,16,2,0,0.039215686274509824
161000,14,1,0,0.036414565826330555
171000,13,1,0,0.033613445378151287
191000,12,1,0,0.030812324929972011
192000,11,1,0,0.028011204481792736
200000,10,0,10,0.028011204481792736
