seed,n_dead,n_alive,kappa,c_s,c_over_median_margin,a1_per_unit_displacement_median,a3_to_a1_per_unit_median,delta_p_min,delta_p_median,delta_p_max,death_n,death_rate,saturation_n,saturation_rate
0,85,15,11.774837817833703,3.0402500515175475,1.867826945132848,1.0793243502116696,2.8168085440871549,-0.21875,-0.09375,0.75,9,0.59999999999999998,1,0.066666666666666666
1,98,2,25.347432024882213,17.923341070459273,5.5428838995877721,2.0061892811540627,8.9340229453069604,-0.15625,-0.0625,0.03125,1,0.5,1,0.5
2,97,3,12.801556644719597,7.3909821748751021,3.6343380432253363,1.0757774875902086,6.8703633048050152,0.09375,0.71875,0.90625,0,0,3,1
3,96,4,14.532558599209617,7.2662792996048085,4.1156048805456198,1.2170750824145542,5.9702802272389333,-0.5,0.234375,0.9375,2,0.5,2,0.5
4,97,3,20.594858915079172,11.890447338543325,3.6346088401987524,1.8178567160178203,6.5409155923963169,-0.5625,-0.34375,0.9375,2,0.66666666666666663,1,0.33333333333333331
5,92,8,13.541880705465511,4.7877778384269654,2.2245291793077224,1.2378949511464263,3.8676770060278205,-0.9375,-0.0625,0.78125,6,0.75,1,0.125
6,81,19,9.1084919757670306,2.0896313710747161,1.8865752316495819,0.70881721266946274,2.9480539322754256,-0.40625,-0.09375,0.8125,11,0.57894736842105265,2,0.10526315789473684
7,95,5,13.519228332597487,6.0459827110058235,3.4148413674237874,1.1064593425230536,5.4642610701078276,-0.6875,-0.15625,0.75,3,0.59999999999999998,2,0.40000000000000002
8,76,24,7.0612711932784169,1.4413759465788181,1.3078896392241808,0.58821909064881472,2.450406607832055,-0.40625,0.265625,0.90625,8,0.33333333333333331,3,0.125
9,98,2,19.571030030219678,13.838808049173895,3.8483891169717928,1.6739356280760449,8.2672283312827695,0.09375,0.515625,0.9375,0,0,2,1
