act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2,pen_wt_total,pen_rest_total
R,l2,0.001,0.001,0,1,0.9491520833,1,1,0.1700000018,0.1700000018,-0.0002496270754,0.7497599721,-0.4839163125,0.3958333433,52.03914272,0.1099999994,0.1099999994,0.5507663488,0.3712058663,-8.654608246e-05,0.9516666532,16.67650285,1.179318428,0.942068398,2.749087811,0.2793271826,0.000164546483,1.189615291,1.602105808,1.83351516,2.049411024,0.0004929001442,-2.153151115e-07,0,0.51,nan,nan,nan,6.652630854e-05,0.9319192433,1.140886056,1.299803346,1.596843625,0.01298897116,0.06099411659,0,0.12,nan,nan,nan,0.2010643783,0.07826280433
R,l2,0.001,0.001,0,2,0.94709375,0.9900000095,0.9900000095,0.3199999928,0.3199999928,-0.3222133815,0.8591548204,-2.587925196,0.1899999976,41.6251182,0.1800000072,0.1800000072,0.52819103,0.3730686605,-0.3597024977,0.9183333516,17.49513821,1.355911136,1.022988319,2.902634859,0.3357186005,0.0001890287192,1.356021693,1.844244051,2.099989102,2.375814134,0.001597726555,-6.223574746e-05,0.65,0.54,nan,nan,nan,0.03842771743,1.022292927,1.244200666,1.544715628,1.766080376,0.005698970775,0.04387591034,0.8,0.29,nan,nan,nan,0.2483002482,0.08741835234
R,l2,0.001,0.001,0,3,0.9492479167,1,1,0.3000000119,0.3000000119,-0.2395477742,0.8020942807,-1.774973989,0.2583333254,51.72729457,0.03999999911,0.03999999911,0.4236330986,0.313310951,-3.506393114e-05,0.9141666889,16.79382248,1.22593236,0.9248735309,2.836734295,0.300561348,0.0001712307986,1.2346233,1.665902762,1.943341457,2.155425947,0.00057065082,-7.666553074e-06,0.52,0.54,nan,nan,nan,0.0001423188703,0.9259911641,1.257150173,1.414694991,1.608220007,0.01168678991,0.1014515087,0.58,0.22,nan,nan,nan,0.2142120073,0.08634934061
R,l2,0.001,0.001,0,4,0.9477333333,1,1,0.25,0.25,-0.1373763531,0.7218807936,-0.7254332304,0.2624999881,50.73712542,0.01999999955,0.01999999955,0.3841751218,0.3072047234,-2.34295635e-06,0.9225000143,14.95173619,1.099381804,0.9275231957,2.812084198,0.2880423043,0.0001849181858,1.113295501,1.69173608,1.902402694,1.919052451,0.0005928938153,-8.192725545e-06,0.51,0.48,nan,nan,nan,6.013143715e-05,0.9238389355,1.233258348,1.523731958,1.613207433,0.009917884854,0.1075301915,0.56,0.19,nan,nan,nan,0.2046107624,0.08343154182
R,l2,0.001,0.001,0,5,0.9456041667,1,1,0.2899999917,0.2899999917,-0.07564839721,0.7292453051,-0.6612046957,0.2758333385,48.43308652,0.1000000015,0.1000000015,0.389675945,0.3109585643,-3.376672612e-05,0.9175000191,15.60764098,1.139620066,0.9110065103,2.794695377,0.2964581038,0.0001713975607,1.169565588,1.752319417,1.945652064,2.056050438,0.0004186208695,-1.443543681e-06,0.6,0.51,nan,nan,nan,0.000103978066,0.9083239674,1.239135949,1.653478571,1.572994062,0.01095948407,0.08868735656,0.57,0.21,nan,nan,nan,0.2138623309,0.082595773
R,l2,0.001,0.001,0,6,0.9504375,0.9991666675,0.9991666675,0.2300000042,0.2300000042,-0.1780248284,0.7018128037,-0.8704825044,0.2941666543,53.3615911,0.05999999866,0.05999999866,0.3606682122,0.2982825935,-0.0004655068624,0.9108333588,15.26578345,1.178455114,0.9455465078,2.909752607,0.2980374377,0.0002585943755,1.180210796,1.592961905,1.957946184,2.047920656,0.000494303154,-3.120507699e-06,0.54,0.53,nan,nan,nan,0.0003265350193,0.9369157124,1.282165775,1.444603144,1.600039327,0.009960213387,0.09773688763,0.61,0.24,nan,nan,nan,0.2090684126,0.08896902511
R,l2,0.001,0.001,0,7,0.9378270833,1,1,0.3300000131,0.3300000131,-0.1203038394,0.7196798921,-0.733737886,0.2583333254,47.80198312,0.009999999776,0.009999999776,0.377953738,0.320245862,-8.690557252e-07,0.9083333611,16.62523118,1.096404672,0.9125683308,2.874312878,0.2941260286,0.0002450783474,1.121572959,1.73877518,1.955870292,1.968221584,0.0002246975143,-1.602402517e-05,0.51,0.5,nan,nan,nan,0.0001557374342,0.9198235797,1.242483838,1.496929678,1.569301325,0.009604098019,0.08732363209,0.57,0.2,nan,nan,nan,0.2085594678,0.08556656079
R,l2,0.001,0.001,0,8,0.9527083333,1,1,0.2700000107,0.2700000107,-0.04891786352,0.7182033658,-0.7476955652,0.2358333319,46.09098514,0.02999999933,0.02999999933,0.3690479994,0.2980085611,-3.108680176e-06,0.9150000215,15.19662138,1.145500898,0.9139658809,2.83078289,0.2865924891,0.0001799081456,1.157008216,1.696167056,2.058417256,2.002299207,0.0002155547623,-2.435601459e-06,0.53,0.5,nan,nan,nan,0.0001333341308,0.9058523372,1.255863736,1.562885945,1.576887421,0.008981571455,0.08059805632,0.46,0.21,nan,nan,nan,0.203039728,0.08355276117
R,l2,0.001,0.001,0,9,0.9406208333,1,1,0.2800000012,0.2800000012,-0.09999773651,0.7487407327,-0.8803797364,0.2516666651,48.55117962,0.02999999933,0.02999999933,0.3953896761,0.3202073872,-0.00425986154,0.9183333516,16.12880159,1.225317359,0.9077063799,2.810287714,0.2943140963,0.0002214717493,1.234994437,1.758803777,2.006003459,2.134487945,0.0004133761925,-2.757424113e-06,0.53,0.52,nan,nan,nan,0.1203905183,0.9017002247,1.217333735,1.843781167,1.518496157,0.0104040494,0.08996501192,0.54,0.16,nan,nan,nan,0.2127106161,0.08160348013
R,l2,0.001,0.001,0,10,0.9464395833,1,1,0.3000000119,0.3000000119,-0.1427624822,0.7327540517,-1.362847686,0.2599999905,49.06285292,0.009999999776,0.009999999776,0.34972018,0.2871322036,-0.0005391878658,0.9100000262,14.10871837,1.17672801,0.8884217739,2.886144638,0.2924937067,0.0002141281871,1.178762913,1.660954415,2.016952267,2.072746751,0.0005004740564,-1.434731894e-05,0.5,0.53,nan,nan,nan,0.0001355450034,0.8821954843,1.265409657,1.935386988,1.558493274,0.01079891813,0.08939259499,0.52,0.18,nan,nan,nan,0.2057951665,0.08669854024
