act,arm,seed,task,tensor,norm
R,l2,0,0,W3,9
R,l2,0,0,b1,0.6
R,l2,0,1,W3,9
R,l2,0,1,b1,0.6
R,l2,0,2,W3,9
R,l2,0,2,b1,0.6
R,l2,0,3,W3,9
R,l2,0,3,b1,0.6
R,l2,0,4,W3,9
R,l2,0,4,b1,0.6
R,l2,0,5,W3,9
R,l2,0,5,b1,0.6
R,l2,0,6,W3,9
R,l2,0,6,b1,0.6
R,l2,0,7,W3,9
R,l2,0,7,b1,0.6
R,l2,0,8,W3,9
R,l2,0,8,b1,0.6
R,l2,0,9,W3,9
R,l2,0,9,b1,0.6
R,l2,0,10,W3,9
R,l2,0,10,b1,0.6
R,l2,0,11,W3,9
R,l2,0,11,b1,0.6
R,l2,0,12,W3,9
R,l2,0,12,b1,0.6
R,l2,0,13,W3,9
R,l2,0,13,b1,0.6
R,l2,0,14,W3,9
R,l2,0,14,b1,0.6
R,l2,0,15,W3,9
R,l2,0,15,b1,0.6
R,l2,0,16,W3,9
R,l2,0,16,b1,0.6
R,l2,0,17,W3,9
R,l2,0,17,b1,0.6
R,l2,0,18,W3,9
R,l2,0,18,b1,0.6
R,l2,0,19,W3,9
R,l2,0,19,b1,0.6
R,l2,0,20,W3,9
R,l2,0,20,b1,0.6
R,l2,0,21,W3,9
R,l2,0,21,b1,0.6
R,l2,0,22,W3,9
R,l2,0,22,b1,0.6
R,l2,0,23,W3,9
R,l2,0,23,b1,0.6
R,l2,0,24,W3,9
R,l2,0,24,b1,0.6
R,l2,0,25,W3,9
R,l2,0,25,b1,0.6
R,l2,0,26,W3,9
R,l2,0,26,b1,0.6
R,l2,0,27,W3,9
R,l2,0,27,b1,0.6
R,l2,0,28,W3,9
R,l2,0,28,b1,0.6
R,l2,0,29,W3,9
R,l2,0,29,b1,0.6
R,l2,0,30,W3,9
R,l2,0,30,b1,0.6
R,l2,0,31,W3,9
R,l2,0,31,b1,0.6
R,l2,0,32,W3,9
R,l2,0,32,b1,0.6
R,l2,0,33,W3,9
R,l2,0,33,b1,0.6
R,l2,0,34,W3,9
R,l2,0,34,b1,0.6
R,l2,0,35,W3,9
R,l2,0,35,b1,0.6
R,l2,0,36,W3,9
R,l2,0,36,b1,0.6
R,l2,0,37,W3,9
R,l2,0,37,b1,0.6
R,l2,0,38,W3,9
R,l2,0,38,b1,0.6
R,l2,0,39,W3,9
R,l2,0,39,b1,0.6
R,l2,0,40,W3,9
R,l2,0,40,b1,0.6
R,l2,0,41,W3,9
R,l2,0,41,b1,0.6
R,l2,0,42,W3,9
R,l2,0,42,b1,0.6
R,l2,0,43,W3,9
R,l2,0,43,b1,0.6
R,l2,0,44,W3,9
R,l2,0,44,b1,0.6
R,l2,0,45,W3,9
R,l2,0,45,b1,0.6
R,l2,0,46,W3,9
R,l2,0,46,b1,0.6
R,l2,0,47,W3,9
R,l2,0,47,b1,0.6
R,l2,0,48,W3,9
R,l2,0,48,b1,0.6
R,l2,0,49,W3,9
R,l2,0,49,b1,0.6
R,l2,0,50,W3,9
R,l2,0,50,b1,0.6
