exp  width batch   c                        pair  n  p_order       lag_mean    lag_lo    lag_hi
  A     20     1 NaN                post_err<trC  4  0.96450   13050.000000   -1925.0   25800.0
  A     20     1 NaN               post_err<dead  5  0.01550 -139200.000000 -274200.0   -1780.0
  A     20     1 NaN                    trC<dead  4  0.04075 -105225.000000 -272250.0   12075.0
  A     20  full NaN srank_drop<srank_alive_drop  5  0.95375   17120.000000    -100.0   50660.0
  A     20  full NaN         srank_drop<post_err  5  0.99925  251640.000000   66600.0  527460.0
  A     20  full NaN              srank_drop<trC  5  0.99850  133840.000000    3140.0  353500.0
  A     20  full NaN             srank_drop<dead  5  1.00000  396060.000000  149760.0  642360.0
  A     20  full NaN   srank_alive_drop<post_err  5  1.00000  234520.000000   54800.0  515960.0
  A     20  full NaN        srank_alive_drop<trC  5  0.87825  116720.000000  -31760.0  339660.0
  A     20  full NaN       srank_alive_drop<dead  5  1.00000  378940.000000  149060.0  614041.5
  A     20  full NaN                post_err<trC  5  0.02025 -117800.000000 -203860.0   -5720.0
  A     20  full NaN               post_err<dead  5  0.79325  144420.000000 -157740.0  448820.0
  A     20  full NaN                    trC<dead  5  0.94250  262220.000000  -40100.0  580600.0
  A     50     1 NaN srank_drop<srank_alive_drop  5  0.98650   11820.000000    1000.0   22400.0
  A     50     1 NaN         srank_drop<post_err  5  0.98250  108420.000000    9760.0  255560.0
  A     50     1 NaN              srank_drop<trC  5  0.39475   -1300.000000  -12980.0   11660.0
  A     50     1 NaN             srank_drop<dead  5  1.00000   20840.000000    9600.0   30880.0
  A     50     1 NaN   srank_alive_drop<post_err  5  0.94350   96600.000000  -10760.0  250360.0
  A     50     1 NaN        srank_alive_drop<trC  5  0.05225  -13120.000000  -28600.0    2360.0
  A     50     1 NaN       srank_alive_drop<dead  5  1.00000    9020.000000    7400.0   10360.0
  A     50     1 NaN                post_err<trC  5  0.00225 -109720.000000 -253700.0  -13651.0
  A     50     1 NaN               post_err<dead  5  0.09475  -87580.000000 -241039.5   16060.0
  A     50     1 NaN                    trC<dead  5  1.00000   22140.000000    6520.0   39760.0
  A     50  full NaN srank_drop<srank_alive_drop  5  0.98825   20480.000000    1780.0   44100.0
  A     50  full NaN         srank_drop<post_err  5  0.99625   74820.000000   20840.0  134900.0
  A     50  full NaN              srank_drop<trC  5  0.79775   15120.000000   -8980.0   51480.0
  A     50  full NaN             srank_drop<dead  5  1.00000  334120.000000  230240.0  444880.0
  A     50  full NaN   srank_alive_drop<post_err  5  0.92625   54340.000000  -14160.0  113400.0
  A     50  full NaN        srank_alive_drop<trC  5  0.38925   -5360.000000  -45900.0   44120.0
  A     50  full NaN       srank_alive_drop<dead  5  1.00000  313640.000000  208100.0  429160.0
  A     50  full NaN                post_err<trC  5  0.04375  -59700.000000 -127700.0    8300.0
  A     50  full NaN               post_err<dead  5  1.00000  259300.000000  157600.0  364120.0
  A     50  full NaN                    trC<dead  5  1.00000  319000.000000  202100.0  449080.0
  A    100     1 NaN srank_drop<srank_alive_drop  5  0.00000  -39980.000000  -67473.5  -17800.0
  A    100     1 NaN         srank_drop<post_err  5  0.99350  197920.000000   41680.0  307698.0
  A    100     1 NaN              srank_drop<trC  5  0.00550  -75780.000000 -120940.0  -15800.0
  A    100     1 NaN             srank_drop<dead  5  0.00000  -49640.000000  -77140.0  -27900.0
  A    100     1 NaN   srank_alive_drop<post_err  5  0.99975  237900.000000   85100.0  356020.0
  A    100     1 NaN        srank_alive_drop<trC  5  0.07300  -35800.000000  -78140.0    7260.0
  A    100     1 NaN       srank_alive_drop<dead  5  0.00000   -9660.000000  -14740.0   -4780.0
  A    100     1 NaN                post_err<trC  5  0.00025 -273700.000000 -391700.0 -119700.0
  A    100     1 NaN               post_err<dead  5  0.00025 -247560.000000 -361840.0  -89540.0
  A    100     1 NaN                    trC<dead  5  0.90625   26140.000000  -13840.0   64400.0
  A    100  full NaN srank_drop<srank_alive_drop  5  0.99950   30380.000000    4880.0   69200.0
  A    100  full NaN         srank_drop<post_err  5  0.75350   59520.000000  -15460.0  188800.0
  A    100  full NaN              srank_drop<trC  5  0.00000  -36180.000000  -63460.0   -8900.0
  A    100  full NaN             srank_drop<dead  5  1.00000  263740.000000  137940.0  436340.0
  A    100  full NaN   srank_alive_drop<post_err  5  0.69900   29140.000000  -36460.0  125160.0
  A    100  full NaN        srank_alive_drop<trC  5  0.00000  -66560.000000 -100080.0  -30600.0
  A    100  full NaN       srank_alive_drop<dead  5  1.00000  233360.000000  128780.0  409500.0
  A    100  full NaN                post_err<trC  5  0.00050  -95700.000000 -211700.0  -21700.0
  A    100  full NaN               post_err<dead  5  1.00000  204220.000000   64200.0  400240.0
  A    100  full NaN                    trC<dead  5  1.00000  299920.000000  165960.0  481860.0
  B    100     1 2.0 srank_drop<srank_alive_drop  5  0.00000       0.000000       0.0       0.0
  B    100     1 2.0         srank_drop<post_err  5  1.00000  230900.000000  133080.0  323740.0
  B    100     1 2.0              srank_drop<trC  0      NaN            NaN       NaN       NaN
  B    100     1 2.0             srank_drop<dead  5  1.00000  314580.000000  198880.0  396040.0
  B    100     1 2.0   srank_alive_drop<post_err  5  1.00000  230900.000000  134000.0  330840.0
  B    100     1 2.0        srank_alive_drop<trC  0      NaN            NaN       NaN       NaN
  B    100     1 2.0       srank_alive_drop<dead  5  1.00000  314580.000000  198880.0  396040.0
  B    100     1 2.0                post_err<trC  0      NaN            NaN       NaN       NaN
  B    100     1 2.0               post_err<dead  5  0.91675   83680.000000  -26920.0  185880.0
  B    100     1 2.0                    trC<dead  0      NaN            NaN       NaN       NaN
  B    100  full 2.0 srank_drop<srank_alive_drop  0      NaN            NaN       NaN       NaN
  B    100  full 2.0         srank_drop<post_err  0      NaN            NaN       NaN       NaN
  B    100  full 2.0              srank_drop<trC  0      NaN            NaN       NaN       NaN
  B    100  full 2.0             srank_drop<dead  0      NaN            NaN       NaN       NaN
  B    100  full 2.0   srank_alive_drop<post_err  0      NaN            NaN       NaN       NaN
  B    100  full 2.0        srank_alive_drop<trC  0      NaN            NaN       NaN       NaN
  B    100  full 2.0       srank_alive_drop<dead  0      NaN            NaN       NaN       NaN
  B    100  full 2.0                post_err<trC  2      NaN            NaN       NaN       NaN
  B    100  full 2.0               post_err<dead  0      NaN            NaN       NaN       NaN
  B    100  full 2.0                    trC<dead  0      NaN            NaN       NaN       NaN
figures -> results/coupling_fbw_0813/figures
