step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
1000,A_w100_T10000_std_lr0.01_s8_cont,0.22,0.000808081,0.22,14.8701,5.77078,0.186417,0.501909,0.00020202,0.342233,36.9598,0.0092596,19.3368,0.115771,8.63777,7.21432,0.22,0.580726,-0.0483741,-0.00163626,0.0475423,-0.207077,-0.0148314,-1.18194,-8.37305,0,0.38018,0,1,0.22,1
1000,A_w100_T10000_std_lr0.01_s9_cont,0.25,0.00161616,0.22,16.6531,6.08457,0.177064,0.50001,0,3.48309,29.8237,0.116789,19.5609,0.0904203,11.0595,9.58541,0.25,0.854334,-0.0354069,-0.000220124,0.0431941,-0.15592,0.00897923,-1.04892,-7.53504,0,0.371035,0,0.958333,0.22,1
2000,A_w100_T10000_std_lr0.01_s0_cont,0.35,0.000808081,0.32,15.5829,6.20499,0.181398,0.505141,0,0.092068,11.129,0.00827281,19.3914,0.102614,9.74528,8.52638,0.35,0.140627,-0.0448156,-0.000536504,0.0434428,-0.165969,0.087387,-1.11539,-7.91491,0,0.338985,0,1,0.32,1
2000,A_w100_T10000_std_lr0.01_s1_cont,0.2,0.00323232,0.19,14.2766,5.32336,0.182246,0.498091,0.00020202,2.64863,24.0806,0.10999,19.4818,0.100322,9.9679,9.68288,0.2,0.341504,-0.0384392,-0.00516665,0.0480685,-0.147651,0.22194,-1.04711,-10.5272,0,0.43973,0,1,0.19,1
2000,A_w100_T10000_std_lr0.01_s2_cont,0.21,0.00222222,0.2,13.4594,5.50084,0.178702,0.50095,0,0.141641,3.03597,0.0466542,19.427,0.0909833,10.991,9.74656,0.21,0.0561753,-0.0186636,-0.000532053,0.031323,-0.117396,0.46284,-0.71385,-6.26273,0,0.481265,0,1,0.2,1
2000,A_w100_T10000_std_lr0.01_s3_cont,0.28,0.00141414,0.26,13.3019,5.57895,0.180331,0.498515,0,0.408992,8.98729,0.0455078,19.42,0.0949212,10.5351,9.10734,0.28,0.125899,-0.0535834,-0.00378855,0.0547917,-0.208167,0.495722,-1.01404,-9.01654,0,0.455415,0,0.964286,0.26,1
2000,A_w100_T10000_std_lr0.01_s4_cont,0.29,0.0020202,0.28,16.0281,6.36772,0.180905,0.499848,0,1.6246,17.5097,0.0927828,19.4464,0.0972085,10.2872,8.41381,0.29,0.195543,-0.0535857,-0.00134612,0.049366,-0.176196,0.0588282,-1.08723,-10.0216,0,0.364235,0,1,0.28,1
2000,A_w100_T10000_std_lr0.01_s5_cont,0.19,0.00323232,0.18,15.534,5.65155,0.183366,0.500657,0,0.313954,10.218,0.0307255,19.4093,0.109427,9.13851,8.87259,0.19,0.19209,-0.035871,-0.000728552,0.0514016,-0.179417,0.0915098,-1.15833,-3.11884,0,0.425155,0,1,0.18,1
2000,A_w100_T10000_std_lr0.01_s6_cont,0.25,0.00383838,0.24,15.5751,6.15335,0.183477,0.499222,0,3.13073,38.6737,0.0809524,19.2939,0.10369,9.64416,9.23062,0.25,0.30442,-0.0533418,-0.00119366,0.0482471,-0.248234,0.0469739,-1.23084,-5.45829,0,0.38232,0,0.96,0.24,1
2000,A_w100_T10000_std_lr0.01_s7_cont,0.36,0.00242424,0.36,15.1869,4.74208,0.178857,0.501485,0,6.59515,36.4206,0.181083,19.4674,0.100462,9.95406,7.95451,0.36,0.462283,-0.0547143,-0.0019869,0.0547272,-0.277845,-0.0995734,-1.17543,-7.2405,0,0.29509,0,1,0.36,1
